Выборы Президента Российской Федерации																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Норильская городская																																																																																	
																																																																																	
Итоги голосования 																																																																																	
																																																																																	
		Сумма	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665					
1	"Число избирателей, внесенных в список"	161131	2225	2401	1904	2041	2282	2094	2478	2287	2386	2521	2790	3106	2658	2192	2278	2004	1826	2598	2363	2223	1881	2502	2384	1912	2462	2124	2178	1840	2252	2179	2266	2166	2286	2757	2286	2219	1293	2730	2954	2500	756	1794	2618	870	2028	1772	2369	1892	1312	2590	2050	1888	2087	1848	2240	1805	2269	1986	2294	2257	1911	2176	2116	2352	2022	2001	2388	2973	2923	2182	2408	3085	1926	115					
2	Число полученных избирательных бюллетеней	142314	1985	2140	1504	1830	2038	1839	2200	2018	2038	2251	2439	2754	2242	1949	1937	1774	1623	2350	2104	1991	1615	2210	2112	1708	2179	1820	1936	1692	1999	2027	1988	1905	2013	2426	2030	1973	1103	2421	2634	2221	681	1620	2311	740	1661	1535	2051	1584	1105	2297	1845	1695	1892	1644	1987	1596	2004	1787	1945	2012	1668	1967	1856	2071	1813	1777	2166	2643	2627	1947	2159	2782	1721	107					
3	"Число избирательных бюллетеней, выданных  досрочно"	11	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	73081	1206	1219	851	1006	1112	974	1329	1083	1005	1217	1161	1345	1129	1010	1040	977	735	1107	1070	981	785	1140	1125	835	886	815	855	864	904	927	1034	895	801	1075	1021	876	429	1318	1261	1074	495	919	1331	572	805	723	1041	751	572	1223	860	953	980	889	1006	907	940	1016	936	1107	836	1094	993	1070	878	851	923	1474	1502	1139	1184	1618	939	77					
5	"Число избирательных бюллетеней, выданных вне помещения"	1051	5	7	250	4	11	26	4	4	89	6	12	19	126	4	10	6	0	13	27	15	3	8	13	7	1	5	12	2	10	3	7	5	14	8	5	3	3	11	6	12	66	7	3	23	5	1	7	1	38	11	5	7	4	3	6	4	4	8	4	5	4	9	3	5	6	2	4	7	8	2	3	3	3	4					
6	Число погашенных избирательных бюллетеней	68170	774	914	403	820	912	839	867	931	937	1028	1266	1390	987	934	887	791	888	1230	1007	995	827	1062	974	866	1292	1000	1069	826	1085	1097	947	1005	1198	1343	1003	1094	671	1092	1367	1135	120	694	977	145	851	811	1003	832	495	1063	980	735	908	752	975	685	1060	763	1005	900	828	864	860	996	929	924	1239	1162	1117	806	972	1161	779	26					
7	Число избирательных бюллетеней в переносных ящиках	1059	5	7	250	4	11	26	4	4	96	6	12	19	126	4	10	6	0	13	27	15	3	8	13	7	1	5	12	2	10	3	7	5	14	8	6	3	3	11	6	12	66	7	3	23	5	1	7	1	38	11	5	7	4	3	6	4	4	8	4	5	4	9	3	5	6	2	4	7	8	2	3	3	3	4					
8	Число бюллетеней в стационарных ящиках для голосования	73048	1206	1219	851	1006	1111	973	1329	1083	1005	1217	1161	1345	1129	1010	1040	977	735	1107	1070	981	785	1140	1125	835	886	815	855	864	904	927	1034	895	801	1067	1021	876	429	1318	1261	1074	495	919	1331	572	805	722	1038	751	572	1223	860	953	979	888	1004	907	940	1016	935	1107	836	1094	990	1070	878	851	923	1474	1502	1138	1181	1618	932	77					
9	Число недействительных избирательных бюллетеней	309	3	3	4	4	10	5	3	2	8	3	1	5	5	3	1	3	4	6	5	8	6	6	1	4	6	5	7	6	5	0	2	1	3	1	2	0	7	9	0	5	1	4	3	1	3	5	4	6	2	4	0	4	3	8	3	7	3	7	4	5	6	5	6	10	0	6	3	5	5	0	8	5	9	2					
10	Число действительных избирательных бюллетеней	73798	1208	1223	1097	1006	1112	994	1330	1085	1093	1220	1172	1359	1250	1011	1049	980	731	1114	1092	988	782	1142	1137	838	881	815	860	860	909	930	1039	899	812	1074	1025	879	425	1320	1267	1081	560	922	1331	594	807	718	1041	746	608	1230	865	956	980	883	1007	904	941	1017	935	1107	834	1098	987	1065	884	847	924	1476	1505	1140	1176	1616	926	79					
