Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Федоровская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228					
1	"Число избирателей, внесенных в списки"	13955	231	630	486	150	1134	226	253	135	274	181	303	210	238	520	213	205	434	241	526	163	504	346	685	199	316	215	169	337	370	371	393	262	630	1297	1108					
2	"Число бюллетеней, полученных участковыми комиссиями"	13935	234	619	488	151	1117	224	250	134	269	183	308	208	236	523	217	205	433	242	528	163	491	351	688	201	314	214	175	338	368	374	392	265	635	1275	1122					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11278	203	446	385	123	851	200	208	115	229	148	268	181	214	440	176	172	373	209	456	150	342	286	566	164	215	179	121	275	263	299	306	208	515	1067	925					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1055	16	88	29	9	57	11	21	6	17	14	17	15	5	26	14	16	25	13	28	2	107	25	28	21	70	18	27	26	41	29	56	22	45	72	39					
6	Число погашенных бюллетеней	1602	15	85	74	19	209	13	21	13	23	21	23	12	17	57	27	17	35	20	44	11	42	40	94	16	29	17	27	37	64	46	30	35	75	136	158					
7	Число бюллетеней в переносных ящиках для голосования	1055	16	88	29	9	57	11	21	6	17	14	17	15	5	26	14	16	25	13	28	2	107	25	28	21	70	18	27	26	41	29	56	22	45	72	39					
8	Число бюллетеней в стационарных ящиках для голосования	11276	203	446	385	123	851	200	208	115	229	148	268	181	214	440	176	172	373	209	455	150	342	286	565	164	215	179	121	275	263	299	306	208	515	1067	925					
9	Число недействительных бюллетеней	522	16	34	28	18	57	13	9	3	11	3	6	12	10	14	10	4	19	5	28	16	3	20	14	10	14	12	12	16	5	17	17	18	23	15	10					
10	Число действительных бюллетеней	11809	203	500	386	114	851	198	220	118	235	159	279	184	209	452	180	184	379	217	455	136	446	291	579	175	271	185	136	285	299	311	345	212	537	1124	954					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	4	11	11	3	14	3	4	4	8	5	15	5	5	10	8	4	8	5	6	5	12	6	10	5	4	5	4	4	6	5	6	5	20	25	45					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	142	4	3	0	1	4	0	0	0	0	2	3	0	0	7	2	3	3	0	6	0	4	4	9	2	0	0	4	0	0	1	2	5	15	25	33					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	110	2	3	2	2	4	2	3	1	3	2	0	3	2	5	0	4	5	2	4	2	5	1	2	2	2	3	0	14	4	1	2	3	2	15	3					
14	Число погашенных открепительных удостоверений	158	0	8	11	2	10	3	4	4	8	3	12	5	5	3	6	1	5	5	0	5	8	2	1	3	4	5	0	4	6	4	4	0	5	0	12					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
