Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Троицкая городская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2865	УИК №2866	УИК №2867	УИК №2868	УИК №2869	УИК №2870	УИК №2871					
1	"Число избирателей, внесенных в список"	27273	2644	1942	2250	2261	2360	2498	2751	2720	2556	2532	2759					
2	Число полученных избирательных бюллетеней	27306	2615	1930	2266	2270	2360	2515	2770	2740	2555	2530	2755					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14552	1258	1007	1237	1115	1271	1302	1405	1477	1520	1470	1490					
5	"Число избирательных бюллетеней, выданных вне помещения"	208	31	5	17	13	5	21	12	21	4	35	44					
6	Число погашенных избирательных бюллетеней	12546	1326	918	1012	1142	1084	1192	1353	1242	1031	1025	1221					
7	Число избирательных бюллетеней в переносных ящиках	208	31	5	17	13	5	21	12	21	4	35	44					
8	Число бюллетеней в стационарных ящиках для голосования	14526	1258	1007	1237	1115	1266	1300	1399	1476	1512	1469	1487					
9	Число недействительных избирательных бюллетеней	90	13	6	5	10	11	8	10	2	14	1	10					
10	Число действительных избирательных бюллетеней	14644	1276	1006	1249	1118	1260	1313	1401	1495	1502	1503	1521					
11	Число полученных открепительных  удостоверений	1100	100	100	100	100	100	100	100	100	100	100	100					
12	Число выданных открепительных удостоверений	168	10	11	17	9	10	25	14	25	8	20	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	195	16	13	19	15	38	16	6	12	21	24	15					
14	Число неиспользованных открепительных удостоверений	932	90	89	83	91	90	75	86	75	92	80	81					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	1	0	0	0	0	1	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	1735	120	106	154	111	167	171	171	197	154	198	186					
		11.78%	9.31%	10.47%	12.28%	9.84%	13.14%	12.94%	12.12%	13.16%	10.16%	13.16%	12.15%					
19	. Малышкин Олег Александрович	159	16	19	5	17	14	19	11	15	19	12	12					
		1.08%	1.24%	1.88%	0.40%	1.51%	1.10%	1.44%	0.78%	1.00%	1.25%	0.80%	0.78%					
20	. Миронов Сергей Михайлович	66	6	4	3	7	5	3	8	5	10	7	8					
		0.45%	0.47%	0.40%	0.24%	0.62%	0.39%	0.23%	0.57%	0.33%	0.66%	0.47%	0.52%					
21	. Путин Владимир Владимирович	9101	892	630	805	780	778	803	872	861	884	886	910					
		61.77%	69.20%	62.25%	64.19%	69.15%	61.21%	60.79%	61.80%	57.52%	58.31%	58.91%	59.44%					
22	. Хакамада Ирина Муцуовна	1253	75	106	81	57	107	121	115	141	163	129	158					
		8.50%	5.82%	10.47%	6.46%	5.05%	8.42%	9.16%	8.15%	9.42%	10.75%	8.58%	10.32%					
23	. Харитонов Николай Михайлович	1310	99	67	133	98	100	107	128	162	147	160	109					
		8.89%	7.68%	6.62%	10.61%	8.69%	7.87%	8.10%	9.07%	10.82%	9.70%	10.64%	7.12%					
																		
24	Против всех	1020	68	74	68	48	89	89	96	114	125	111	138					
		6.92%	5.28%	7.31%	5.42%	4.26%	7.00%	6.74%	6.80%	7.62%	8.25%	7.38%	9.01%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
