Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																														
Дата голосования: 04.12.2011																																																																																																														
																																																																																																														
Наименование Избирательной комиссии:    Уссурийская																																																																																																														
																																																																																																														
Сводная таблица результатов выборов																																																																																																														
																																																																																																														
		Сумма	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024					
1	"Число избирателей, внесенных в список избирателей"	136761	2241	2206	2096	2064	670	713	1829	1713	2550	2169	1064	1768	1660	984	1430	1865	2510	2790	2611	1356	1518	1542	2352	317	2039	1238	2012	2553	2166	600	2103	1758	1248	2500	2612	284	2595	2341	1664	2604	2156	675	1146	1340	1769	1798	724	1503	1429	567	1855	1845	2336	1706	1521	988	2702	1045	1757	1550	1491	1974	603	2266	1387	1587	239	105	21	421	467	118	160	401	194	199	133	1119	453	234	1842	2006	566	1382	2137	875	160	83	249	306	104	281	194	117	205	504	805	226	676	2252	2410	1497	1565					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	138200	2200	2000	2000	2000	600	700	1800	1700	2500	2000	1000	1700	1600	1000	2400	2000	2400	2700	2600	1300	1500	1500	2000	350	1600	1300	2000	2300	2200	1200	2000	1800	1200	2500	2400	300	2600	2400	1700	2600	2000	700	1200	1400	2000	1800	800	1500	1400	600	1800	1800	2400	1700	1400	1000	2700	1000	1800	1500	1500	1700	400	2300	1400	1700	400	150	100	500	600	150	150	450	250	250	150	1200	500	250	2000	2000	600	1400	2200	1000	200	120	300	350	150	350	200	200	220	600	700	260	1000	2200	2400	1500	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	69656	1157	1096	1070	1020	244	285	1102	1097	1509	1227	609	841	682	565	1187	865	1190	1408	1412	1156	1005	587	1532	78	1288	489	1636	1600	1133	576	1313	640	889	1024	1078	79	1033	1001	658	1272	856	335	404	350	733	643	274	645	1121	232	673	818	975	892	780	883	1179	473	549	679	573	1206	342	1123	553	701	239	105	0	421	347	84	74	277	140	119	86	524	213	114	885	776	290	734	1056	439	91	59	138	171	71	189	130	101	111	291	222	119	324	1043	1044	634	1370					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3889	14	44	29	12	17	9	17	29	76	30	15	9	8	20	243	35	34	46	68	16	24	41	79	16	62	19	34	68	40	24	108	22	12	21	27	1	50	44	18	17	22	13	25	52	34	43	80	187	24	8	88	31	25	9	20	14	61	18	42	32	31	35	3	127	23	20	0	0	21	0	0	12	0	13	13	19	4	21	30	10	121	54	82	29	42	76	12	7	7	19	0	26	15	16	20	65	467	8	4	46	34	20	11					
6	Число погашенных избирательных бюллетеней	64559	1029	860	901	968	339	406	681	574	915	743	376	850	910	415	970	1100	1176	1246	1120	128	471	872	389	256	250	792	330	632	1027	600	579	1138	299	1455	1295	220	1517	1355	1024	1311	1122	352	771	998	1233	1114	446	668	255	360	1039	951	1400	799	600	103	1460	509	1209	789	896	459	55	1050	824	979	161	45	79	79	253	54	37	160	97	112	60	598	257	126	994	1170	228	637	1102	485	97	54	155	160	79	135	55	83	89	244	11	133	672	1111	1322	846	619					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3985	14	44	29	12	17	9	17	29	76	30	15	9	8	20	243	35	34	46	68	16	24	41	79	16	62	19	34	68	40	24	108	22	12	21	27	1	50	44	18	17	22	13	25	52	34	43	80	187	24	8	88	31	25	9	20	14	61	18	42	32	31	35	3	127	23	20	0	0	21	0	0	12	39	13	13	19	4	78	30	10	121	54	82	29	42	76	12	7	7	19	0	26	15	16	20	65	467	8	4	46	34	20	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	69162	1157	1096	1070	1020	244	285	1102	1097	1509	1226	609	831	682	565	1187	865	1187	1408	1385	1156	997	587	1532	78	1283	489	1636	1515	1088	576	1138	640	889	1024	1078	79	1030	998	658	1259	851	322	404	348	733	643	274	607	1121	232	673	787	974	892	780	883	1179	473	545	679	572	1199	341	1118	551	701	239	105	0	421	347	84	74	277	140	119	86	524	213	114	885	776	290	734	1056	439	91	59	138	171	71	189	130	101	111	291	221	119	324	1043	1044	634	1365					
9	Число недействительных избирательных бюллетеней	1449	0	23	13	25	9	6	21	5	10	27	29	0	1	11	23	15	22	33	25	8	20	2	27	3	16	16	16	19	0	8	191	14	32	23	22	2	21	24	17	0	23	0	9	5	0	25	5	22	24	4	19	0	16	24	20	26	30	0	15	0	0	26	9	20	0	0	17	2	0	34	9	4	2	6	5	6	0	12	9	5	24	27	16	16	21	13	0	0	4	9	12	6	1	3	5	13	14	1	10	17	0	19	6					
10	Число действительных избирательных бюллетеней	71698	1171	1117	1086	1007	252	288	1098	1121	1575	1229	595	840	689	574	1407	885	1199	1421	1428	1164	1001	626	1584	91	1329	492	1654	1564	1128	592	1055	648	869	1022	1083	78	1059	1018	659	1276	850	335	420	395	767	661	349	772	1121	236	742	818	983	877	780	871	1210	491	572	711	603	1208	335	1225	574	721	222	103	21	387	338	92	111	284	148	132	90	590	234	119	982	803	356	747	1077	502	103	66	141	181	59	209	144	114	126	343	674	126	318	1072	1078	635	1370					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2965	50	50	30	30	15	15	20	20	30	40	20	20	20	20	40	40	60	40	90	20	30	30	60	10	110	30	30	30	30	20	30	30	20	30	30	10	40	30	20	30	30	10	10	30	30	30	10	20	20	10	20	40	20	50	30	20	50	20	25	20	25	120	10	40	30	30	0	0	0	0	100	20	20	60	30	40	15	50	15	10	50	40	20	20	30	30	20	10	15	15	10	10	10	20	30	20	10	20	15	50	40	20	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1821	29	35	15	26	4	7	20	10	26	36	14	19	10	9	20	29	34	35	79	14	12	13	49	1	85	12	14	30	20	8	14	17	9	22	16	2	16	19	14	15	15	10	6	13	11	16	6	11	8	3	13	24	20	16	9	9	26	10	15	11	13	15	4	22	16	27	0	0	0	0	100	20	0	60	30	38	15	23	15	0	50	14	12	7	9	30	20	8	6	5	1	10	10	10	13	20	10	7	7	18	34	7	4					
