Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Базарносызганская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21					
1	"Число избирателей, внесенных в список"	8692	1386	1298	1364	310	379	117	293	68	346	440	159	227	550	188	101	421	107	263	124	110	441					
2	Число полученных избирательных бюллетеней	8762	1380	1311	1367	309	385	122	303	72	357	453	162	235	553	182	100	434	108	259	122	108	440					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5828	826	768	713	211	240	94	217	47	249	309	127	162	423	147	77	324	84	222	101	86	401					
5	"Число избирательных бюллетеней, выданных вне помещения"	531	87	42	99	20	64	0	20	4	36	45	0	21	23	8	10	13	5	15	4	13	2					
6	Число погашенных избирательных бюллетеней	2403	467	501	555	78	81	28	66	21	72	99	35	52	107	27	13	97	19	22	17	9	37					
7	Число избирательных бюллетеней в переносных ящиках	531	87	42	99	20	64	0	20	4	36	45	0	21	23	8	10	13	5	15	4	13	2					
8	Число бюллетеней в стационарных ящиках для голосования	5828	826	768	713	211	240	94	217	47	249	309	127	162	423	147	77	324	84	222	101	86	401					
9	Число недействительных избирательных бюллетеней	56	12	2	11	0	2	1	3	0	5	2	1	1	1	0	1	5	2	4	1	0	2					
10	Число действительных избирательных бюллетеней	6303	901	808	801	231	302	93	234	51	280	352	126	182	445	155	86	332	87	233	104	99	401					
11	Число полученных открепительных  удостоверений	175	20	20	20	5	6	5	11	5	5	8	5	5	5	5	5	5	5	5	5	5	20					
12	Число выданных открепительных удостоверений	80	13	10	9	4	3	1	11	3	1	7	0	0	0	0	0	1	0	0	0	0	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	13	6	5	5	1	0	1	0	1	0	0	0	1	0	3	0	0	6	0	0	4					
14	Число неиспользованных открепительных удостоверений	95	7	10	11	1	3	4	0	2	4	1	5	5	5	5	5	4	5	5	5	5	3					
15	"Число открепительных удостоверений, выданных в ТИК"	12	1	2	2	1	0	0	1	0	0	1	0	0	0	0	2	2	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	201	35	45	26	7	4	1	6	2	12	10	0	8	10	0	2	4	3	8	1	3	14					
		3.16%	3.83%	5.56%	3.20%	3.03%	1.32%	1.06%	2.53%	3.92%	4.21%	2.82%	0.00%	4.37%	2.24%	0.00%	2.30%	1.19%	3.37%	3.38%	0.95%	3.03%	3.47%					
19	. Малышкин Олег Александрович	154	19	11	18	2	9	2	3	4	13	6	0	3	13	4	0	9	4	10	0	3	21					
		2.42%	2.08%	1.36%	2.22%	0.87%	2.96%	2.13%	1.27%	7.84%	4.56%	1.69%	0.00%	1.64%	2.91%	2.58%	0.00%	2.67%	4.49%	4.22%	0.00%	3.03%	5.21%					
20	. Миронов Сергей Михайлович	36	5	9	4	1	2	0	2	0	0	2	2	1	0	0	0	3	0	1	1	0	3					
		0.57%	0.55%	1.11%	0.49%	0.43%	0.66%	0.00%	0.84%	0.00%	0.00%	0.56%	1.57%	0.55%	0.00%	0.00%	0.00%	0.89%	0.00%	0.42%	0.95%	0.00%	0.74%					
21	. Путин Владимир Владимирович	4576	654	550	538	163	206	64	175	40	196	264	89	149	337	143	68	249	48	182	85	91	285					
		71.96%	71.63%	67.90%	66.26%	70.56%	67.76%	68.09%	73.84%	78.43%	68.77%	74.58%	70.08%	81.42%	75.56%	92.26%	78.16%	73.89%	53.93%	76.79%	80.95%	91.92%	70.72%					
22	. Хакамада Ирина Муцуовна	48	6	10	5	5	3	1	0	0	0	2	0	2	3	0	1	2	0	0	0	0	8					
		0.75%	0.66%	1.23%	0.62%	2.16%	0.99%	1.06%	0.00%	0.00%	0.00%	0.56%	0.00%	1.09%	0.67%	0.00%	1.15%	0.59%	0.00%	0.00%	0.00%	0.00%	1.99%					
23	. Харитонов Николай Михайлович	1170	160	166	192	51	72	24	45	5	54	63	33	18	80	6	15	61	32	31	15	1	46					
		18.40%	17.52%	20.49%	23.65%	22.08%	23.68%	25.53%	18.99%	9.80%	18.95%	17.80%	25.98%	9.84%	17.94%	3.87%	17.24%	18.10%	35.96%	13.08%	14.29%	1.01%	11.41%					
																												
24	Против всех	118	22	17	18	2	6	1	3	0	5	5	2	1	2	2	0	4	0	1	2	1	24					
		1.86%	2.41%	2.10%	2.22%	0.87%	1.97%	1.06%	1.27%	0.00%	1.75%	1.41%	1.57%	0.55%	0.45%	1.29%	0.00%	1.19%	0.00%	0.42%	1.90%	1.01%	5.96%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
