Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Красногвардейская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17440	363	306	405	322	329	256	138	293	414	544	358	125	166	796	307	223	300	248	1360	1362	1337	717	215	276	204	174	255	598	753	299	320	527	176	289	105	589	106	195	641	281	178	51	76	463									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17667	375	310	415	346	335	256	141	290	425	552	365	124	165	810	317	230	299	255	1380	1334	1361	722	221	276	208	176	270	607	757	305	323	528	176	288	115	604	111	196	648	281	178	51	76	465									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7876	178	151	201	133	168	87	79	135	141	255	158	77	97	285	153	118	190	99	549	577	591	363	97	134	89	81	130	304	361	104	180	218	81	130	60	260	65	91	255	90	87	32	43	199									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1102	33	14	26	50	28	35	22	12	67	26	13	7	7	63	12	13	14	30	53	50	16	6	15	11	14	4	8	29	26	19	18	50	36	9	3	41	9	39	68	40	9	3	5	49									
6	Число погашенных избирательных бюллетеней	8689	164	145	188	163	139	134	40	143	217	271	194	40	61	462	152	99	95	126	778	707	754	353	109	131	105	91	132	274	370	182	125	260	59	149	52	303	37	66	325	151	82	16	28	217									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1102	33	14	26	50	28	35	22	12	67	26	13	7	7	63	12	13	14	30	53	50	16	6	15	11	14	4	8	29	26	19	18	50	36	9	3	41	9	39	68	40	9	3	5	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7876	178	151	201	133	168	87	79	135	141	255	158	77	97	285	153	118	190	99	549	577	591	363	97	134	89	81	130	304	361	104	180	218	81	130	60	260	65	91	255	90	87	32	43	199									
9	Число недействительных избирательных бюллетеней	136	7	9	5	2	2	2	0	2	0	2	1	0	3	8	2	1	0	1	13	13	9	8	1	4	3	1	0	3	8	3	4	3	0	0	0	3	0	3	4	0	1	0	2	3									
10	Число действительных избирательных бюллетеней	8842	204	156	222	181	194	120	101	145	208	279	170	84	101	340	163	130	204	128	589	614	598	361	111	141	100	84	138	330	379	120	194	265	117	139	63	298	74	127	319	130	95	35	46	245									
