Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Скопинская городская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23307	1146	1114	533	1049	1141	869	1174	980	1608	1175	1411	2511	2133	1344	1647	379	809	2284									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21000	1000	1000	500	1000	1000	800	1100	900	1500	1000	1200	2300	2000	1100	1500	300	800	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7572	502	384	143	305	314	266	326	270	560	452	469	848	590	332	655	112	251	793									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1901	22	64	90	58	136	48	60	133	275	138	64	28	75	49	173	50	169	269									
6	Число погашенных избирательных бюллетеней	11527	476	552	267	637	550	486	714	497	665	410	667	1424	1335	719	672	138	380	938									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1901	22	64	90	58	136	48	60	133	275	138	64	28	75	49	173	50	169	269									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7572	502	384	143	305	314	266	326	270	560	452	469	848	590	332	655	112	251	793									
9	Число недействительных избирательных бюллетеней	155	7	13	5	1	7	15	4	7	0	12	8	2	15	6	13	5	9	26									
10	Число действительных избирательных бюллетеней	9318	517	435	228	362	443	299	382	396	835	578	525	874	650	375	815	157	411	1036									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	216	17	11	6	15	10	10	12	3	10	10	18	17	17	12	17	6	8	17									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	156	12	5	3	15	6	7	7	3	10	8	13	13	9	5	17	6	8	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	130	5	5	4	5	11	7	10	6	6	5	9	18	15	2	4	6	2	10									
14	Число погашенных неиспользованных открепительных удостоверений	60	5	6	3	0	4	3	5	0	0	2	5	4	8	7	0	0	0	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	3	3	0	3	2	0	1	3	4	2	3	2	5	2	1	3	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	140	10	12	1	5	9	3	8	9	14	6	11	10	7	6	5	2	5	17									
		1.48%	1.91%	2.68%	0.43%	1.38%	2.00%	0.96%	2.07%	2.23%	1.68%	1.02%	2.06%	1.14%	1.05%	1.57%	0.60%	1.23%	1.19%	1.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	303	27	18	4	12	13	7	14	7	22	24	12	22	34	11	15	6	13	42									
		3.20%	5.15%	4.02%	1.72%	3.31%	2.89%	2.23%	3.63%	1.74%	2.63%	4.07%	2.25%	2.51%	5.11%	2.89%	1.81%	3.70%	3.10%	3.95%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	211	13	15	10	6	8	9	12	6	16	17	22	8	13	6	17	2	9	22									
		2.23%	2.48%	3.35%	4.29%	1.65%	1.78%	2.87%	3.11%	1.49%	1.92%	2.88%	4.13%	0.91%	1.95%	1.57%	2.05%	1.23%	2.14%	2.07%									
