Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Аскизская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227					
1	"Число избирателей, внесенных в список избирателей"	29663	1636	1932	1708	367	356	161	1411	1798	389	694	812	277	125	328	692	178	113	155	581	1101	589	182	605	263	802	263	205	178	1130	706	1033	1376	1589	136	1378	106	1794	1508	363	216	333	94					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30760	1700	1960	1700	370	380	170	1510	1810	400	710	900	300	160	350	750	180	110	150	590	1100	680	200	630	280	820	270	210	200	1200	760	1080	1410	1600	130	1420	110	1830	1510	420	230	370	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	88	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	30	0	0	0	0	0	26	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14937	843	1056	903	198	235	103	598	789	147	347	419	147	100	225	339	133	86	129	262	558	301	81	254	131	434	169	85	119	561	398	486	795	813	82	674	49	757	582	182	137	165	65					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1540	81	24	41	9	12	2	32	106	13	25	35	23	4	21	24	15	3	3	87	82	11	49	53	25	103	12	19	9	100	42	74	48	60	4	82	19	40	56	22	12	57	1					
6	Число погашенных избирательных бюллетеней	14195	776	880	756	163	133	65	880	915	240	338	446	104	56	104	387	32	21	18	241	460	338	70	323	124	283	89	80	72	539	320	520	567	727	44	658	42	1033	872	216	81	148	34					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1628	81	24	41	9	12	2	32	106	13	25	35	49	4	21	24	15	3	3	87	82	41	49	53	25	103	12	45	9	100	42	74	48	60	4	88	19	40	56	22	12	57	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14936	843	1055	903	198	235	103	598	789	147	347	419	147	100	225	339	133	86	129	262	558	301	81	254	131	434	169	85	119	561	398	486	795	813	82	674	49	757	582	182	137	165	65					
9	Число недействительных избирательных бюллетеней	292	11	15	7	2	6	2	5	13	4	6	12	4	2	2	3	0	1	4	10	4	7	1	7	0	16	0	0	3	22	5	8	21	48	2	10	1	12	7	2	4	3	0					
10	Число действительных избирательных бюллетеней	16272	913	1064	937	205	241	103	625	882	156	366	442	192	102	244	360	148	88	128	339	636	335	129	300	156	521	181	130	125	639	435	552	822	825	84	752	67	785	631	202	145	219	66					
