Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Кунгурская городская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934					
1	"Число избирателей, внесенных в список избирателей"	49312	724	1286	1122	2045	1109	2210	2559	1969	282	2325	1361	1044	1715	1332	1163	1806	1232	876	1534	2473	2470	1616	1287	1126	1356	1070	1167	1243	1375	1181	725	1890	2219	420					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50899	735	1311	1145	2174	1134	2192	2581	2040	273	2327	1372	1098	1677	1359	1208	1835	1306	927	1580	2443	2462	2611	1237	1191	1437	1108	1211	1279	1248	1208	775	1888	2133	394					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25637	356	503	553	1301	441	1030	1546	1127	115	1272	773	552	624	769	685	933	679	356	800	1238	1151	1311	625	606	703	486	579	698	634	558	333	794	1221	285					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1613	16	80	31	44	53	48	54	54	6	71	39	35	69	16	25	25	26	30	48	46	74	235	32	31	46	28	30	48	119	28	25	30	60	11					
6	Число погашенных избирательных бюллетеней	23649	363	728	561	829	640	1114	981	859	152	984	560	511	984	574	498	877	601	541	732	1159	1237	1065	580	554	688	594	602	533	495	622	417	1064	852	98					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1613	16	80	31	44	53	48	54	54	6	71	39	35	69	16	25	25	26	30	48	46	74	235	32	31	46	28	30	48	119	28	25	30	60	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25573	356	503	552	1301	441	1030	1545	1127	115	1272	773	552	624	769	685	932	679	356	800	1212	1151	1309	593	606	703	486	579	698	634	558	332	794	1221	285					
9	Число недействительных избирательных бюллетеней	517	5	9	19	25	5	29	22	22	3	40	15	17	23	6	6	18	8	8	16	19	26	35	14	9	10	15	6	18	13	5	5	22	18	6					
10	Число действительных избирательных бюллетеней	26669	367	574	564	1320	489	1049	1577	1159	118	1303	797	570	670	779	704	939	697	378	832	1239	1199	1509	611	628	739	499	603	728	740	581	352	802	1263	290					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	910	10	15	15	39	20	30	53	37	7	51	20	14	20	25	30	30	16	15	30	48	50	40	20	27	38	15	25	25	30	15	15	25	50	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	850	10	15	15	38	17	30	53	37	2	50	20	12	20	25	23	27	16	13	29	44	50	39	16	27	36	15	21	23	24	12	14	25	47	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	617	5	12	9	13	7	13	20	27	3	19	13	7	4	14	20	10	14	6	20	27	20	22	22	9	12	7	13	14	163	13	8	10	22	19					
14	Число погашенных неиспользованных открепительных удостоверений	60	0	0	0	1	3	0	0	0	5	1	0	2	0	0	7	3	0	2	1	4	0	1	4	0	2	0	4	2	6	3	1	0	3	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	1	1	1	2	1	1	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6633	114	116	161	364	120	238	455	310	39	317	222	140	164	172	156	238	173	101	224	335	331	333	138	143	167	127	158	183	155	141	83	177	281	57					
		24.40%	30.65%	19.90%	27.62%	27.06%	24.29%	22.08%	28.46%	26.25%	32.23%	23.60%	27.34%	23.85%	23.67%	21.91%	21.97%	24.87%	24.54%	26.17%	26.42%	26.63%	27.02%	21.57%	22.08%	22.45%	22.30%	24.71%	25.94%	24.53%	20.58%	24.06%	23.25%	21.48%	21.94%	19.26%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6347	64	175	139	279	127	264	304	226	28	265	171	125	187	243	185	271	132	107	186	268	272	380	147	151	190	127	118	156	172	165	88	231	338	66					
		23.35%	17.20%	30.02%	23.84%	20.74%	25.71%	24.49%	19.01%	19.14%	23.14%	19.73%	21.06%	21.29%	26.98%	30.96%	26.06%	28.32%	18.72%	27.72%	21.93%	21.30%	22.20%	24.61%	23.52%	23.70%	25.37%	24.71%	19.38%	20.91%	22.84%	28.16%	24.65%	28.03%	26.39%	22.30%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	268	1	4	2	11	8	14	12	9	3	15	8	4	5	5	7	9	7	2	15	16	12	15	4	8	8	12	7	7	8	2	3	7	18	0					
		0.99%	0.27%	0.69%	0.34%	0.82%	1.62%	1.30%	0.75%	0.76%	2.48%	1.12%	0.99%	0.68%	0.72%	0.64%	0.99%	0.94%	0.99%	0.52%	1.77%	1.27%	0.98%	0.97%	0.64%	1.26%	1.07%	2.33%	1.15%	0.94%	1.06%	0.34%	0.84%	0.85%	1.41%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4441	57	70	64	225	62	141	309	230	11	269	117	116	93	98	117	141	166	43	129	201	213	256	118	105	125	80	127	160	131	67	44	99	210	47					
		16.34%	15.32%	12.01%	10.98%	16.73%	12.55%	13.08%	19.32%	19.48%	9.09%	20.03%	14.41%	19.76%	13.42%	12.48%	16.48%	14.73%	23.55%	11.14%	15.21%	15.98%	17.39%	16.58%	18.88%	16.48%	16.69%	15.56%	20.85%	21.45%	17.40%	11.43%	12.32%	12.01%	16.39%	15.88%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	783	12	14	19	45	11	40	57	39	1	31	17	20	17	26	26	36	21	8	19	39	33	32	14	20	29	14	20	23	28	11	4	31	23	3					
		2.88%	3.23%	2.40%	3.26%	3.35%	2.23%	3.71%	3.56%	3.30%	0.83%	2.31%	2.09%	3.41%	2.45%	3.31%	3.66%	3.76%	2.98%	2.07%	2.24%	3.10%	2.69%	2.07%	2.24%	3.14%	3.87%	2.72%	3.28%	3.08%	3.72%	1.88%	1.12%	3.76%	1.80%	1.01%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8040	115	192	177	389	160	347	427	336	36	397	255	164	202	232	206	239	192	115	254	372	331	483	188	195	219	136	166	194	245	195	127	251	387	116					
		29.57%	30.91%	32.93%	30.36%	28.92%	32.39%	32.19%	26.70%	28.45%	29.75%	29.56%	31.40%	27.94%	29.15%	29.55%	29.01%	24.97%	27.23%	29.79%	29.95%	29.57%	27.02%	31.28%	30.08%	30.61%	29.24%	26.46%	27.26%	26.01%	32.54%	33.28%	35.57%	30.46%	30.21%	39.19%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	157	4	3	2	7	1	5	13	9	0	9	7	1	2	3	7	5	6	2	5	8	7	10	2	6	1	3	7	5	1	0	3	6	6	1					
		0.58%	1.08%	0.51%	0.34%	0.52%	0.20%	0.46%	0.81%	0.76%	0.00%	0.67%	0.86%	0.17%	0.29%	0.38%	0.99%	0.52%	0.85%	0.52%	0.59%	0.64%	0.57%	0.65%	0.32%	0.94%	0.13%	0.58%	1.15%	0.67%	0.13%	0.00%	0.84%	0.73%	0.47%	0.34%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
