Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Сандовская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5436	1854	1156	391	244	174	113	215	139	194	116	160	153	232	194	101									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4860	1500	1100	380	230	160	100	200	130	190	100	150	150	210	170	90									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2410	885	510	107	90	85	42	90	61	98	66	79	93	103	46	55									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	746	53	53	125	49	38	43	57	30	57	16	30	33	46	96	20									
6	Число погашенных избирательных бюллетеней	1704	562	537	148	91	37	15	53	39	35	18	41	24	61	28	15									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	746	53	53	125	49	38	43	57	30	57	16	30	33	46	96	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2408	885	509	107	90	85	42	89	61	98	66	79	93	103	46	55									
9	Число недействительных избирательных бюллетеней	40	20	10	2	0	3	0	0	0	1	1	2	0	0	0	1									
10	Число действительных избирательных бюллетеней	3114	918	552	230	139	120	85	146	91	154	81	107	126	149	142	74									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	195	30	30	10	10	10	10	10	10	10	10	10	15	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	101	23	17	10	4	6	0	1	0	1	0	7	15	2	5	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	49	17	4	3	2	1	1	2	1	1	1	3	4	3	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	94	7	13	0	6	4	10	9	10	9	10	3	0	8	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	17	8	0	0	1	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	23	12	6	1	0	1	0	2	0	0	0	0	1	0	0	0									
		0.73%	1.28%	1.07%	0.43%	0.00%	0.81%	0.00%	1.37%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	42	11	6	3	0	3	1	2	1	1	2	1	2	4	3	2									
		1.33%	1.17%	1.07%	1.29%	0.00%	2.44%	1.18%	1.37%	1.10%	0.65%	2.44%	0.92%	1.59%	2.68%	2.11%	2.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	50	15	12	6	0	5	0	1	2	0	2	2	1	2	2	0									
		1.59%	1.60%	2.14%	2.59%	0.00%	4.07%	0.00%	0.68%	2.20%	0.00%	2.44%	1.83%	0.79%	1.34%	1.41%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2028	529	330	152	109	82	59	100	64	126	56	71	92	101	92	65									
		64.30%	56.40%	58.72%	65.52%	78.42%	66.67%	69.41%	68.49%	70.33%	81.29%	68.29%	65.14%	73.02%	67.79%	64.79%	86.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	12	3	5	1	0	0	3	0	0	0	0	0	0	0	0	0									
		0.38%	0.32%	0.89%	0.43%	0.00%	0.00%	3.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0									
		0.10%	0.00%	0.00%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	408	143	77	39	13	9	9	13	15	15	5	22	8	8	28	4									
		12.94%	15.25%	13.70%	16.81%	9.35%	7.32%	10.59%	8.90%	16.48%	9.68%	6.10%	20.18%	6.35%	5.37%	19.72%	5.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	3	1	0	0	0	0	0	1	0	0	0	0	10	0	0									
		0.48%	0.32%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	6.71%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	3	2	0	2	0	0	1	0	0	0	0	0	1	0	0									
		0.29%	0.32%	0.36%	0.00%	1.44%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
		0.10%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	24	10	5	2	0	1	1	0	0	1	0	0	1	0	3	0									
		0.76%	1.07%	0.89%	0.86%	0.00%	0.81%	1.18%	0.00%	0.00%	0.65%	0.00%	0.00%	0.79%	0.00%	2.11%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	287	102	60	14	10	14	8	16	7	7	8	4	16	15	6	0									
		9.10%	10.87%	10.68%	6.03%	7.19%	11.38%	9.41%	10.96%	7.69%	4.52%	9.76%	3.67%	12.70%	10.07%	4.23%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	9	6	0	0	0	1	0	2	0	0	0	0	0	0	0	0									
		0.29%	0.64%	0.00%	0.00%	0.00%	0.81%	0.00%	1.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	201	79	48	10	5	4	4	9	1	4	8	6	5	8	7	3									
		6.37%	8.42%	8.54%	4.31%	3.60%	3.25%	4.71%	6.16%	1.10%	2.58%	9.76%	5.50%	3.97%	5.37%	4.93%	4.00%									
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
