Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Каргопольская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353					
1	"Число избирателей, внесенных в список"	16418	1491	1374	1252	1392	762	1083	1248	142	72	134	202	416	88	246	139	341	433	100	70	115	152	450	172	125	167	463	126	177	773	318	273	487	509	241	710	175					
2	Число полученных избирательных бюллетеней	16084	1500	1300	1200	1300	770	1100	1200	140	75	135	195	390	85	240	140	340	440	95	70	104	145	435	165	130	150	460	130	180	760	320	270	490	500	250	700	180					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9701	857	774	757	811	459	679	584	58	52	89	116	267	57	144	85	233	249	57	44	79	106	290	113	80	87	281	84	119	457	235	167	274	282	146	436	93					
5	"Число избирательных бюллетеней, выданных вне помещения"	1198	33	50	38	115	26	16	101	64	17	14	47	29	2	56	26	16	57	11	12	10	4	10	3	0	32	25	11	9	64	15	47	70	46	31	41	50					
6	Число погашенных избирательных бюллетеней	5185	610	476	405	374	285	405	515	18	6	32	32	94	26	40	29	91	134	27	14	15	35	135	49	50	31	154	35	52	239	70	56	146	172	73	223	37					
7	Число избирательных бюллетеней в переносных ящиках	1198	33	50	38	115	26	16	101	64	17	14	47	29	2	56	26	16	57	11	12	10	4	10	3	0	32	25	11	9	64	15	47	70	46	31	41	50					
8	Число бюллетеней в стационарных ящиках для голосования	9700	857	774	757	810	459	679	584	58	52	89	116	267	57	144	85	233	249	57	44	79	106	290	113	80	87	281	84	119	457	235	167	274	282	146	436	93					
9	Число недействительных избирательных бюллетеней	76	5	2	1	13	0	3	7	0	0	2	2	2	0	0	0	0	1	1	1	2	1	4	0	2	1	2	1	2	4	3	2	1	0	1	8	2					
10	Число действительных избирательных бюллетеней	10822	885	822	794	912	485	692	678	122	69	101	161	294	59	200	111	249	305	67	55	87	109	296	116	78	118	304	94	126	517	247	212	343	328	176	469	141					
