Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Таганский район																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3025					
1	"Число избирателей, внесенных в список"	73033	1960	1006	1557	2541	1531	2442	1764	2197	1684	2347	1795	1630	1456	2172	1460	1328	2069	2146	1932	1026	1562	1776	2069	2348	1318	2443	2137	2483	2373	2298	2578	1452	1548	1106	1583	2059	2087	1005	1426	36	546	54	536	84	83					
2	Число полученных избирательных бюллетеней	66684	1790	880	1420	2300	1360	2260	1570	2000	1520	2150	1620	1520	1360	2000	1360	1230	1920	1970	1760	940	1370	1620	1810	2180	1150	2140	1940	2250	2140	2130	2420	1320	1410	950	1440	1900	1840	900	1300	40	600	54	600	150	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47998	1535	555	1026	1594	1123	1493	1376	1723	1087	1468	1240	965	1058	1523	854	798	1220	1129	1182	761	859	1041	1115	1712	713	1446	1745	1394	1863	1663	1571	1003	963	637	1184	1223	1330	626	883	36	546	54	526	72	83					
5	"Число избирательных бюллетеней, выданных вне помещения"	3850	16	44	137	202	102	133	94	140	177	227	176	149	98	86	139	18	199	30	209	65	44	50	60	86	49	204	124	39	85	48	40	122	88	19	80	48	152	37	34	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	14836	239	281	257	504	135	634	100	137	256	455	204	406	204	391	367	414	501	811	369	114	467	529	635	382	388	490	71	817	192	419	809	195	359	294	176	629	358	237	383	4	54	0	74	78	17					
7	Число избирательных бюллетеней в переносных ящиках	3848	16	44	137	202	102	133	94	140	177	227	176	149	98	86	139	18	199	30	209	65	44	50	60	86	49	204	124	39	85	48	38	122	88	19	80	48	152	37	34	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	47902	1526	552	1021	1594	1120	1488	1374	1723	1083	1467	1240	965	1058	1519	854	798	1219	1129	1182	761	856	1038	1113	1712	713	1446	1742	1387	1860	1655	1571	1003	963	636	1184	1211	1330	622	871	36	546	54	525	72	83					
9	Число недействительных избирательных бюллетеней	325	6	2	8	8	2	8	9	4	8	12	11	6	3	7	4	4	14	9	9	8	7	9	8	16	7	0	20	5	11	8	16	18	5	4	10	9	6	5	8	0	2	0	9	0	0					
10	Число действительных избирательных бюллетеней	51425	1536	594	1150	1788	1220	1613	1459	1859	1252	1682	1405	1108	1153	1598	989	812	1404	1150	1382	818	893	1079	1165	1782	755	1650	1846	1421	1934	1695	1593	1107	1046	651	1254	1250	1476	654	897	36	544	54	516	72	83					
11	Число полученных открепительных  удостоверений	1909	381	20	35	36	35	55	28	50	53	40	32	50	35	45	35	35	65	47	45	30	35	40	50	55	30	52	43	56	38	55	60	25	40	22	21	30	50	20	35	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1848	381	18	32	35	29	54	28	47	52	40	32	49	33	45	35	28	65	47	41	28	28	40	48	55	27	52	43	56	37	55	60	25	38	17	19	27	49	20	33	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2208	94	69	20	48	58	50	42	0	55	14	40	50	14	42	28	29	17	26	36	34	32	33	95	146	45	127	20	48	24	55	17	25	26	61	9	0	49	36	15	3	21	8	525	0	22					
14	Число неиспользованных открепительных удостоверений	61	0	2	3	1	6	1	0	3	1	0	0	1	2	0	0	7	0	0	4	2	7	0	2	0	3	0	0	0	1	0	0	0	2	5	2	3	1	0	2	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	189	1	1	3	4	2	9	3	3	4	15	6	1	3	3	4	4	6	2	5	6	4	5	8	10	0	4	4	4	4	16	2	5	2	10	1	13	9	2	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	3169	86	63	72	127	69	114	74	95	93	96	72	64	48	85	57	64	77	80	74	54	58	80	68	94	29	100	103	96	75	71	94	86	85	32	98	99	118	50	87	2	29	8	31	8	4					
