Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Ливенская городская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №799	УИК №811					
1	"Число избирателей, внесенных в список"	40851	1206	1102	1062	1098	1126	2758	1302	1352	1330	1218	1641	2249	1358	1531	1375	1320	1369	1329	1215	1450	2474	1341	2023	1331	1564	2025	238	1184	280					
2	Число полученных избирательных бюллетеней	42700	1250	1130	1120	1110	1190	2750	1370	1300	1400	1330	1670	2270	1400	1600	1400	1340	1390	1450	1300	1640	2600	1370	2390	1470	1640	2050	240	1250	280					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29726	915	778	756	719	861	1969	946	979	1003	953	1205	1573	927	1084	903	913	937	1035	953	1159	1759	1002	1623	993	1300	1586	195	672	28					
5	"Число избирательных бюллетеней, выданных вне помещения"	2234	51	108	98	60	47	108	89	43	28	90	40	123	94	73	172	108	33	25	3	4	80	49	24	50	48	41	17	276	252					
6	Число погашенных избирательных бюллетеней	10746	284	244	266	331	282	673	335	278	369	287	425	574	379	443	325	319	420	390	344	477	761	319	743	427	298	423	28	302	0					
7	Число избирательных бюллетеней в переносных ящиках	2234	51	108	98	60	47	108	89	43	28	90	40	123	94	73	172	108	33	25	3	4	80	49	24	50	48	41	17	276	252					
8	Число бюллетеней в стационарных ящиках для голосования	29675	915	778	756	719	860	1969	946	979	1003	953	1205	1573	927	1084	903	913	937	1035	953	1159	1759	1002	1623	943	1300	1586	195	672	28					
9	Число недействительных избирательных бюллетеней	903	24	8	20	6	32	13	10	5	30	4	45	65	56	9	18	37	75	77	73	8	15	54	94	1	38	71	9	4	2					
10	Число действительных избирательных бюллетеней	31006	942	878	834	773	875	2064	1025	1017	1001	1039	1200	1631	965	1148	1057	984	895	983	883	1155	1824	997	1553	992	1310	1556	203	944	278					
11	Число полученных открепительных  удостоверений	566	20	10	10	10	20	30	20	25	20	20	20	25	20	20	20	20	20	20	30	20	30	20	30	20	20	20	5	21	0					
12	Число выданных открепительных удостоверений	289	3	8	7	6	9	7	4	18	11	12	12	15	6	7	2	5	9	9	23	13	22	12	16	14	18	16	2	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	132	0	4	3	6	5	6	9	13	4	3	4	5	3	2	2	0	4	6	4	4	4	3	10	6	5	9	2	3	3					
14	Число неиспользованных открепительных удостоверений	277	17	2	3	4	11	23	16	7	9	8	8	10	14	13	18	15	11	11	7	7	8	8	14	6	2	4	3	18	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	2	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	1428	44	35	20	55	46	105	45	50	46	36	62	75	50	42	38	41	51	43	51	51	107	32	82	42	69	69	3	29	9					
		4.48%	4.55%	3.95%	2.34%	7.06%	5.07%	5.06%	4.35%	4.89%	4.46%	3.45%	4.98%	4.42%	4.90%	3.63%	3.53%	4.02%	5.26%	4.06%	5.33%	4.39%	5.82%	3.04%	4.98%	4.23%	5.12%	4.24%	1.42%	3.06%	3.21%					
19	. Малышкин Олег Александрович	871	27	14	17	25	22	82	24	31	24	24	28	38	31	29	33	24	29	30	25	30	64	38	47	35	39	37	5	16	3					
		2.73%	2.80%	1.58%	1.99%	3.21%	2.43%	3.95%	2.32%	3.03%	2.33%	2.30%	2.25%	2.24%	3.04%	2.51%	3.07%	2.35%	2.99%	2.83%	2.62%	2.58%	3.48%	3.62%	2.85%	3.52%	2.89%	2.27%	2.36%	1.69%	1.07%					
20	. Миронов Сергей Михайлович	235	2	9	5	1	6	22	10	16	12	12	7	11	6	8	6	8	6	4	7	5	12	8	8	10	8	14	2	10	0					
		0.74%	0.21%	1.02%	0.59%	0.13%	0.66%	1.06%	0.97%	1.57%	1.16%	1.15%	0.56%	0.65%	0.59%	0.69%	0.56%	0.78%	0.62%	0.38%	0.73%	0.43%	0.65%	0.76%	0.49%	1.01%	0.59%	0.86%	0.94%	1.05%	0.00%					
21	. Путин Владимир Владимирович	16775	549	559	610	391	508	1074	584	514	518	577	696	856	531	529	589	529	399	494	487	580	895	522	826	481	790	856	106	553	172					
		52.57%	56.83%	63.09%	71.43%	50.19%	56.01%	51.71%	56.43%	50.29%	50.24%	55.32%	55.90%	50.47%	52.01%	45.72%	54.79%	51.81%	41.13%	46.60%	50.94%	49.87%	48.67%	49.67%	50.15%	48.44%	58.61%	52.61%	50.00%	58.33%	61.43%					
22	. Хакамада Ирина Муцуовна	830	29	17	11	17	22	48	42	36	40	24	24	45	26	29	24	19	29	16	19	35	35	36	43	27	35	53	2	37	10					
		2.60%	3.00%	1.92%	1.29%	2.18%	2.43%	2.31%	4.06%	3.52%	3.88%	2.30%	1.93%	2.65%	2.55%	2.51%	2.23%	1.86%	2.99%	1.51%	1.99%	3.01%	1.90%	3.43%	2.61%	2.72%	2.60%	3.26%	0.94%	3.90%	3.57%					
23	. Харитонов Николай Михайлович	9752	283	224	137	255	253	607	271	313	303	306	365	570	308	454	354	336	371	376	278	374	583	346	522	330	354	472	83	253	71					
		30.56%	29.30%	25.28%	16.04%	32.73%	27.89%	29.22%	26.18%	30.63%	29.39%	29.34%	29.32%	33.61%	30.17%	39.24%	32.93%	32.91%	38.25%	35.47%	29.08%	32.16%	31.70%	32.92%	31.69%	33.23%	26.26%	29.01%	39.15%	26.69%	25.36%					
																																				
24	Против всех	1115	8	20	34	29	18	126	49	57	58	60	18	36	13	57	13	27	10	20	16	80	128	15	25	67	15	55	2	46	13					
		3.49%	0.83%	2.26%	3.98%	3.72%	1.98%	6.07%	4.73%	5.58%	5.63%	5.75%	1.45%	2.12%	1.27%	4.93%	1.21%	2.64%	1.03%	1.89%	1.67%	6.88%	6.96%	1.43%	1.52%	6.75%	1.11%	3.38%	0.94%	4.85%	4.64%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
