Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Собинская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232					
1	"Число избирателей, внесенных в список"	19041	790	661	438	437	1100	614	1479	770	183	325	519	654	511	218	1830	2288	2452	478	701	209	606	175	827	343	433					
2	Число полученных избирательных бюллетеней	17200	738	616	385	406	997	551	1326	692	149	294	460	590	453	216	1620	2053	2223	443	630	200	533	174	736	310	405					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9669	215	366	173	110	636	138	738	378	111	145	334	316	195	124	953	1248	1226	194	457	119	361	105	469	213	345					
5	"Число избирательных бюллетеней, выданных вне помещения"	1977	257	47	152	189	70	206	83	54	0	60	52	77	91	22	75	22	57	106	80	42	94	23	61	47	10					
6	Число погашенных избирательных бюллетеней	5554	266	203	60	107	291	207	505	260	38	89	74	197	167	70	592	783	940	143	93	39	78	46	206	50	50					
7	Число избирательных бюллетеней в переносных ящиках	1977	257	47	152	189	70	206	83	54	0	60	52	77	91	22	75	22	57	106	80	42	94	23	61	47	10					
8	Число бюллетеней в стационарных ящиках для голосования	9669	215	366	173	110	636	138	738	378	111	145	334	316	195	124	953	1248	1226	194	457	119	361	105	469	213	345					
9	Число недействительных избирательных бюллетеней	95	0	10	1	1	5	1	7	4	2	3	4	4	1	1	8	7	7	8	5	2	3	0	3	2	6					
10	Число действительных избирательных бюллетеней	11551	472	403	324	298	701	343	814	428	109	202	382	389	285	145	1020	1263	1276	292	532	159	452	128	527	258	349					
11	Число полученных открепительных  удостоверений	235	5	15	5	5	15	5	20	10	5	5	5	5	5	5	10	10	10	10	10	5	20	5	10	5	30					
12	Число выданных открепительных удостоверений	128	3	11	0	1	10	2	12	3	4	3	3	3	1	2	5	6	8	5	7	5	13	0	3	1	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	187	54	2	6	1	6	6	9	3	28	1	7	4	6	4	8	5	12	2	6	0	7	0	7	3	0					
