Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Бардымская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248					
1	"Число избирателей, внесенных в список избирателей"	21789	476	580	386	46	1356	1363	1680	282	101	169	424	419	352	120	316	1040	232	71	1132	101	239	207	421	225	1064	586	445	178	264	78	72	179	164	68	480	115	124	1224	365	560	113	264	401	200	233	64	1426	1384					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18942	430	520	360	47	1100	1100	1250	260	100	150	410	400	330	110	280	900	220	70	1000	95	230	190	400	220	900	540	430	170	275	70	70	160	160	65	440	110	110	1000	360	530	100	250	380	190	200	60	1100	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10494	222	315	182	29	583	503	763	162	53	72	277	245	193	55	161	506	106	37	639	59	149	121	225	135	437	297	224	101	155	46	44	95	82	28	217	58	70	668	178	277	65	146	205	91	106	26	545	541					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1816	30	25	16	5	84	57	34	23	6	16	38	23	42	23	29	144	29	10	81	16	31	23	30	32	131	66	60	21	27	13	6	12	14	6	55	12	16	80	36	39	9	13	47	51	50	17	132	56					
6	Число погашенных избирательных бюллетеней	6632	178	180	162	13	433	540	453	75	41	62	95	132	95	32	90	250	85	23	280	20	50	46	145	53	332	177	146	48	93	11	20	53	64	31	168	40	24	252	146	214	26	91	128	48	44	17	423	503					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1816	30	25	16	5	84	57	34	23	6	16	38	23	42	23	29	144	29	10	81	16	31	23	30	32	131	66	60	21	27	13	6	12	14	6	55	12	16	80	36	39	9	13	47	51	50	17	132	56					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10494	222	315	182	29	583	503	763	162	53	72	277	245	193	55	161	506	106	37	639	59	149	121	225	135	437	297	224	101	155	46	44	95	82	28	217	58	70	668	178	277	65	146	205	91	106	26	545	541					
9	Число недействительных избирательных бюллетеней	313	9	18	11	3	14	9	4	4	2	2	6	8	7	2	4	22	5	1	23	6	2	7	2	2	6	8	9	1	6	2	1	0	0	1	3	2	2	30	8	13	3	15	6	3	1	1	6	13					
10	Число действительных избирательных бюллетеней	11997	243	322	187	31	653	551	793	181	57	86	309	260	228	76	186	628	130	46	697	69	178	137	253	165	562	355	275	121	176	57	49	107	96	33	269	68	84	718	206	303	71	144	246	139	155	42	671	584					
