Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Большемуртинская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1038	УИК №1039	УИК №1040									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15681	2442	2137	2527	1342	160	231	753	289	403	151	317	112	377	439	505	407	385	96	101	103	492	214	57	626	133	428	208	246									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15767	2450	2150	2522	1364	167	229	754	296	409	159	318	118	378	435	510	405	387	98	102	107	488	210	63	634	132	426	211	245									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5197	721	696	803	337	72	102	230	87	183	79	136	50	126	154	119	112	168	48	52	38	198	89	29	229	59	141	77	62									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	842	33	28	73	173	20	3	62	8	15	23	6	6	28	15	67	45	33	4	8	10	41	28	2	41	11	33	5	21									
6	Число погашенных избирательных бюллетеней	9728	1696	1426	1646	854	75	124	462	201	211	57	176	62	224	266	324	248	186	46	42	59	249	93	32	364	62	252	129	162									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	842	33	28	73	173	20	3	62	8	15	23	6	6	28	15	67	45	33	4	8	10	41	28	2	41	11	33	5	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5179	721	696	796	337	72	102	230	87	183	79	136	50	126	154	119	112	168	48	52	38	198	89	29	229	48	141	77	62									
9	Число недействительных избирательных бюллетеней	138	19	19	13	8	1	3	11	5	7	2	4	0	4	9	0	5	5	0	0	0	12	2	0	4	1	2	2	0									
10	Число действительных избирательных бюллетеней	5883	735	705	856	502	91	102	281	90	191	100	138	56	150	160	186	152	196	52	60	48	227	115	31	266	58	172	80	83									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	430	35	40	25	20	8	7	20	10	20	10	10	10	20	10	25	10	20	10	10	10	20	10	5	20	10	15	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	70	6	10	9	7	3	0	1	2	2	0	3	10	1	0	1	0	0	0	0	0	10	0	5	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	71	6	7	6	1	2	1	3	1	1	3	2	3	1	1	2	3	1	1	0	0	11	1	0	3	1	10	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	360	29	30	16	13	5	7	19	8	18	10	7	0	19	10	24	10	20	10	10	10	10	10	0	20	10	15	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	80	13	10	13	7	1	1	4	0	3	0	2	0	0	5	3	1	1	1	1	0	7	1	0	1	0	4	0	1									
