11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																
13	Бабурин Сергей Николаевич	278	1	2	2	0	4	6	6	4	3	3	4	6	5	6	5	7	5	3	5	1	4	3	6	4	4	1	2	4	3	3	2	9	5	4	5	7	6	10	4	5	9	1	7	2	8	2	3	1	0	5	1	2	2	0	0	4	1	3	0	1	1	2	2	6	1	1	2	2	0	0	8	6	0	1	2	2	0	3	3	3	1	7	0	3	1									
		0.52%	0.12%	0.25%	0.29%	0.00%	0.66%	1.07%	0.92%	0.64%	0.29%	0.30%	0.51%	0.84%	1.09%	0.75%	0.61%	0.87%	0.66%	0.59%	0.63%	0.10%	0.40%	0.32%	0.51%	0.58%	0.58%	0.18%	0.37%	0.58%	0.41%	0.53%	0.26%	0.91%	0.29%	0.80%	0.57%	0.89%	0.63%	1.33%	0.48%	0.52%	0.95%	0.12%	0.59%	0.22%	0.70%	0.27%	0.35%	0.64%	0.00%	0.79%	0.29%	0.72%	0.64%	0.00%	0.00%	0.78%	0.75%	0.56%	0.00%	0.29%	1.12%	1.14%	0.53%	1.07%	0.49%	0.14%	0.71%	0.21%	0.00%	0.00%	0.62%	1.16%	0.00%	0.75%	1.60%	0.35%	0.00%	0.56%	0.48%	0.87%	0.29%	0.72%	0.00%	0.27%	0.31%									
14	Грудинин Павел Николаевич	7769	101	118	105	12	98	109	100	103	168	114	109	115	82	159	143	144	102	84	133	138	171	168	165	109	119	88	89	108	134	84	157	177	290	79	145	136	158	107	133	145	172	173	141	177	180	104	98	7	14	97	26	37	23	12	5	42	7	69	6	34	9	11	34	85	23	116	21	88	52	17	196	50	4	6	14	54	20	53	32	24	18	173	33	175	38									
		14.60%	12.07%	14.53%	15.02%	2.58%	16.07%	19.40%	15.27%	16.43%	16.39%	11.32%	13.89%	16.11%	17.83%	19.75%	17.35%	17.80%	13.42%	16.60%	16.81%	13.72%	17.19%	18.01%	14.07%	15.73%	17.30%	15.66%	16.51%	15.74%	18.38%	14.81%	20.42%	17.93%	16.80%	15.90%	16.42%	17.37%	16.56%	14.21%	15.80%	15.12%	18.09%	20.52%	11.90%	19.62%	15.75%	14.07%	11.37%	4.49%	13.73%	15.28%	7.67%	13.41%	7.35%	10.43%	7.14%	8.22%	5.22%	12.90%	4.58%	9.83%	10.11%	6.29%	9.09%	15.15%	11.22%	15.68%	7.50%	9.28%	13.16%	7.83%	15.21%	9.65%	3.28%	4.51%	11.20%	9.54%	12.50%	9.87%	5.11%	6.98%	5.23%	17.74%	11.22%	15.82%	11.88%									
15	Жириновский Владимир Вольфович	3846	85	66	48	7	60	30	88	42	81	45	52	63	54	46	60	68	72	35	58	73	73	75	87	59	43	40	39	43	68	38	69	58	116	23	57	53	67	51	63	62	34	57	38	48	71	39	52	14	5	44	31	17	25	5	5	35	8	52	6	32	14	15	40	41	20	48	11	72	37	30	108	52	14	11	16	34	20	45	39	16	22	84	27	79	16									
		7.23%	10.16%	8.13%	6.87%	1.51%	9.84%	5.34%	13.44%	6.70%	7.90%	4.47%	6.62%	8.82%	11.74%	5.71%	7.28%	8.41%	9.47%	6.92%	7.33%	7.26%	7.34%	8.04%	7.42%	8.51%	6.25%	7.12%	7.24%	6.27%	9.33%	6.70%	8.97%	5.88%	6.72%	4.63%	6.46%	6.77%	7.02%	6.77%	7.48%	6.47%	3.58%	6.76%	3.21%	5.32%	6.21%	5.28%	6.03%	8.97%	4.90%	6.93%	9.14%	6.16%	7.99%	4.35%	7.14%	6.85%	5.97%	9.72%	4.58%	9.25%	15.73%	8.57%	10.70%	7.31%	9.76%	6.49%	3.93%	7.59%	9.37%	13.82%	8.38%	10.04%	11.48%	8.27%	12.80%	6.01%	12.50%	8.38%	6.23%	4.65%	6.40%	8.62%	9.18%	7.14%	5.00%									
16	Путин Владимир Владимирович	39302	616	591	515	442	422	386	440	462	721	817	590	498	297	570	575	561	547	359	562	745	672	643	876	496	498	416	393	517	502	420	501	709	1214	365	642	542	683	552	613	717	699	588	967	621	830	565	671	126	82	472	273	206	257	97	59	422	115	397	114	264	64	145	284	397	154	557	239	757	291	166	943	405	98	107	88	474	113	418	545	290	297	677	223	805	253									
		73.86%	73.60%	72.78%	73.68%	95.05%	69.18%	68.68%	67.18%	73.68%	70.34%	81.13%	75.16%	69.75%	64.57%	70.81%	69.78%	69.34%	71.97%	70.95%	71.05%	74.06%	67.54%	68.92%	74.68%	71.57%	72.38%	74.02%	72.91%	75.36%	68.86%	74.07%	65.15%	71.83%	70.34%	73.44%	72.71%	69.22%	71.59%	73.31%	72.80%	74.77%	73.50%	69.75%	81.60%	68.85%	72.62%	76.45%	77.84%	80.77%	80.39%	74.33%	80.53%	74.64%	82.11%	84.35%	84.29%	82.58%	85.82%	74.21%	87.02%	76.30%	71.91%	82.86%	75.94%	70.77%	75.12%	75.27%	85.36%	79.85%	73.67%	76.50%	73.16%	78.19%	80.33%	80.45%	70.40%	83.75%	70.63%	77.84%	87.06%	84.30%	86.34%	69.44%	75.85%	72.78%	79.06%									
17	Собчак Ксения Анатольевна	500	6	9	4	1	6	7	4	6	14	3	8	8	6	4	8	10	6	5	10	15	18	10	11	7	9	4	3	3	3	4	20	12	40	7	5	11	5	10	9	4	13	12	10	14	11	7	16	1	0	2	3	2	2	0	0	2	0	1	2	3	0	0	3	6	0	3	2	3	5	1	7	1	1	0	3	1	3	4	0	3	3	6	1	5	3									
		0.94%	0.72%	1.11%	0.57%	0.22%	0.98%	1.25%	0.61%	0.96%	1.37%	0.30%	1.02%	1.12%	1.30%	0.50%	0.97%	1.24%	0.79%	0.99%	1.26%	1.49%	1.81%	1.07%	0.94%	1.01%	1.31%	0.71%	0.56%	0.44%	0.41%	0.71%	2.60%	1.22%	2.32%	1.41%	0.57%	1.40%	0.52%	1.33%	1.07%	0.42%	1.37%	1.42%	0.84%	1.55%	0.96%	0.95%	1.86%	0.64%	0.00%	0.31%	0.88%	0.72%	0.64%	0.00%	0.00%	0.39%	0.00%	0.19%	1.53%	0.87%	0.00%	0.00%	0.80%	1.07%	0.00%	0.41%	0.71%	0.32%	1.27%	0.46%	0.54%	0.19%	0.82%	0.00%	2.40%	0.18%	1.88%	0.74%	0.00%	0.87%	0.87%	0.62%	0.34%	0.45%	0.94%									
18	Сурайкин Максим Александрович	331	11	5	8	0	6	5	4	1	10	6	4	7	7	4	9	4	3	4	8	6	10	5	9	5	2	4	1	3	7	3	4	7	11	5	6	7	6	4	7	6	2	3	3	4	9	5	7	3	0	1	0	5	1	0	0	0	2	3	1	4	1	1	2	4	1	4	1	4	2	0	5	0	5	2	0	0	2	4	1	0	2	4	1	6	2									
		0.62%	1.31%	0.62%	1.14%	0.00%	0.98%	0.89%	0.61%	0.16%	0.98%	0.60%	0.51%	0.98%	1.52%	0.50%	1.09%	0.49%	0.39%	0.79%	1.01%	0.60%	1.01%	0.54%	0.77%	0.72%	0.29%	0.71%	0.19%	0.44%	0.96%	0.53%	0.52%	0.71%	0.64%	1.01%	0.68%	0.89%	0.63%	0.53%	0.83%	0.63%	0.21%	0.36%	0.25%	0.44%	0.79%	0.68%	0.81%	1.92%	0.00%	0.16%	0.00%	1.81%	0.32%	0.00%	0.00%	0.00%	1.49%	0.56%	0.76%	1.16%	1.12%	0.57%	0.53%	0.71%	0.49%	0.54%	0.36%	0.42%	0.51%	0.00%	0.39%	0.00%	4.10%	1.50%	0.00%	0.00%	1.25%	0.74%	0.16%	0.00%	0.58%	0.41%	0.34%	0.54%	0.63%									
19	Титов Борис Юрьевич	248	6	3	6	0	2	4	4	2	13	5	3	2	3	6	7	4	7	4	6	8	8	5	4	1	4	0	1	0	2	3	4	3	7	4	10	8	3	2	1	3	4	2	4	7	7	2	3	0	0	3	0	3	2	0	0	1	0	3	0	0	0	1	1	4	2	2	2	4	2	1	3	1	0	0	0	1	0	1	5	0	0	2	3	4	0									
		0.47%	0.72%	0.37%	0.86%	0.00%	0.33%	0.71%	0.61%	0.32%	1.27%	0.50%	0.38%	0.28%	0.65%	0.75%	0.85%	0.49%	0.92%	0.79%	0.76%	0.80%	0.80%	0.54%	0.34%	0.14%	0.58%	0.00%	0.19%	0.00%	0.27%	0.53%	0.52%	0.30%	0.41%	0.80%	1.13%	1.02%	0.31%	0.27%	0.12%	0.31%	0.42%	0.24%	0.34%	0.78%	0.61%	0.27%	0.35%	0.00%	0.00%	0.47%	0.00%	1.09%	0.64%	0.00%	0.00%	0.20%	0.00%	0.56%	0.00%	0.00%	0.00%	0.57%	0.27%	0.71%	0.98%	0.27%	0.71%	0.42%	0.51%	0.46%	0.23%	0.19%	0.00%	0.00%	0.00%	0.18%	0.00%	0.19%	0.80%	0.00%	0.00%	0.21%	1.02%	0.36%	0.00%									
20	Явлинский Григорий Алексеевич	234	1	2	3	0	2	5	2	4	5	3	3	2	1	0	3	3	7	5	5	3	11	8	2	3	2	4	6	2	3	2	3	3	16	2	5	8	12	4	2	3	10	1	1	11	9	5	2	0	1	3	0	0	0	0	1	0	0	3	0	0	0	0	4	4	2	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	1	1	5	4									
		0.44%	0.12%	0.25%	0.43%	0.00%	0.33%	0.89%	0.31%	0.64%	0.49%	0.30%	0.38%	0.28%	0.22%	0.00%	0.36%	0.37%	0.92%	0.99%	0.63%	0.30%	1.11%	0.86%	0.17%	0.43%	0.29%	0.71%	1.11%	0.29%	0.41%	0.35%	0.39%	0.30%	0.93%	0.40%	0.57%	1.02%	1.26%	0.53%	0.24%	0.31%	1.05%	0.12%	0.08%	1.22%	0.79%	0.68%	0.23%	0.00%	0.98%	0.47%	0.00%	0.00%	0.00%	0.00%	1.43%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	1.07%	0.71%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.10%	0.34%	0.45%	1.25%									
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
