Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Ивантеевская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11736	790	579	597	645	296	463	701	653	685	144	731	787	770	841	690	429	255	563	557	560									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12200	830	680	600	650	393	457	700	740	690	140	720	780	770	950	670	425	255	650	550	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6781	512	286	262	327	267	149	475	251	567	100	567	621	513	359	316	356	189	222	238	204									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1097	88	107	21	93	29	57	33	71	9	11	24	47	36	55	74	19	14	222	26	61									
6	Число погашенных избирательных бюллетеней	4322	230	287	317	230	97	251	192	418	114	29	129	112	221	536	280	50	52	206	286	285									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1097	88	107	21	93	29	57	33	71	9	11	24	47	36	55	74	19	14	222	26	61									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6780	512	286	262	327	267	149	475	251	567	100	567	621	513	359	316	356	189	221	238	204									
9	Число недействительных избирательных бюллетеней	105	1	9	13	21	0	3	3	4	8	1	14	0	5	8	5	2	3	5	0	0									
10	Число действительных избирательных бюллетеней	7772	599	384	270	399	296	203	505	318	568	110	577	668	544	406	385	373	200	438	264	265									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	430	55	25	20	20	20	20	20	20	20	10	20	20	20	20	30	20	20	20	20	10									
