Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																														
Дата голосования: 04.12.2011																														
																														
Наименование Избирательной комиссии:    Лосиноостровский район																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №3261					
1	"Число избирателей, внесенных в список избирателей"	55832	2615	2297	2375	2188	2588	2241	2214	2074	2527	2613	2612	2712	2684	2636	2588	2554	2637	2303	2535	2679	2691	2471	998					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41400	1900	1700	1700	1600	1900	1600	1600	1500	1900	2000	1900	2000	1900	2000	1900	1900	1900	1700	1900	2000	2000	1900	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	30614	1346	1012	1110	1090	1224	1306	1153	935	1563	1818	1169	1376	1594	1753	1187	1353	1240	1385	1342	1800	1489	1397	972					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1269	24	29	25	106	76	84	134	13	102	38	29	35	35	44	82	29	43	62	27	23	101	128	0					
6	Число погашенных избирательных бюллетеней	9517	530	659	565	404	600	210	313	552	235	144	702	589	271	203	631	518	617	253	531	177	410	375	28					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1268	24	29	25	106	76	84	134	13	102	38	29	35	35	44	82	28	43	62	27	23	101	128	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30567	1342	1010	1105	1090	1224	1306	1153	935	1563	1812	1169	1373	1594	1753	1186	1353	1240	1385	1340	1777	1489	1397	971					
9	Число недействительных избирательных бюллетеней	542	28	19	16	16	16	22	34	22	21	18	18	31	15	17	31	26	19	32	41	32	22	30	16					
10	Число действительных избирательных бюллетеней	31293	1338	1020	1114	1180	1284	1368	1253	926	1644	1832	1180	1377	1614	1780	1237	1355	1264	1415	1326	1768	1568	1495	955					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1297	62	55	60	60	80	35	55	45	55	95	65	80	90	45	45	50	35	35	50	90	65	45	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1114	62	46	49	48	70	30	43	39	54	72	62	64	84	42	39	31	33	26	44	89	49	38	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	846	17	33	18	27	28	7	51	37	20	24	57	28	35	10	44	37	32	13	25	29	21	27	226					
14	Число погашенных неиспользованных открепительных удостоверений	183	0	9	11	12	10	5	12	6	1	23	3	16	6	3	6	19	2	9	6	1	16	7	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	9	1	3	1	0	0	1	2	2	2	5	1	3	0	1	1	0	3	0	2	2	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4943	251	167	215	201	210	178	190	171	235	192	190	279	254	208	261	263	220	217	217	236	197	226	165					
		15.53%	18.37%	16.07%	19.03%	16.81%	16.15%	12.81%	14.76%	18.04%	14.11%	10.38%	15.86%	19.82%	15.59%	11.57%	20.58%	19.04%	17.15%	14.99%	15.87%	13.11%	12.39%	14.82%	16.99%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3449	149	143	127	153	174	148	168	152	150	191	218	123	151	82	137	143	161	156	176	178	150	165	54					
		10.83%	10.91%	13.76%	11.24%	12.79%	13.38%	10.65%	13.05%	16.03%	9.01%	10.32%	18.20%	8.74%	9.27%	4.56%	10.80%	10.35%	12.55%	10.78%	12.87%	9.89%	9.43%	10.82%	5.56%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	595	29	30	34	25	19	32	26	16	22	28	22	17	44	14	34	19	35	30	31	30	24	21	13					
		1.87%	2.12%	2.89%	3.01%	2.09%	1.46%	2.30%	2.02%	1.69%	1.32%	1.51%	1.84%	1.21%	2.70%	0.78%	2.68%	1.38%	2.73%	2.07%	2.27%	1.67%	1.51%	1.38%	1.34%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	7436	365	285	297	268	333	245	289	237	320	300	277	414	396	429	326	358	350	343	395	338	317	288	266					
		23.36%	26.72%	27.43%	26.28%	22.41%	25.62%	17.63%	22.46%	25.00%	19.22%	16.22%	23.12%	29.40%	24.31%	23.87%	25.71%	25.92%	27.28%	23.70%	28.90%	18.78%	19.94%	18.89%	27.39%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3601	224	158	177	145	144	115	145	89	156	110	128	196	163	203	154	201	146	221	160	204	138	161	63					
		11.31%	16.40%	15.21%	15.66%	12.12%	11.08%	8.27%	11.27%	9.39%	9.37%	5.95%	10.68%	13.92%	10.01%	11.30%	12.15%	14.55%	11.38%	15.27%	11.70%	11.33%	8.68%	10.56%	6.49%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10978	300	230	250	380	391	644	425	247	746	998	335	335	594	837	309	356	341	427	338	764	724	619	388					
		34.48%	21.96%	22.14%	22.12%	31.77%	30.08%	46.33%	33.02%	26.05%	44.80%	53.95%	27.96%	23.79%	36.46%	46.58%	24.37%	25.78%	26.58%	29.51%	24.73%	42.44%	45.53%	40.59%	39.96%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	291	20	7	14	8	13	6	10	14	15	13	10	13	12	7	16	15	11	21	9	18	18	15	6					
		0.91%	1.46%	0.67%	1.24%	0.67%	1.00%	0.43%	0.78%	1.48%	0.90%	0.70%	0.83%	0.92%	0.74%	0.39%	1.26%	1.09%	0.86%	1.45%	0.66%	1.00%	1.13%	0.98%	0.62%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
