Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Лотошинская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234					
1	"Число избирателей, внесенных в списки избирателей"	14414	1709	1565	2118	405	480	515	1129	1553	1167	793	651	1187	794	348					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14030	1669	1516	2128	399	467	499	1076	1484	1109	768	648	1148	786	333					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7360	1008	902	1018	199	223	117	572	885	609	355	345	574	397	156					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1515	45	74	167	67	85	189	93	57	175	129	80	161	118	75					
6	Число погашенных избирательных бюллетеней	5155	616	540	943	133	159	193	411	542	325	284	223	413	271	102					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1515	45	74	167	67	85	189	93	57	175	129	80	161	118	75					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7360	1008	902	1018	199	223	117	572	885	609	355	345	574	397	156					
9	Число недействительных избирательных бюллетеней	117	19	19	8	2	3	3	9	8	9	9	8	5	14	1					
10	Число действительных избирательных бюллетеней	8758	1034	957	1177	264	305	303	656	934	775	475	417	730	501	230					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	375	37	41	58	11	13	14	29	30	27	27	27	22	30	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	250	24	27	34	6	5	2	20	18	21	22	27	11	25	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	157	28	24	11	9	7	5	7	3	21	7	8	5	11	11					
14	Число погашенных неиспользованных открепительных удостоверений	125	13	14	24	5	8	12	9	12	6	5	0	11	5	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	2	1	0	1	1	2	0	4	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	290	44	26	46	5	15	8	20	43	24	9	12	16	17	5					
		3.27%	4.18%	2.66%	3.88%	1.88%	4.87%	2.61%	3.01%	4.56%	3.06%	1.86%	2.82%	2.18%	3.30%	2.16%					
19	2.Всероссийская политическая партия «Гражданская Сила»	64	10	9	5	2	2	0	8	6	10	2	0	6	4	0					
		0.72%	0.95%	0.92%	0.42%	0.75%	0.65%	0.00%	1.20%	0.64%	1.28%	0.41%	0.00%	0.82%	0.78%	0.00%					
20	3.Политическая партия «Демократическая партия России»	13	1	2	3	0	1	0	0	0	1	0	0	4	0	1					
		0.15%	0.09%	0.20%	0.25%	0.00%	0.32%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.54%	0.00%	0.43%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1110	140	143	140	26	25	58	91	114	67	52	97	83	58	16					
		12.51%	13.30%	14.65%	11.81%	9.77%	8.12%	18.95%	13.68%	12.10%	8.55%	10.74%	22.82%	11.29%	11.26%	6.93%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	69	6	8	10	2	8	4	2	4	4	1	6	6	8	0					
		0.78%	0.57%	0.82%	0.84%	0.75%	2.60%	1.31%	0.30%	0.42%	0.51%	0.21%	1.41%	0.82%	1.55%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	13	2	0	1	1	1	2	4	0	0	1	0	1	0	0					
		0.15%	0.19%	0.00%	0.08%	0.38%	0.32%	0.65%	0.60%	0.00%	0.00%	0.21%	0.00%	0.14%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	991	138	108	165	20	28	27	78	119	53	53	41	104	28	29					
		11.17%	13.11%	11.07%	13.92%	7.52%	9.09%	8.82%	11.73%	12.63%	6.76%	10.95%	9.65%	14.15%	5.44%	12.55%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	849	97	73	99	9	17	32	91	80	148	61	61	38	29	14					
		9.57%	9.21%	7.48%	8.35%	3.38%	5.52%	10.46%	13.68%	8.49%	18.88%	12.60%	14.35%	5.17%	5.63%	6.06%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	74	11	6	7	2	3	3	3	14	6	5	4	4	4	2					
		0.83%	1.04%	0.61%	0.59%	0.75%	0.97%	0.98%	0.45%	1.49%	0.77%	1.03%	0.94%	0.54%	0.78%	0.87%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5213	575	567	688	195	205	168	357	543	460	290	195	462	346	162					
		58.74%	54.61%	58.09%	58.06%	73.31%	66.56%	54.90%	53.68%	57.64%	58.67%	59.92%	45.88%	62.86%	67.18%	70.13%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	72	10	15	13	2	0	1	2	11	2	1	1	6	7	1					
		0.81%	0.95%	1.54%	1.10%	0.75%	0.00%	0.33%	0.30%	1.17%	0.26%	0.21%	0.24%	0.82%	1.36%	0.43%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
