Выборы Президента Российской Федерации																																																																									
																																																																									
Наименование Избирательной комиссии:    Боровичcкая																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52	УИК  53	УИК  54	УИК  55	УИК  56	УИК  57	УИК  58	УИК  59	УИК  60	УИК  61	УИК  62	УИК  63	УИК  64	УИК  65	УИК  66	УИК  67	УИК  68	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74									
1	Число избирателей, внесенных в список	62440	1988	1082	1263	1396	1595	2039	1221	1856	1397	1111	1041	1544	966	1699	223	1322	2136	1847	664	1192	1702	1127	1200	2062	1094	1096	1168	1905	1671	2110	2023	987	1930	521	229	105	1063	359	268	405	480	1511	863	84	274	458	407	754	285	646	1431	307	420	290	83	1155	760	479	483	228	150	285									
2	Число полученных избирательных бюллетеней	61720	1900	1050	1250	1400	1600	2000	1200	1800	1400	1050	1000	1500	950	1650	350	1300	2150	1750	650	1150	1650	1100	1150	2000	1100	1050	1150	1900	1600	2000	1900	950	1900	550	250	110	1050	350	270	370	500	1500	850	100	300	470	400	700	300	650	1450	300	720	260	100	1150	800	500	470	250	150	300									
3	Число избирательных бюллетеней, выданных  досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в день голосования	34905	1208	673	825	900	992	1328	656	1117	826	569	523	842	466	1015	220	785	1169	880	353	696	1075	557	525	1163	648	498	664	1058	1002	1314	1092	466	1048	316	126	34	599	201	125	229	187	789	473	44	184	269	159	279	88	278	867	148	415	151	24	636	422	140	257	97	34	181									
5	Число избирательных бюллетеней, выданных вне помещения	3086	42	11	17	17	35	59	26	14	16	27	15	28	24	27	0	20	40	37	12	34	15	32	30	17	32	12	44	46	33	18	38	24	27	26	36	49	65	48	61	75	172	142	96	16	6	37	68	76	119	149	83	56	5	70	40	205	74	200	92	43	53	55									
6	Число погашенных избирательных бюллетеней	23729	650	366	408	483	573	613	518	669	558	454	462	630	460	608	130	495	941	833	285	420	560	511	595	820	420	540	442	796	565	668	770	460	825	208	88	27	386	101	84	66	141	569	281	40	110	164	173	345	93	223	500	96	300	39	36	309	304	160	121	110	63	64									
7	Число избирательных бюллетеней в переносных ящиках	3086	42	11	17	17	35	59	26	14	16	27	15	28	24	27	0	20	40	37	12	34	15	32	30	17	32	12	44	46	33	18	38	24	27	26	36	49	65	48	61	75	172	142	96	16	6	37	68	76	119	149	83	56	5	70	40	205	74	200	92	43	53	55									
8	Число бюллетеней в стационарных ящиках для голосования	34901	1207	673	825	900	991	1328	656	1117	826	568	523	842	466	1014	220	785	1169	880	353	696	1075	557	525	1163	648	498	664	1058	1002	1314	1092	466	1048	316	126	34	599	201	125	229	187	789	473	44	184	269	159	279	88	278	867	148	415	151	24	636	422	140	257	97	34	181									
9	Число недействительных избирательных бюллетеней	251	8	0	1	4	5	5	5	7	4	2	3	5	2	5	1	1	7	5	4	8	4	1	2	7	3	7	3	3	4	5	7	3	6	6	3	0	3	1	1	4	1	4	2	1	6	2	0	40	2	3	3	2	4	1	0	5	3	5	5	1	2	4									
10	Число действительных избирательных бюллетеней	37736	1241	684	841	913	1021	1382	677	1124	838	593	535	865	488	1036	219	804	1202	912	361	722	1086	588	553	1173	677	503	705	1101	1031	1327	1123	487	1069	336	159	83	661	248	185	300	358	927	567	59	184	304	227	315	205	424	947	202	416	220	64	836	493	335	344	139	85	232									
