Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Глазовская городская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	71433	2044	2164	2071	1241	1656	2175	1405	2480	2338	2282	2503	1419	1273	2515	1533	1534	2131	2047	1994	1998	1600	1620	1962	1594	1853	1994	1378	2644	1264	1243	1992	1681	2144	1827	2156	91	2498	1055	1805	40	70	119									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	70508	2050	2150	2050	1200	1650	2150	1400	2450	2350	2250	2500	1400	1250	2500	1500	1500	2100	2050	1950	2000	1300	1600	1950	1550	1850	2000	1350	2650	1250	1200	2000	1650	2150	1800	2150	85	2450	1050	1800	40	70	113									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28391	941	815	742	397	547	828	535	985	925	951	937	577	490	1105	547	572	723	797	778	786	815	717	858	606	822	891	510	1145	575	522	875	760	947	572	776	74	853	357	618	10	0	110									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	268	3	6	8	0	3	9	5	3	9	3	21	9	2	2	8	7	2	10	7	4	4	3	9	1	6	5	1	0	3	1	1	3	1	1	3	5	3	0	6	27	64	0									
6	Число погашенных избирательных бюллетеней	41849	1106	1329	1300	803	1100	1313	860	1462	1416	1296	1542	814	758	1393	945	921	1375	1243	1165	1210	481	880	1083	943	1022	1104	839	1505	672	677	1124	887	1202	1227	1371	6	1594	693	1176	3	6	3									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	268	3	6	8	0	3	9	5	3	9	3	21	9	2	2	8	7	2	10	7	4	4	3	9	1	6	5	1	0	3	1	1	3	1	1	3	5	3	0	6	27	64	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28355	941	815	742	397	547	828	535	985	925	951	937	577	490	1103	547	571	721	786	778	786	815	716	857	606	810	891	510	1145	573	521	875	760	946	572	776	74	851	357	618	10	0	110									
9	Число недействительных избирательных бюллетеней	802	27	30	16	9	16	29	15	29	21	22	24	25	18	46	11	17	12	40	25	27	11	18	24	20	18	16	12	32	12	14	25	15	20	16	26	8	24	12	11	0	0	9									
10	Число действительных избирательных бюллетеней	27821	917	791	734	388	534	808	525	959	913	932	934	561	474	1059	544	561	711	756	760	763	808	701	842	587	798	880	499	1113	564	508	851	748	927	557	753	71	830	345	613	37	64	101									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	770	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	20	0	20	20	20	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	401	10	12	16	7	8	9	7	17	12	10	11	11	4	14	6	9	8	14	17	10	6	12	12	4	11	9	10	11	7	7	15	12	26	11	15	0	9	4	8	0	0	0									
