Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Чегемская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39126	734	477	1180	2795	2896	2970	2269	2954	2804	2922	2372	1792	2071	2662	2869	2519	1867	973									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39514	695	514	1334	2785	2880	2960	2260	2944	2870	2910	2365	2000	2060	2650	2860	2510	2065	852									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	36030	611	477	1180	2571	2693	2743	2064	2717	2734	2571	2134	1762	1905	2362	2600	2253	1867	786									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	243	57	0	0	5	0	0	0	0	70	0	0	30	0	0	10	5	0	66									
6	Число погашенных избирательных бюллетеней	3241	27	37	154	209	187	217	196	227	66	339	231	208	155	288	250	252	198	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	243	57	0	0	5	0	0	0	0	70	0	0	30	0	0	10	5	0	66									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	36025	611	477	1180	2566	2693	2743	2064	2717	2734	2571	2134	1762	1905	2362	2600	2253	1867	786									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	36268	668	477	1180	2571	2693	2743	2064	2717	2804	2571	2134	1792	1905	2362	2610	2258	1867	852									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	167	5	5	5	5	5	5	10	10	10	10	10	10	10	10	10	10	10	27									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	35	0	0	0	4	0	0	3	5	5	4	6	0	0	3	1	1	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28									
14	Число погашенных неиспользованных открепительных удостоверений	132	5	5	5	1	5	5	7	5	5	6	4	10	10	7	9	9	10	24									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	0	0	4	3	3	1	3	4	3	0	0	1	5	1	1	0	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	7	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.02%	0.60%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	8	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.02%	0.30%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	27987	498	357	932	1952	2106	2166	1527	2092	2111	1953	1643	1397	1504	1865	1931	1775	1456	722									
		77.17%	74.55%	74.84%	78.98%	75.92%	78.20%	78.96%	73.98%	76.99%	75.29%	75.96%	76.99%	77.96%	78.95%	78.96%	73.98%	78.61%	77.99%	84.74%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	142	7	0	4	1	0	0	26	0	26	34	23	3	0	0	18	0	0	0									
		0.39%	1.05%	0.00%	0.34%	0.04%	0.00%	0.00%	1.26%	0.00%	0.93%	1.32%	1.08%	0.17%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	4	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0									
		0.02%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	55	4	4	3	7	0	0	4	6	4	4	2	3	0	0	2	7	3	2									
		0.15%	0.60%	0.84%	0.25%	0.27%	0.00%	0.00%	0.19%	0.22%	0.14%	0.16%	0.09%	0.17%	0.00%	0.00%	0.08%	0.31%	0.16%	0.23%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0									
		0.03%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	61	0	0	0	0	0	0	20	0	0	20	21	0	0	0	0	0	0	0									
