Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Молчановская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11353	744	682	728	662	697	677	695	59	110	282	156	177	225	131	353	84	390	480	698	480	598	616	492	133	431	573									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11090	740	660	720	650	700	680	690	60	110	270	160	170	210	190	280	80	380	460	690	460	580	590	470	120	410	560									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3646	179	261	216	230	235	216	259	25	42	102	67	73	63	47	106	27	121	169	214	149	174	175	136	29	145	186									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	295	10	2	7	14	17	9	8	1	5	7	13	6	4	1	7	11	2	58	27	12	15	27	9	7	11	5									
6	Число погашенных избирательных бюллетеней	7149	551	397	497	406	448	455	423	34	63	161	80	91	143	142	167	42	257	233	449	299	391	388	325	84	254	369									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	295	10	2	7	14	17	9	8	1	5	7	13	6	4	1	7	11	2	58	27	12	15	27	9	7	11	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3646	179	261	216	230	235	216	259	25	42	102	67	73	63	47	106	27	121	169	214	149	174	175	136	29	145	186									
9	Число недействительных избирательных бюллетеней	127	14	5	5	7	11	8	10	0	1	2	0	0	1	3	4	2	8	3	8	3	6	11	8	2	2	3									
10	Число действительных избирательных бюллетеней	3814	175	258	218	237	241	217	257	26	46	107	80	79	66	45	109	36	115	224	233	158	183	191	137	34	154	188									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	200	11	11	11	11	11	10	10	3	5	6	5	4	5	4	6	5	6	10	10	10	10	10	10	4	5	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	20	0	4	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	3	0	1	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	23	0	10	0	2	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	180	11	7	10	9	8	10	10	3	5	6	5	4	5	4	6	5	6	7	8	10	7	10	9	4	5	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	32	2	2	0	1	4	0	2	0	0	1	0	0	2	0	1	0	1	0	4	1	1	2	0	0	3	5									
		0.81%	1.06%	0.76%	0.00%	0.41%	1.59%	0.00%	0.75%	0.00%	0.00%	0.92%	0.00%	0.00%	2.99%	0.00%	0.88%	0.00%	0.81%	0.00%	1.66%	0.62%	0.53%	0.99%	0.00%	0.00%	1.92%	2.62%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	171	10	7	8	10	8	13	9	0	1	11	0	2	6	1	4	4	3	7	9	8	8	6	4	3	14	15									
		4.34%	5.29%	2.66%	3.59%	4.10%	3.17%	5.78%	3.37%	0.00%	2.13%	10.09%	0.00%	2.53%	8.96%	2.08%	3.54%	10.53%	2.44%	3.08%	3.73%	4.97%	4.23%	2.97%	2.76%	8.33%	8.97%	7.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	75	5	6	3	5	6	0	5	1	1	2	0	2	1	2	2	0	1	1	7	2	6	7	1	1	3	5									
		1.90%	2.65%	2.28%	1.35%	2.05%	2.38%	0.00%	1.87%	3.85%	2.13%	1.83%	0.00%	2.53%	1.49%	4.17%	1.77%	0.00%	0.81%	0.44%	2.90%	1.24%	3.17%	3.47%	0.69%	2.78%	1.92%	2.62%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1718	80	114	103	101	113	79	107	10	28	56	51	39	20	17	28	17	61	139	88	62	90	86	65	21	51	92									
		43.59%	42.33%	43.35%	46.19%	41.39%	44.84%	35.11%	40.07%	38.46%	59.57%	51.38%	63.75%	49.37%	29.85%	35.42%	24.78%	44.74%	49.59%	61.23%	36.51%	38.51%	47.62%	42.57%	44.83%	58.33%	32.69%	48.17%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	33	1	3	1	1	0	1	2	0	1	0	4	1	0	0	1	0	2	0	3	1	5	2	1	1	1	1									
		0.84%	0.53%	1.14%	0.45%	0.41%	0.00%	0.44%	0.75%	0.00%	2.13%	0.00%	5.00%	1.27%	0.00%	0.00%	0.88%	0.00%	1.63%	0.00%	1.24%	0.62%	2.65%	0.99%	0.69%	2.78%	0.64%	0.52%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1									
		0.18%	0.00%	0.00%	0.00%	0.41%	0.40%	0.00%	0.37%	0.00%	0.00%	0.00%	1.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	2.78%	0.00%	0.52%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1001	56	70	60	54	64	80	71	11	10	21	22	17	20	11	40	12	31	36	53	52	38	46	40	2	43	41									
		25.40%	29.63%	26.62%	26.91%	22.13%	25.40%	35.56%	26.59%	42.31%	21.28%	19.27%	27.50%	21.52%	29.85%	22.92%	35.40%	31.58%	25.20%	15.86%	21.99%	32.30%	20.11%	22.77%	27.59%	5.56%	27.56%	21.47%									
