Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    Железнодорожная городская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545					
1	"Число избирателей, внесенных в списки избирателей"	99763	556	1852	1371	2647	1560	1749	1223	1589	2098	1873	1737	2224	2027	2271	2414	2065	450	2254	2019	1719	1819	1413	2017	2275	2377	2009	2406	2044	2551	2621	1529	2414	2623	2427	2291	2072	2499	2504	2298	1973	2106	2335	2584	1609	2401	2140	2807	2795	742	384					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	94950	450	1800	1300	2600	1400	1600	1200	1400	2300	1800	1700	2200	2000	2300	2400	2000	450	1800	1800	1600	1800	1300	2200	2200	2200	1600	2300	2300	2500	2400	1400	2300	2500	2300	2300	2000	2000	2200	2100	2100	2000	2300	2500	1050	2300	2400	2700	2400	700	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	60050	420	1048	687	1506	920	1025	680	787	1220	916	829	1290	1201	1573	1554	1469	266	1332	1166	988	1102	811	1266	1306	1514	954	1483	1339	1517	1461	1119	1403	1437	1572	1644	1421	1431	1605	1345	1287	1214	1168	1403	978	1370	1457	1743	1861	630	332					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1640	19	19	21	21	19	10	42	32	19	45	15	38	26	19	57	16	184	6	15	19	18	10	22	16	22	27	42	28	34	17	10	39	33	31	31	38	35	24	18	45	36	36	128	52	34	42	23	24	50	33					
6	Число погашенных избирательных бюллетеней	33260	11	733	592	1073	461	565	478	581	1061	839	856	872	773	708	789	515	0	462	619	593	680	479	912	878	664	619	775	933	949	922	271	858	1030	697	625	541	534	571	737	768	750	1096	969	20	896	901	934	515	20	135					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1638	19	19	21	21	19	10	40	32	19	45	15	38	26	19	57	16	184	6	15	19	18	10	22	16	22	27	42	28	34	17	10	39	33	31	31	38	35	24	18	45	36	36	128	52	34	42	23	24	50	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	59932	420	1048	686	1506	920	1025	680	787	1220	916	829	1288	1197	1569	1554	1469	266	1332	1158	988	1102	811	1266	1304	1504	954	1483	1339	1516	1461	1119	1401	1437	1570	1644	1421	1431	1604	1345	1286	1214	1156	1403	977	1368	1415	1720	1861	630	332					
9	Число недействительных избирательных бюллетеней	793	1	11	8	12	16	6	13	17	22	7	17	13	21	14	27	17	5	12	15	14	14	23	26	16	20	15	17	10	24	16	10	21	24	12	23	23	19	26	21	16	7	14	23	24	15	15	23	19	2	7					
10	Число действительных избирательных бюллетеней	60777	438	1056	699	1515	923	1029	707	802	1217	954	827	1313	1202	1574	1584	1468	445	1326	1158	993	1106	798	1262	1304	1506	966	1508	1357	1526	1462	1119	1419	1446	1589	1652	1436	1447	1602	1342	1315	1243	1178	1508	1005	1387	1442	1720	1866	678	358					
