Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
"Наименование Избирательной комиссии:    Рязань, Октябрьская"																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025					
1	"Число избирателей, внесенных в список избирателей"	114440	1678	1727	341	1372	571	2443	2445	797	2243	2225	1195	2618	2515	2227	2317	2280	285	1735	2189	2134	2720	2618	2480	2748	2444	2507	2777	2467	2199	2190	679	2638	2693	2543	2774	2408	2194	2551	2694	2774	2223	2710	2804	2618	2537	2757	2811	2644	1802	1648	2035	1689	1727					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	107110	1300	1700	330	1100	570	2400	2300	750	2100	2100	1100	2500	2400	2100	2200	2200	280	1700	2100	2000	2600	2500	2400	2500	2300	2400	2600	2400	2000	2000	680	2500	2600	2300	2600	2300	2100	2400	2500	2600	2100	2500	2600	2400	2400	2500	2600	2400	1700	1500	1700	1600	1600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	54768	1045	843	89	798	212	981	1095	264	985	1096	555	1362	1170	1153	1175	1102	202	673	1091	1101	1281	1181	1250	1435	1217	1325	1216	1173	1064	863	640	1076	1401	1320	1342	1357	1123	1345	1256	1288	975	1366	1364	1185	1165	1197	1478	1262	749	592	845	715	730					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1804	12	23	241	21	328	36	23	17	21	13	6	27	28	40	27	23	78	61	25	22	17	30	17	24	24	11	15	10	20	14	39	17	20	20	21	12	19	19	10	11	61	13	15	12	10	13	11	6	68	22	71	30	30					
6	Число погашенных избирательных бюллетеней	50538	243	834	0	281	30	1383	1182	469	1094	991	539	1111	1202	907	998	1075	0	966	984	877	1302	1289	1133	1041	1059	1064	1369	1217	916	1123	1	1407	1179	960	1237	931	958	1036	1234	1301	1064	1121	1221	1203	1225	1290	1111	1132	883	886	784	855	840					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1804	12	23	241	21	328	36	23	17	21	13	6	27	28	40	27	23	78	61	25	22	17	30	17	24	24	11	15	10	20	14	39	17	20	20	21	12	19	19	10	11	61	13	15	12	10	13	11	6	68	22	71	30	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	54698	1044	843	89	798	212	978	1095	264	985	1096	554	1358	1169	1153	1175	1101	202	673	1091	1098	1278	1181	1250	1435	1209	1322	1215	1173	1063	863	640	1076	1401	1297	1342	1357	1121	1342	1255	1287	975	1363	1364	1184	1163	1195	1478	1261	749	592	845	714	730					
9	Число недействительных избирательных бюллетеней	792	15	16	3	10	14	23	19	2	8	15	12	9	12	16	13	13	2	10	14	18	28	17	20	23	12	10	8	25	12	10	15	19	14	26	16	23	15	27	9	11	15	18	26	12	15	20	24	20	9	2	16	17	14					
10	Число действительных избирательных бюллетеней	55710	1041	850	327	809	526	991	1099	279	998	1094	548	1376	1185	1177	1189	1111	278	724	1102	1102	1267	1194	1247	1436	1221	1323	1222	1158	1071	867	664	1074	1407	1291	1347	1346	1125	1334	1256	1287	1021	1358	1353	1184	1158	1188	1465	1247	808	612	900	727	746					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1993	84	45	0	30	0	50	58	30	67	34	30	41	40	38	36	41	0	20	30	30	44	30	45	35	24	20	44	50	40	30	0	43	48	40	40	50	38	53	38	57	32	35	54	51	44	58	50	52	30	20	34	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1887	82	44	0	28	0	47	53	12	67	31	26	39	38	38	35	41	0	10	30	27	44	30	45	35	24	20	39	50	39	29	0	43	48	36	38	44	38	50	38	56	31	35	54	51	42	58	50	52	24	17	33	26	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1478	115	18	87	174	35	16	14	15	10	29	10	20	36	18	29	13	5	18	16	13	40	33	18	16	15	9	20	24	19	19	235	17	15	20	12	17	19	14	17	17	11	10	14	38	16	23	17	15	8	6	22	4	7					
14	Число погашенных неиспользованных открепительных удостоверений	106	2	1	0	2	0	3	5	18	0	3	4	2	2	0	1	0	0	10	0	3	0	0	0	0	0	0	5	0	1	1	0	0	0	4	2	6	0	3	0	1	1	0	0	0	2	0	0	0	6	3	1	4	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11388	152	124	39	107	51	135	170	47	162	168	131	221	178	190	213	174	49	110	173	211	271	219	242	359	273	366	215	265	282	194	86	214	291	343	304	349	337	345	254	277	250	304	305	244	244	252	363	246	212	108	200	177	192					
