Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																									
Дата голосования: 04.12.2011																																																									
																																																									
Наименование Избирательной комиссии:    Новоалександровская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956					
1	"Число избирателей, внесенных в список избирателей"	48213	1757	1313	1486	2793	2639	2047	1007	1388	1633	1753	1996	1936	167	1032	337	277	552	157	1055	911	696	193	89	334	1791	665	141	283	847	1150	1824	1622	172	200	389	1275	190	114	192	182	183	192	2447	1228	180	1897	2041	820	385	255					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44084	1500	1050	1300	2500	2300	1900	900	1250	1500	1600	1800	1700	169	930	340	277	558	156	950	850	630	193	93	339	1600	666	138	282	800	1100	1650	1500	174	203	400	1150	193	114	190	187	185	200	2200	1140	190	1700	1850	846	376	265					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25222	781	489	558	1098	1003	761	419	580	805	681	878	1028	98	520	236	153	311	90	495	496	441	154	70	207	1014	321	79	187	429	735	1005	1157	72	152	267	619	132	106	129	160	116	162	1469	772	120	1309	1257	624	270	207					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1962	58	133	61	80	56	90	30	28	64	63	51	62	10	59	32	6	26	6	74	26	10	6	15	41	126	79	12	29	35	65	45	13	52	12	28	56	12	0	11	1	20	14	46	32	6	60	79	19	16	7					
6	Число погашенных избирательных бюллетеней	16900	661	428	681	1322	1241	1049	451	642	631	856	871	610	61	351	72	118	221	60	381	328	179	33	8	91	460	266	47	66	336	300	600	330	50	39	105	475	49	8	50	26	49	24	685	336	64	331	514	203	90	51					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1962	58	133	61	80	56	90	30	28	64	63	51	62	10	59	32	6	26	6	74	26	10	6	15	41	126	79	12	29	35	65	45	13	52	12	28	56	12	0	11	1	20	14	46	32	6	60	79	19	16	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25222	781	489	558	1098	1003	761	419	580	805	681	878	1028	98	520	236	153	311	90	495	496	441	154	70	207	1014	321	79	187	429	735	1005	1157	72	152	267	619	132	106	129	160	116	162	1469	772	120	1309	1257	624	270	207					
9	Число недействительных избирательных бюллетеней	463	3	9	18	16	19	17	3	12	13	11	16	26	3	13	3	1	6	7	9	21	3	0	0	5	18	11	1	12	4	11	5	14	6	9	3	10	6	0	0	3	0	0	16	23	8	21	28	9	5	6					
10	Число действительных избирательных бюллетеней	26721	836	613	601	1162	1040	834	446	596	856	733	913	1064	105	566	265	158	331	89	560	501	448	160	85	243	1122	389	90	204	460	789	1045	1156	118	155	292	665	138	106	140	158	136	176	1499	781	118	1348	1308	634	281	208					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	483	15	10	10	20	24	15	10	10	17	15	15	21	5	10	5	5	6	5	5	10	5	5	5	5	15	5	5	5	10	10	15	15	5	5	5	10	5	5	5	5	5	5	15	25	5	15	15	10	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	306	15	6	9	20	22	14	4	4	17	10	15	20	1	3	0	0	6	0	3	3	4	0	0	5	8	0	0	5	8	10	12	12	1	0	5	6	0	0	0	1	1	0	4	25	5	7	6	9	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	194	7	11	2	6	1	7	6	1	7	8	9	18	4	4	2	3	3	3	5	2	4	0	0	2	7	3	3	1	5	5	6	9	4	0	2	3	1	1	5	0	0	0	7	1	3	1	8	4	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	177	0	4	1	0	2	1	6	6	0	5	0	1	4	7	5	5	0	5	2	7	1	5	5	0	7	5	5	0	2	0	3	3	4	5	0	4	5	5	5	4	4	5	11	0	0	8	9	1	5	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	2	0	1	2	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3242	119	105	81	181	130	119	72	104	94	135	138	153	11	66	11	11	47	10	75	99	63	21	8	28	167	46	8	8	32	61	106	81	10	16	27	73	17	15	7	21	15	16	160	87	22	127	164	54	15	6					
		11.93%	14.18%	16.88%	13.09%	15.37%	12.28%	13.98%	16.04%	17.11%	10.82%	18.15%	14.85%	14.04%	10.19%	11.40%	4.10%	6.92%	13.95%	10.42%	13.18%	18.97%	13.97%	13.13%	9.41%	11.29%	14.65%	11.50%	8.79%	3.70%	6.90%	7.63%	10.10%	6.92%	8.06%	9.76%	9.15%	10.81%	11.81%	14.15%	5.00%	13.04%	11.03%	9.09%	10.56%	10.82%	17.46%	9.28%	12.28%	8.40%	5.24%	2.80%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4679	165	153	116	275	240	142	93	104	162	167	181	186	12	93	25	44	69	24	131	77	58	27	11	24	191	109	21	25	83	66	153	123	16	34	53	199	31	9	16	28	32	10	219	145	23	167	188	96	35	28					
		17.21%	19.67%	24.60%	18.74%	23.34%	22.66%	16.69%	20.71%	17.11%	18.64%	22.45%	19.48%	17.06%	11.11%	16.06%	9.33%	27.67%	20.47%	25.00%	23.02%	14.75%	12.86%	16.88%	12.94%	9.68%	16.75%	27.25%	23.08%	11.57%	17.89%	8.25%	14.57%	10.51%	12.90%	20.73%	17.97%	29.48%	21.53%	8.49%	11.43%	17.39%	23.53%	5.68%	14.46%	18.03%	18.25%	12.20%	14.07%	14.93%	12.24%	13.08%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	172	2	4	4	12	5	6	3	10	8	6	8	6	1	1	1	3	4	3	1	4	2	3	1	2	8	3	1	0	0	1	6	13	1	0	3	4	0	0	0	1	0	0	4	7	0	5	7	2	5	1					
		0.63%	0.24%	0.64%	0.65%	1.02%	0.47%	0.71%	0.67%	1.64%	0.92%	0.81%	0.86%	0.55%	0.93%	0.17%	0.37%	1.89%	1.19%	3.13%	0.18%	0.77%	0.44%	1.88%	1.18%	0.81%	0.70%	0.75%	1.10%	0.00%	0.00%	0.13%	0.57%	1.11%	0.81%	0.00%	1.02%	0.59%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.26%	0.87%	0.00%	0.37%	0.52%	0.31%	1.75%	0.47%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3867	148	113	138	229	208	187	81	110	107	140	182	143	20	88	21	18	48	11	100	78	44	15	4	24	162	32	7	18	54	83	138	127	9	19	63	93	12	17	26	32	7	29	159	97	17	118	166	71	39	15					
