Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																			
Дата голосования: 04.12.2011																			
																			
Наименование Избирательной комиссии:    Богородская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83					
1	"Число избирателей, внесенных в список избирателей"	4504	576	668	681	632	141	154	303	140	272	234	433	270					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5045	631	688	759	676	186	196	340	168	332	274	478	317					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2373	330	323	341	352	80	102	163	90	97	137	216	142					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	584	58	46	58	59	41	28	29	23	104	36	35	67					
6	Число погашенных избирательных бюллетеней	2088	243	319	360	265	65	66	148	55	131	101	227	108					
7	Число избирательных бюллетеней в переносных ящиках для голосования	584	58	46	58	59	41	28	29	23	104	36	35	67					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2372	330	323	341	351	80	102	163	90	97	137	216	142					
9	Число недействительных избирательных бюллетеней	29	3	2	7	4	1	6	1	1	2	1	1	0					
10	Число действительных избирательных бюллетеней	2927	385	367	392	406	120	124	191	112	199	172	250	209					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	380	40	25	40	25	25	30	30	20	40	35	35	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	357	40	5	40	25	25	30	30	20	40	32	35	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	37	3	7	5	7	1	1	3	0	1	3	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	23	0	20	0	0	0	0	0	0	0	3	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	4	6	6	5	2	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	811	121	80	99	115	32	40	47	39	47	45	100	46					
		27.44%	31.19%	21.68%	24.81%	28.05%	26.45%	30.77%	24.48%	34.51%	23.38%	26.01%	39.84%	22.01%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	434	57	70	62	53	16	18	31	17	32	27	27	24					
		14.68%	14.69%	18.97%	15.54%	12.93%	13.22%	13.85%	16.15%	15.04%	15.92%	15.61%	10.76%	11.48%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	28	6	4	3	5	3	0	1	0	1	2	1	2					
		0.95%	1.55%	1.08%	0.75%	1.22%	2.48%	0.00%	0.52%	0.00%	0.50%	1.16%	0.40%	0.96%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	526	68	64	77	76	16	23	28	23	47	26	41	37					
		17.79%	17.53%	17.34%	19.30%	18.54%	13.22%	17.69%	14.58%	20.35%	23.38%	15.03%	16.33%	17.70%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	21	3	4	4	3	0	2	3	0	1	0	1	0					
		0.71%	0.77%	1.08%	1.00%	0.73%	0.00%	1.54%	1.56%	0.00%	0.50%	0.00%	0.40%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1101	130	144	146	152	53	41	80	33	71	72	79	100					
		37.25%	33.51%	39.02%	36.59%	37.07%	43.80%	31.54%	41.67%	29.20%	35.32%	41.62%	31.47%	47.85%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	6	0	1	1	2	0	0	1	0	0	0	1	0					
		0.20%	0.00%	0.27%	0.25%	0.49%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.40%	0.00%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
