Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Черноярская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383					
1	"Число избирателей, внесенных в списки"	15274	1430	1600	2261	1060	1255	1058	1012	758	499	315	795	765	1348	1118					
2	"Число бюллетеней, полученных участковыми комиссиями"	15398	1450	1610	2281	1072	1272	1064	1003	753	509	307	821	766	1362	1128					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7536	681	720	1064	476	659	529	460	386	298	197	368	409	684	605					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	447	20	46	46	67	22	34	21	19	12	6	33	26	68	27					
6	Число погашенных бюллетеней	7415	749	844	1171	529	591	501	522	348	199	104	420	331	610	496					
7	Число бюллетеней в переносных ящиках для голосования	447	20	46	46	67	22	34	21	19	12	6	33	26	68	27					
8	Число бюллетеней в стационарных ящиках для голосования	7536	681	720	1064	476	659	529	460	386	298	197	368	409	684	605					
9	Число недействительных бюллетеней	118	2	10	5	7	6	11	9	7	8	6	9	18	4	16					
10	Число действительных бюллетеней	7865	699	756	1105	536	675	552	472	398	302	197	392	417	748	616					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	50	2	5	9	2	10	4	0	0	2	0	14	0	0	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	49	2	4	9	2	10	4	0	0	2	0	14	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	1	2	0	0	0	2	2	4	3	4	3	0	2	1					
14	Число погашенных открепительных удостоверений	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	113	16	5	13	4	10	9	3	10	11	3	3	5	8	13					
		1.41%	2.28%	0.65%	1.17%	0.73%	1.46%	1.59%	0.62%	2.46%	3.54%	1.47%	0.74%	1.14%	1.06%	2.05%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	98	3	4	17	3	7	6	2	0	5	6	3	2	22	18					
		1.22%	0.42%	0.52%	1.53%	0.55%	1.02%	1.06%	0.41%	0.0%	1.61%	2.95%	0.74%	0.45%	2.92%	2.84%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	184	15	24	17	16	14	13	6	9	0	2	11	15	16	26					
		2.30%	2.13%	3.13%	1.53%	2.94%	2.05%	2.30%	1.24%	2.22%	0.0%	0.98%	2.74%	3.44%	2.12%	4.11%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	81	5	6	6	9	9	7	4	5	2	2	1	5	10	10					
		1.01%	0.71%	0.78%	0.54%	1.65%	1.32%	1.24%	0.83%	1.23%	0.64%	0.98%	0.24%	1.14%	1.32%	1.58%					
22	"5. ""За Русь Святую"""	54	6	4	8	5	12	3	1	0	2	2	2	3	3	3					
		0.67%	0.85%	0.52%	0.72%	0.92%	1.76%	0.53%	0.20%	0.0%	0.64%	0.98%	0.49%	0.68%	0.39%	0.47%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	0	2	1	1	2	1	1	2	0	1	1	1	1	0					
