Выборы Президента Российской Федерации																																		
																																		
"Наименование Избирательной комиссии:    Прокопьевск, Рудничная"																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879					
1	"Число избирателей, внесенных в список"	55881	380	137	2735	173	2609	2186	2613	2765	2293	2441	2254	2325	2176	2461	2014	2450	2199	2748	2433	1421	2198	2224	2336	2214	2227	2103	1766					
2	Число полученных избирательных бюллетеней	55095	372	137	2700	186	2600	2100	2600	2700	2300	2400	2200	2300	2200	2500	2000	2400	2200	2700	2400	1400	2100	2200	2300	2100	2200	2100	1700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36958	328	135	1703	173	1965	1330	1622	1778	1748	1432	1362	1967	1630	1799	1229	1734	1338	1886	1470	1105	1479	1590	1517	1358	1210	1026	1044					
5	"Число избирательных бюллетеней, выданных вне помещения"	1681	22	0	43	0	45	26	33	36	54	50	76	35	84	51	23	70	56	61	98	53	149	172	123	64	70	107	80					
6	Число погашенных избирательных бюллетеней	16456	22	2	954	13	590	744	945	886	498	918	762	298	486	650	748	596	806	753	832	242	472	438	660	678	920	967	576					
7	Число избирательных бюллетеней в переносных ящиках	1681	22	0	43	0	45	26	33	36	54	50	76	35	84	51	23	70	56	61	98	53	149	172	123	64	70	107	80					
8	Число бюллетеней в стационарных ящиках для голосования	36958	328	135	1703	173	1965	1330	1622	1778	1748	1432	1362	1967	1630	1799	1229	1734	1338	1886	1470	1105	1479	1590	1517	1358	1210	1026	1044					
9	Число недействительных избирательных бюллетеней	377	0	0	15	0	10	10	155	19	9	9	7	5	5	14	10	12	6	12	21	6	5	0	7	15	8	10	7					
10	Число действительных избирательных бюллетеней	38262	350	135	1731	173	2000	1346	1500	1795	1793	1473	1431	1997	1709	1836	1242	1792	1388	1935	1547	1152	1623	1762	1633	1407	1272	1123	1117					
11	Число полученных открепительных  удостоверений	1109	5	5	65	15	55	30	60	54	40	50	45	50	45	45	40	40	30	45	50	45	50	30	50	40	40	45	40					
12	Число выданных открепительных удостоверений	826	0	0	53	7	54	22	44	45	30	41	36	44	42	38	30	36	21	38	36	21	36	16	36	27	22	30	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	297	2	2	15	0	10	10	6	5	15	14	18	8	12	7	19	27	11	18	10	11	11	13	9	13	8	10	13					
14	Число неиспользованных открепительных удостоверений	283	5	5	12	8	1	8	16	9	10	9	9	6	3	7	10	4	9	7	14	24	14	14	14	13	18	15	19					
15	"Число открепительных удостоверений, выданных в ТИК"	41	0	0	3	4	1	0	2	0	2	3	2	1	2	1	3	4	1	0	4	1	0	2	2	2	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	1170	4	2	31	0	36	62	39	47	39	66	85	14	21	80	25	48	93	83	86	24	31	3	8	42	61	79	61					
		3.03%	1.14%	1.48%	1.78%	0.00%	1.79%	4.57%	2.36%	2.59%	2.16%	4.45%	5.91%	0.70%	1.23%	4.32%	2.00%	2.66%	6.67%	4.26%	5.48%	2.07%	1.90%	0.17%	0.49%	2.95%	4.77%	6.97%	5.43%					
19	. Малышкин Олег Александрович	1391	6	6	82	0	82	70	84	80	25	60	61	71	7	38	44	56	50	75	68	36	20	74	96	68	51	31	50					
		3.60%	1.71%	4.44%	4.70%	0.00%	4.08%	5.16%	5.08%	4.41%	1.39%	4.05%	4.24%	3.55%	0.41%	2.05%	3.51%	3.10%	3.59%	3.85%	4.34%	3.11%	1.23%	4.20%	5.85%	4.78%	3.98%	2.74%	4.45%					
20	. Миронов Сергей Михайлович	271	3	3	8	0	20	8	7	9	9	12	18	8	11	9	10	12	17	21	10	7	7	3	5	15	22	8	9					
		0.70%	0.86%	2.22%	0.46%	0.00%	1.00%	0.59%	0.42%	0.50%	0.50%	0.81%	1.25%	0.40%	0.64%	0.49%	0.80%	0.67%	1.22%	1.08%	0.64%	0.60%	0.43%	0.17%	0.30%	1.05%	1.72%	0.71%	0.80%					
21	. Путин Владимир Владимирович	29790	293	121	1351	166	1710	909	1155	1433	1535	1014	1007	1782	1476	1346	975	1433	882	1396	993	1016	1401	1520	1312	1118	893	756	797					
		77.10%	83.71%	89.63%	77.38%	95.95%	85.07%	67.04%	69.79%	79.00%	85.18%	68.42%	70.03%	89.01%	86.11%	72.76%	77.88%	79.43%	63.27%	71.70%	63.33%	87.74%	86.06%	86.27%	80.00%	78.62%	69.77%	66.73%	70.91%					
22	. Хакамада Ирина Муцуовна	799	4	0	26	2	21	63	25	27	26	61	55	2	22	69	28	24	59	50	58	11	24	5	4	15	40	41	37					
		2.07%	1.14%	0.00%	1.49%	1.16%	1.04%	4.65%	1.51%	1.49%	1.44%	4.12%	3.82%	0.10%	1.28%	3.73%	2.24%	1.33%	4.23%	2.57%	3.70%	0.95%	1.47%	0.28%	0.24%	1.05%	3.12%	3.62%	3.29%					
23	. Харитонов Николай Михайлович	3629	30	2	110	5	97	137	163	163	107	169	125	116	165	203	129	181	226	230	256	49	102	153	201	118	131	135	126					
		9.39%	8.57%	1.48%	6.30%	2.89%	4.83%	10.10%	9.85%	8.99%	5.94%	11.40%	8.69%	5.79%	9.63%	10.97%	10.30%	10.03%	16.21%	11.81%	16.33%	4.23%	6.27%	8.68%	12.26%	8.30%	10.23%	11.92%	11.21%					
																																		
24	Против всех	1212	10	1	123	0	34	97	27	36	52	91	80	4	7	91	31	38	61	80	76	9	38	4	7	31	74	73	37					
		3.14%	2.86%	0.74%	7.04%	0.00%	1.69%	7.15%	1.63%	1.98%	2.89%	6.14%	5.56%	0.20%	0.41%	4.92%	2.48%	2.11%	4.38%	4.11%	4.85%	0.78%	2.33%	0.23%	0.43%	2.18%	5.78%	6.44%	3.29%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
