Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Кумторкалинская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225					
1	"Число избирателей, внесенных в списки"	13405	2223	2446	2874	2250	876	1037	1034	665					
2	"Число бюллетеней, полученных участковыми комиссиями"	12310	1890	2280	2640	2125	855	970	930	620					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8636	1332	1260	1828	1716	669	633	714	484					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	158	24	0	20	32	0	14	33	35					
6	Число погашенных бюллетеней	3516	534	1020	792	377	186	323	183	101					
7	Число бюллетеней в переносных ящиках для голосования	158	24	0	20	32	0	14	33	35					
8	Число бюллетеней в стационарных ящиках для голосования	8636	1332	1260	1828	1716	669	633	714	484					
9	Число недействительных бюллетеней	168	9	92	13	0	0	33	0	21					
10	Число действительных бюллетеней	8626	1347	1168	1835	1748	669	614	747	498					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	15	15	15	15	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	6	2	2	2	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4	2	0	0	0	0	0	2	0					
14	Число погашенных открепительных удостоверений	94	13	13	13	15	10	10	10	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	59	19	2	0	0	0	38	0	0					
		0.67%	1.40%	0.15%	0.0%	0.0%	0.0%	5.87%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1031	7	272	203	208	0	86	105	150					
		11.72%	0.51%	21.58%	10.98%	11.89%	0.0%	13.29%	14.05%	28.90%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	41	11	9	0	0	0	21	0	0					
		0.46%	0.81%	0.71%	0.0%	0.0%	0.0%	3.24%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	15	3	9	0	0	0	3	0	0					
		0.17%	0.22%	0.71%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	4	0	1	0	0	0	3	0	0					
		0.04%	0.0%	0.07%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	0	2	0	0	0	2	0	0					
		0.04%	0.0%	0.15%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	10	0	5	0	0	0	5	0	0					
		0.11%	0.0%	0.39%	0.0%	0.0%	0.0%	0.77%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	10	1	6	0	0	0	3	0	0					
		0.11%	0.07%	0.47%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%					
