Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Хабаровская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798					
1	"Число избирателей, внесенных в списки избирателей"	64335	1032	1711	1565	742	2231	1869	1017	96	1228	693	1857	392	1255	392	484	933	80	593	307	412	85	75	406	1307	200	725	76	2588	1110	695	2511	2625	1223	442	586	1574	1509	1072	188	1710	1237	1299	1565	909	1861	1570	2381	1936	2471	2067	1728	1676	1994	539	88	1092	326					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	59981	900	1450	1400	700	2200	1800	950	83	1030	660	2000	360	1150	350	430	900	80	550	300	400	72	70	400	1290	170	670	65	2300	1200	600	2300	2500	1200	430	500	1300	1300	1000	183	1700	1250	1200	1400	800	1750	1400	2300	1800	2400	1900	1700	1600	1800	500	88	900	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	151	63	20	0	0	0	0	0	0	0	0	0	0	0	2	0	47	0	11	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	39918	689	845	862	300	1037	1017	475	64	939	393	1601	266	694	236	408	379	46	298	178	209	67	46	201	1084	159	457	62	1756	922	493	1978	1916	732	300	328	885	986	631	148	1026	936	745	957	500	982	950	1389	1116	1453	1154	1001	990	1187	346	73	839	187					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2659	45	203	18	62	97	88	100	10	30	5	50	2	41	54	20	90	5	47	23	19	3	16	94	82	11	51	3	41	123	32	135	48	47	91	24	33	25	45	2	42	12	15	94	5	39	9	64	90	103	27	67	71	29	27	0	20	30					
6	Число погашенных избирательных бюллетеней	17253	103	382	520	338	1066	695	375	9	61	262	349	92	415	58	2	384	29	194	93	172	0	8	105	124	0	162	0	503	155	75	187	536	421	39	148	382	289	324	33	632	302	440	349	295	729	441	847	594	844	719	632	539	584	127	15	41	33					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2810	108	223	18	62	97	88	100	10	30	5	50	2	41	56	20	137	5	58	29	19	5	16	94	82	11	51	3	41	123	32	135	48	47	91	24	33	25	45	2	42	12	15	94	5	39	9	64	90	103	27	67	71	29	27	0	20	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	39900	689	845	862	300	1037	1015	475	64	939	393	1596	266	694	236	406	379	46	298	178	209	67	46	201	1084	159	457	62	1756	922	493	1978	1914	732	300	328	885	986	631	148	1026	934	745	957	500	982	947	1389	1116	1453	1154	1001	990	1186	346	73	838	187					
9	Число недействительных избирательных бюллетеней	462	5	13	15	2	13	15	8	0	4	5	17	2	13	0	3	8	0	8	1	6	0	0	4	7	0	11	0	30	4	3	20	13	13	5	10	12	24	10	2	15	11	12	7	3	9	5	20	16	18	12	4	8	8	0	0	6	2					
10	Число действительных избирательных бюллетеней	42248	792	1055	865	360	1121	1088	567	74	965	393	1629	266	722	292	423	508	51	348	206	222	72	62	291	1159	170	497	65	1767	1041	522	2093	1949	766	386	342	906	987	666	148	1053	935	748	1044	502	1012	951	1433	1190	1538	1169	1064	1053	1207	373	73	852	215					
