Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
Наименование Избирательной комиссии:    Хабаровская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789					
1	"Число избирателей, внесенных в список избирателей"	63788	2664	2204	1840	1590	2621	543	108	813	367	720	2533	1659	756	1607	1829	1060	756	685	2049	422	1412	479	561	831	80	602	294	416	67	77	526	1575	186	660	91	2714	1548	470	2223	2802	1180	405	579	1468	1383	1143	212	1625	1097	1322	1563	968	1715	1422	2210	1056					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	61832	2600	2100	1800	1500	2400	500	100	700	350	700	2500	1500	700	1600	1800	1000	700	600	1900	400	1400	400	500	800	77	500	300	400	80	60	530	1500	190	600	75	2700	1600	460	2100	2200	1100	500	570	1400	1380	1100	200	1600	1100	1300	1560	900	1700	1200	2200	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	93	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0	0	0	0	0	0	0	33	0	28	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	33613	1168	907	848	784	1358	296	57	363	159	461	713	627	262	681	823	360	438	364	1737	153	629	167	167	269	47	291	161	185	62	41	180	1379	99	326	75	1667	1449	291	1710	1932	599	309	236	648	806	499	110	805	769	630	623	431	812	716	929	1005					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1812	37	35	44	43	37	14	0	3	14	4	75	23	32	42	53	85	8	4	49	5	10	67	20	60	6	37	25	24	3	15	146	67	5	34	0	51	98	18	5	26	34	96	15	10	26	47	0	30	13	7	67	4	33	5	50	51					
6	Число погашенных избирательных бюллетеней	26314	1395	1158	908	673	1005	190	43	334	177	220	1704	850	406	877	924	555	254	232	114	242	761	166	313	438	24	144	107	191	13	4	204	54	86	240	0	982	53	151	385	242	467	95	319	742	548	554	90	765	318	663	870	465	855	479	1221	1044					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1905	37	35	44	43	37	14	0	3	14	19	83	23	32	42	53	85	8	4	49	5	10	67	20	93	6	65	32	24	5	15	146	67	5	34	0	51	98	18	5	26	34	96	15	10	26	47	0	30	13	7	67	4	33	5	50	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33563	1167	907	848	784	1321	296	57	363	159	461	713	627	262	681	823	360	438	364	1737	153	628	167	167	269	47	291	161	185	62	41	180	1379	99	326	75	1664	1449	291	1710	1932	599	309	236	648	806	499	110	805	769	630	623	431	804	716	929	1005					
9	Число недействительных избирательных бюллетеней	627	27	23	10	16	21	6	0	2	2	9	11	14	3	16	23	14	7	4	31	3	19	4	2	8	0	7	2	2	1	0	5	16	1	11	0	32	6	10	30	23	15	5	8	14	20	9	2	14	21	12	7	6	20	16	18	19					
10	Число действительных избирательных бюллетеней	34841	1177	919	882	811	1337	304	57	364	171	471	785	636	291	707	853	431	439	364	1755	155	619	230	185	354	53	349	191	207	66	56	321	1430	103	349	75	1683	1541	299	1685	1935	618	400	243	644	812	537	108	821	761	625	683	429	817	705	961	1037					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1320	30	20	30	20	85	15	5	30	5	40	10	10	20	30	20	10	50	15	50	5	20	5	10	10	5	10	5	5	5	5	20	20	5	10	5	55	10	30	210	30	35	25	5	30	15	30	5	20	30	10	20	10	20	30	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	941	13	4	17	16	83	12	2	17	2	29	9	10	4	15	8	7	46	10	50	2	17	0	10	9	1	10	5	0	0	2	20	5	3	4	3	48	2	23	174	23	35	18	2	22	9	16	1	7	21	10	2	7	12	23	23	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	693	6	16	12	34	27	31	1	12	1	5	31	14	4	13	3	11	13	21	8	2	14	56	1	1	0	0	0	0	0	7	9	36	2	11	15	43	1	19	19	9	5	2	4	14	9	7	2	9	5	8	8	4	13	12	7	76					
14	Число погашенных неиспользованных открепительных удостоверений	379	17	16	13	4	2	3	3	13	3	11	1	0	16	15	12	3	4	5	0	3	3	5	0	1	4	0	0	5	5	3	0	15	2	6	2	7	8	7	36	7	0	7	3	8	6	14	4	13	9	0	18	3	8	7	7	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	0	1	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3964	172	114	148	135	148	43	9	37	23	37	122	75	27	102	183	62	57	77	156	19	72	37	31	40	2	50	11	22	4	4	37	74	9	39	8	183	29	27	112	109	74	12	35	97	95	77	12	113	91	87	73	40	114	78	171	149					
		11.18%	14.29%	12.10%	16.59%	16.32%	10.90%	13.87%	15.79%	10.11%	13.29%	7.71%	15.33%	11.54%	9.18%	14.11%	20.89%	13.93%	12.78%	20.92%	8.73%	12.03%	11.29%	15.81%	16.58%	11.05%	3.77%	14.04%	5.70%	10.53%	5.97%	7.14%	11.35%	5.12%	8.65%	10.83%	10.67%	10.67%	1.87%	8.74%	6.53%	5.57%	11.69%	2.96%	13.94%	14.74%	11.42%	14.10%	10.91%	13.53%	11.64%	13.66%	10.58%	9.20%	13.62%	10.82%	17.47%	14.11%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	8589	269	209	204	159	410	83	14	103	42	138	175	168	67	162	184	97	122	70	290	55	129	52	54	73	12	51	13	43	6	11	76	457	6	72	15	432	172	97	476	539	144	101	64	165	219	149	41	209	188	195	178	125	233	244	242	285					
		24.22%	22.34%	22.19%	22.87%	19.23%	30.19%	26.77%	24.56%	28.14%	24.28%	28.75%	21.98%	25.85%	22.79%	22.41%	21.00%	21.80%	27.35%	19.02%	16.24%	34.81%	20.22%	22.22%	28.88%	20.17%	22.64%	14.33%	6.74%	20.57%	8.96%	19.64%	23.31%	31.60%	5.77%	20.00%	20.00%	25.19%	11.12%	31.39%	27.76%	27.53%	22.75%	24.94%	25.50%	25.08%	26.32%	27.29%	37.27%	25.03%	24.04%	30.61%	25.80%	28.74%	27.84%	33.84%	24.72%	26.99%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	489	17	12	7	13	34	2	0	5	0	7	9	2	3	11	10	8	9	8	26	3	5	3	3	2	0	6	3	1	1	0	9	11	0	4	1	40	6	3	23	24	10	3	4	14	15	10	0	7	23	10	4	8	8	14	17	11					
		1.38%	1.41%	1.27%	0.78%	1.57%	2.50%	0.65%	0.00%	1.37%	0.00%	1.46%	1.13%	0.31%	1.02%	1.52%	1.14%	1.80%	2.02%	2.17%	1.46%	1.90%	0.78%	1.28%	1.60%	0.55%	0.00%	1.69%	1.55%	0.48%	1.49%	0.00%	2.76%	0.76%	0.00%	1.11%	1.33%	2.33%	0.39%	0.97%	1.34%	1.23%	1.58%	0.74%	1.59%	2.13%	1.80%	1.83%	0.00%	0.84%	2.94%	1.57%	0.58%	1.84%	0.96%	1.94%	1.74%	1.04%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5649	278	198	184	185	165	55	10	55	22	51	149	126	42	130	213	113	52	75	179	24	114	52	48	55	10	50	26	29	5	17	43	121	9	113	13	290	72	44	220	134	126	32	48	115	141	117	11	198	120	97	134	63	133	116	220	207					
		15.93%	23.09%	21.02%	20.63%	22.37%	12.15%	17.74%	17.54%	15.03%	12.72%	10.63%	18.72%	19.38%	14.29%	17.98%	24.32%	25.39%	11.66%	20.38%	10.02%	15.19%	17.87%	22.22%	25.67%	15.19%	18.87%	14.04%	13.47%	13.88%	7.46%	30.36%	13.19%	8.37%	8.65%	31.39%	17.33%	16.91%	4.65%	14.24%	12.83%	6.84%	19.91%	7.90%	19.12%	17.48%	16.95%	21.43%	10.00%	23.71%	15.35%	15.23%	19.42%	14.48%	15.89%	16.09%	22.47%	19.60%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	712	28	21	23	23	33	2	1	8	8	10	35	15	9	11	19	8	4	16	12	4	29	8	8	11	1	3	0	3	0	0	3	14	2	10	2	35	13	6	25	17	17	7	2	17	21	21	1	29	24	16	6	6	5	16	18	26					
		2.01%	2.33%	2.23%	2.58%	2.78%	2.43%	0.65%	1.75%	2.19%	4.62%	2.08%	4.40%	2.31%	3.06%	1.52%	2.17%	1.80%	0.90%	4.35%	0.67%	2.53%	4.55%	3.42%	4.28%	3.04%	1.89%	0.84%	0.00%	1.44%	0.00%	0.00%	0.92%	0.97%	1.92%	2.78%	2.67%	2.04%	0.84%	1.94%	1.46%	0.87%	2.69%	1.73%	0.80%	2.58%	2.52%	3.85%	0.91%	3.47%	3.07%	2.51%	0.87%	1.38%	0.60%	2.22%	1.84%	2.46%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15227	408	362	311	291	534	118	22	155	76	223	292	243	141	288	242	142	192	116	1078	47	267	76	38	170	28	187	137	109	49	23	151	746	77	111	36	694	1237	115	816	1105	243	243	89	234	317	159	43	256	308	215	286	187	320	234	286	354					
		42.93%	33.89%	38.43%	34.87%	35.19%	39.32%	38.06%	38.60%	42.35%	43.93%	46.46%	36.68%	37.38%	47.96%	39.83%	27.63%	31.91%	43.05%	31.52%	60.36%	29.75%	41.85%	32.48%	20.32%	46.96%	52.83%	52.53%	70.98%	52.15%	73.13%	41.07%	46.32%	51.59%	74.04%	30.83%	48.00%	40.47%	79.96%	37.22%	47.58%	56.44%	38.39%	60.00%	35.46%	35.56%	38.10%	29.12%	39.09%	30.66%	39.39%	33.75%	41.45%	42.99%	38.23%	32.45%	29.21%	33.52%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	211	5	3	5	5	13	1	1	1	0	5	3	7	2	3	2	1	3	2	14	3	3	2	3	3	0	2	1	0	1	1	2	7	0	0	0	9	12	7	13	7	4	2	1	2	4	4	0	9	7	5	2	0	4	3	7	5					
		0.59%	0.42%	0.32%	0.56%	0.60%	0.96%	0.32%	1.75%	0.27%	0.00%	1.04%	0.38%	1.08%	0.68%	0.41%	0.23%	0.22%	0.67%	0.54%	0.78%	1.90%	0.47%	0.85%	1.60%	0.83%	0.00%	0.56%	0.52%	0.00%	1.49%	1.79%	0.61%	0.48%	0.00%	0.00%	0.00%	0.52%	0.78%	2.27%	0.76%	0.36%	0.63%	0.49%	0.40%	0.30%	0.48%	0.73%	0.00%	1.08%	0.90%	0.78%	0.29%	0.00%	0.48%	0.42%	0.72%	0.47%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
