Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																							
Дата голосования: 04.12.2011																																																																							
																																																																							
"Наименование Избирательной комиссии:    Краснодар, Центральная"																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399					
1	"Число избирателей, внесенных в список избирателей"	115566	2029	2482	1940	1339	1845	2070	1893	1772	2350	2109	1712	1428	1998	1651	1635	1884	2177	2130	2491	2375	2322	2129	1783	2140	2757	2088	1801	1907	2067	1256	1675	1468	1960	2193	2758	1844	1606	1806	1943	1930	1603	2527	2303	2186	1981	1422	2029	1868	2575	2072	2060	1922	1981	2539	2385	1479	300	377	1267	206	797	400	243	301					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	116518	2100	2200	2100	1550	1800	2200	1700	1850	2250	2100	1556	1600	2200	1706	1750	1950	2150	2150	2350	2450	2600	2050	1900	2450	2100	2000	1650	2000	1950	1550	1700	1650	2050	2250	2750	1906	2000	1700	2000	1950	1550	2200	2450	2100	2050	1300	2150	1600	2500	2150	2150	1900	2100	2400	2350	1400	400	400	1400	250	800	400	300	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	80940	1214	1801	1359	1017	1084	1637	1250	1677	1458	1378	1191	988	1117	1135	930	1371	1549	1396	1377	1913	1791	909	1240	1818	1947	1522	1239	1642	1574	919	1312	844	1163	1565	2044	1678	1427	1124	1367	1462	1007	1890	1472	1750	1372	998	1825	1084	1623	1416	1557	1337	1522	1347	1272	1077	261	206	1267	38	534	338	211	107					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	7493	236	119	50	276	160	175	140	48	191	44	160	146	136	115	117	102	271	115	106	87	129	58	101	83	42	146	96	98	39	120	91	47	172	235	126	41	95	355	101	69	93	70	31	52	159	81	133	125	137	28	65	21	155	128	143	124	39	158	0	168	263	61	32	189					
6	Число погашенных избирательных бюллетеней	28065	650	280	691	257	556	388	310	125	601	678	205	466	947	456	703	477	330	639	867	450	680	1083	559	549	111	332	315	260	337	511	297	759	715	450	580	167	478	221	532	419	450	240	947	298	519	221	192	391	740	706	528	542	423	925	935	199	100	36	133	44	3	1	57	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7492	236	119	50	276	160	175	140	48	191	44	160	146	136	115	117	102	271	115	106	87	129	58	101	83	42	146	96	98	39	120	91	47	172	235	126	41	95	355	101	69	93	70	31	52	159	81	133	125	137	28	65	21	155	127	143	124	39	158	0	168	263	61	32	189					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	80497	1198	1773	1359	1017	1084	1637	1225	1629	1458	1378	1191	988	1117	1135	930	1371	1549	1346	1377	1826	1791	909	1151	1818	1945	1522	1239	1642	1562	919	1312	844	1163	1565	2044	1656	1427	1124	1367	1462	1007	1848	1472	1750	1372	985	1825	1084	1623	1416	1557	1337	1522	1347	1272	1068	261	206	1267	38	534	338	211	107					
9	Число недействительных избирательных бюллетеней	1156	18	25	47	32	0	23	25	20	0	24	21	4	20	23	16	0	29	13	26	13	2	12	12	26	0	82	2	18	2	12	0	15	10	11	0	36	10	94	22	0	14	35	0	16	5	12	94	15	20	22	2	4	5	15	16	10	74	9	1	2	14	6	3	17					
10	Число действительных избирательных бюллетеней	86833	1416	1867	1362	1261	1244	1789	1340	1657	1649	1398	1330	1130	1233	1227	1031	1473	1791	1448	1457	1900	1918	955	1240	1875	1987	1586	1333	1722	1599	1027	1403	876	1325	1789	2170	1661	1512	1385	1446	1531	1086	1883	1503	1786	1526	1054	1864	1194	1740	1422	1620	1354	1672	1459	1399	1182	226	355	1266	204	783	393	240	279					
