Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Колосовская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10165	140	216	288	90	79	76	126	92	1407	1730	1455	286	475	643	385	188	126	118	386	66	118	92	632	256	228	467									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9943	146	220	305	92	80	78	130	98	1400	1400	1400	292	490	670	390	200	133	121	400	69	115	96	655	253	240	470									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4514	65	109	145	40	27	45	69	55	622	683	677	104	232	220	185	92	64	66	206	41	64	38	251	150	105	159									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	520	19	13	15	3	20	6	3	1	43	17	46	43	7	37	9	8	4	7	25	8	10	5	42	9	12	108									
6	Число погашенных избирательных бюллетеней	4909	62	98	145	49	33	27	58	42	735	700	677	145	251	413	196	100	65	48	169	20	41	53	362	94	123	203									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	520	19	13	15	3	20	6	3	1	43	17	46	43	7	37	9	8	4	7	25	8	10	5	42	9	12	108									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4514	65	109	145	40	27	45	69	55	622	683	677	104	232	220	185	92	64	66	206	41	64	38	251	150	105	159									
9	Число недействительных избирательных бюллетеней	133	1	6	5	0	0	5	3	2	23	15	23	3	7	1	3	2	0	0	13	0	0	3	9	5	1	3									
10	Число действительных избирательных бюллетеней	4901	83	116	155	43	47	46	69	54	642	685	700	144	232	256	191	98	68	73	218	49	74	40	284	154	116	264									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	142	0	2	5	0	0	0	1	0	30	30	30	2	4	5	3	1	1	2	6	0	1	0	8	2	4	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	35	0	1	5	0	0	0	1	0	9	6	5	0	1	3	0	0	1	0	2	0	0	0	1	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	46	0	2	0	0	1	0	1	0	8	0	2	1	4	1	2	1	1	2	2	0	1	0	0	3	0	14									
14	Число погашенных неиспользованных открепительных удостоверений	107	0	1	0	0	0	0	0	0	21	24	25	2	3	2	3	1	0	2	4	0	1	0	7	2	4	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	0	2	0	0	0	0	1	7	7	6	0	0	4	1	0	4	1	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	29	0	1	2	0	0	0	0	0	2	6	4	0	2	2	3	0	1	0	4	0	0	0	1	0	1	0									
		0.58%	0.00%	0.82%	1.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.86%	0.55%	0.00%	0.84%	0.78%	1.55%	0.00%	1.47%	0.00%	1.73%	0.00%	0.00%	0.00%	0.34%	0.00%	0.85%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	312	14	7	10	6	0	3	8	7	42	37	42	6	27	11	16	9	4	5	9	2	4	6	7	7	8	15									
		6.20%	16.67%	5.74%	6.25%	13.95%	0.00%	5.88%	11.11%	12.50%	6.32%	5.29%	5.81%	4.08%	11.30%	4.28%	8.25%	9.00%	5.88%	6.85%	3.90%	4.08%	5.41%	13.95%	2.39%	4.40%	6.84%	5.62%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	70	0	1	1	1	1	0	0	2	5	17	11	4	2	5	3	1	2	0	3	0	3	1	4	1	1	1									
		1.39%	0.00%	0.82%	0.63%	2.33%	2.13%	0.00%	0.00%	3.57%	0.75%	2.43%	1.52%	2.72%	0.84%	1.95%	1.55%	1.00%	2.94%	0.00%	1.30%	0.00%	4.05%	2.33%	1.37%	0.63%	0.85%	0.37%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1970	32	52	78	12	18	20	27	16	250	247	248	80	85	91	94	51	28	22	51	32	30	10	137	80	49	130									
