Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
"Наименование Избирательной комиссии:    Волгоград, Дзержинская"																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	135945	2940	2898	2744	2594	2816	2752	2791	2862	2798	2088	2667	2866	2332	2109	2748	2624	2629	2605	2138	2452	2377	2553	1946	2957	2795	2550	2709	2895	2880	2343	2597	2689	2576	3039	2742	2617	2728	2449	2886	2606	2743	2664	2894	2795	2245	2407	1761	2262	2609	2235	2114	1709	601	595	924									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	130434	2900	2800	2800	2500	2750	2700	2800	2800	2700	2050	2550	2750	2250	1800	2700	2500	2450	2550	2050	2400	2350	2500	1850	2850	2750	2450	2600	2800	2800	2250	2550	2650	2450	2850	2700	2550	2650	2350	2750	2450	2650	2550	2650	2250	2050	2100	1650	2150	2550	2150	2000	1650	600	644	840									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	47616	817	704	902	955	697	792	874	871	947	797	689	1019	745	1219	993	1031	753	858	771	901	979	977	780	1092	1063	938	1008	1107	987	868	993	1116	953	1012	1025	972	926	745	916	874	918	913	1051	1329	882	872	460	655	874	734	506	611	206	451	488									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1718	14	17	17	175	13	10	14	51	16	13	16	15	46	14	10	15	17	13	10	11	13	12	5	6	2	12	20	4	5	1	5	9	3	9	11	8	9	23	19	19	12	9	7	14	9	69	9	27	5	16	24	13	350	100	352									
6	Число погашенных избирательных бюллетеней	81100	2069	2079	1881	1370	2040	1898	1912	1878	1737	1240	1845	1716	1459	567	1697	1454	1680	1679	1269	1488	1358	1511	1065	1752	1685	1500	1572	1689	1808	1381	1552	1525	1494	1829	1664	1570	1715	1582	1815	1557	1720	1628	1592	907	1159	1159	1181	1468	1671	1400	1470	1026	44	93	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1718	14	17	17	175	13	10	14	51	16	13	16	15	46	14	10	15	17	13	10	11	13	12	5	6	2	12	20	4	5	1	5	9	3	9	11	8	9	23	19	19	12	9	7	14	9	69	9	27	5	16	24	13	350	100	352									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	47505	803	687	902	955	697	792	860	871	947	797	680	1019	699	1219	993	1031	753	858	771	901	977	977	780	1092	1063	938	1008	1107	987	868	993	1116	951	1012	1025	972	926	745	909	874	918	913	1051	1329	882	872	460	655	874	734	506	611	206	451	488									
9	Число недействительных избирательных бюллетеней	702	7	2	0	5	10	11	12	10	14	2	16	19	11	35	11	9	13	16	15	12	19	16	10	22	11	6	18	0	24	7	3	0	11	2	25	12	20	8	23	13	10	11	21	33	29	17	6	5	11	25	18	9	13	6	8									
10	Число действительных избирательных бюллетеней	48521	810	702	919	1125	700	791	862	912	949	808	680	1015	734	1198	992	1037	757	855	766	900	971	973	775	1076	1054	944	1010	1111	968	862	995	1125	943	1019	1011	968	915	760	905	880	920	911	1037	1310	862	924	463	677	868	725	512	615	543	545	832									
