Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Мантуровская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10923	250	227	323	453	459	621	327	288	2333	343	313	445	219	443	140	235	374	2065	309	217	539									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9010	210	190	280	380	380	520	270	240	1870	280	270	370	190	360	120	210	310	1670	260	190	440									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4502	125	67	142	179	220	162	153	123	1129	130	151	163	112	144	59	118	158	685	133	90	259									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1299	56	64	118	79	70	42	58	75	49	33	60	65	30	85	19	52	66	40	93	60	85									
6	Число погашенных избирательных бюллетеней	3209	29	59	20	122	90	316	59	42	692	117	59	142	48	131	42	40	86	945	34	40	96									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1299	56	64	118	79	70	42	58	75	49	33	60	65	30	85	19	52	66	40	93	60	85									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4502	125	67	142	179	220	162	153	123	1129	130	151	163	112	144	59	118	158	685	133	90	259									
9	Число недействительных избирательных бюллетеней	169	4	3	3	5	3	4	5	8	32	7	4	11	0	5	1	2	10	33	10	2	17									
10	Число действительных избирательных бюллетеней	5632	177	128	257	253	287	200	206	190	1146	156	207	217	142	224	77	168	214	692	216	148	327									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	667	17	30	15	20	25	30	20	20	100	25	20	40	15	40	20	25	25	100	20	20	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	229	5	2	15	16	13	10	6	20	19	0	4	10	13	3	0	21	9	14	14	16	19									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	32	1	3	1	1	0	1	1	2	9	0	3	1	1	0	0	2	1	4	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	438	12	28	0	4	12	20	14	0	81	25	16	30	2	37	20	4	16	86	6	4	21									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	0	0	1	2	1	2	0	0	10	1	5	0	0	1	0	1	0	7	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	57	2	3	0	5	1	4	3	1	8	1	2	3	0	4	0	0	1	12	0	1	6									
		0.98%	1.10%	2.29%	0.00%	1.94%	0.34%	1.96%	1.42%	0.51%	0.68%	0.61%	0.95%	1.32%	0.00%	1.75%	0.00%	0.00%	0.45%	1.66%	0.00%	0.67%	1.74%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	238	1	8	8	9	5	4	6	10	46	7	14	9	1	6	1	6	16	51	10	5	15									
		4.10%	0.55%	6.11%	3.08%	3.49%	1.72%	1.96%	2.84%	5.05%	3.90%	4.29%	6.64%	3.95%	0.70%	2.62%	1.28%	3.53%	7.14%	7.03%	4.42%	3.33%	4.36%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	94	1	0	2	6	5	4	7	3	23	4	0	2	1	1	0	1	7	20	1	0	6									
		1.62%	0.55%	0.00%	0.77%	2.33%	1.72%	1.96%	3.32%	1.52%	1.95%	2.45%	0.00%	0.88%	0.70%	0.44%	0.00%	0.59%	3.13%	2.76%	0.44%	0.00%	1.74%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3410	140	81	186	161	207	130	114	102	607	99	140	142	114	152	48	115	135	352	153	93	139									
		58.78%	77.35%	61.83%	71.54%	62.40%	71.38%	63.73%	54.03%	51.52%	51.53%	60.74%	66.35%	62.28%	80.28%	66.38%	61.54%	67.65%	60.27%	48.55%	67.70%	62.00%	40.41%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	37	2	1	1	1	5	2	0	2	5	2	0	0	2	0	1	0	0	9	1	1	2									
		0.64%	1.10%	0.76%	0.38%	0.39%	1.72%	0.98%	0.00%	1.01%	0.42%	1.23%	0.00%	0.00%	1.41%	0.00%	1.28%	0.00%	0.00%	1.24%	0.44%	0.67%	0.58%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	0	0	3	1	0	0	1	0	2	0	0	1	1	0	1	1	1	1	0	0	0									
