Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Тунгокоченская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9680	2029	545	613	773	1084	999	609	33	55	481	160	55	170	383	643	136	673	178	61									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9875	2039	550	650	800	1100	1000	650	33	55	500	170	50	200	400	650	137	650	180	61									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2914	641	84	75	145	250	190	156	19	30	194	65	28	83	180	331	72	274	65	32									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	192	32	23	9	9	11	12	28	0	2	4	9	4	3	6	28	0	11	1	0									
6	Число погашенных избирательных бюллетеней	6769	1366	443	566	646	839	798	466	14	23	302	96	18	114	214	291	65	365	114	29									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	192	32	23	9	9	11	12	28	0	2	4	9	4	3	6	28	0	11	1	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2914	641	84	75	145	250	190	156	19	30	194	65	28	83	180	331	72	274	65	32									
9	Число недействительных избирательных бюллетеней	63	12	0	3	3	2	6	6	0	0	5	0	0	3	7	4	0	9	2	1									
10	Число действительных избирательных бюллетеней	3043	661	107	81	151	259	196	178	19	32	193	74	32	83	179	355	72	276	64	31									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	280	60	20	20	20	20	20	20	0	0	20	10	10	20	10	10	0	10	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	39	8	1	1	0	3	3	3	0	0	1	1	0	3	4	7	0	2	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	9	1	0	3	0	0	1	0	0	4	0	0	2	1	2	0	5	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	241	52	19	19	20	17	17	17	0	0	19	9	10	17	6	3	0	8	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	13	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	9	1	2	4	3	3	0	0	0	2	0	0	0	2	2	2	0	0	1									
		0.99%	1.34%	0.93%	2.38%	2.60%	1.15%	1.49%	0.00%	0.00%	0.00%	1.01%	0.00%	0.00%	0.00%	1.08%	0.56%	2.78%	0.00%	0.00%	3.13%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	128	34	1	6	4	9	8	7	1	0	15	5	6	3	8	7	2	10	1	1									
		4.12%	5.05%	0.93%	7.14%	2.60%	3.45%	3.96%	3.80%	5.26%	0.00%	7.58%	6.76%	18.75%	3.49%	4.30%	1.95%	2.78%	3.51%	1.52%	3.13%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	71	12	3	1	9	10	2	3	1	0	3	1	0	1	2	8	2	10	0	3									
		2.29%	1.78%	2.80%	1.19%	5.84%	3.83%	0.99%	1.63%	5.26%	0.00%	1.52%	1.35%	0.00%	1.16%	1.08%	2.23%	2.78%	3.51%	0.00%	9.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1094	173	50	27	58	80	67	82	13	21	68	31	17	40	92	112	45	80	27	11									
		35.22%	25.71%	46.73%	32.14%	37.66%	30.65%	33.17%	44.57%	68.42%	65.63%	34.34%	41.89%	53.13%	46.51%	49.46%	31.20%	62.50%	28.07%	40.91%	34.38%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	2	0	0	1	0	1	0	0	0	3	1	0	0	0	4	0	4	0	0									
		0.52%	0.30%	0.00%	0.00%	0.65%	0.00%	0.50%	0.00%	0.00%	0.00%	1.52%	1.35%	0.00%	0.00%	0.00%	1.11%	0.00%	1.40%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.77%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	972	225	30	29	38	63	61	48	3	7	37	33	7	23	53	156	14	117	17	11									
		31.29%	33.43%	28.04%	34.52%	24.68%	24.14%	30.20%	26.09%	15.79%	21.88%	18.69%	44.59%	21.88%	26.74%	28.49%	43.45%	19.44%	41.05%	25.76%	34.38%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0									
		0.19%	0.15%	0.93%	0.00%	0.00%	0.38%	0.50%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	1.39%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	16	4	0	0	0	3	7	1	0	0	0	0	0	0	1	0	0	0	0	0									
		0.52%	0.59%	0.00%	0.00%	0.00%	1.15%	3.47%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	18	1	1	2	0	3	1	3	0	0	1	0	1	0	0	5	0	0	0	0									
		0.58%	0.15%	0.93%	2.38%	0.00%	1.15%	0.50%	1.63%	0.00%	0.00%	0.51%	0.00%	3.13%	0.00%	0.00%	1.39%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	575	178	15	13	33	73	37	22	1	3	57	0	1	15	5	49	4	53	14	2									
		18.51%	26.45%	14.02%	15.48%	21.43%	27.97%	18.32%	11.96%	5.26%	9.38%	28.79%	0.00%	3.13%	17.44%	2.69%	13.65%	5.56%	18.60%	21.21%	6.25%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	7	1	0	0	2	2	4	0	1	1	0	0	0	0	5	0	0	3	0									
		0.84%	1.04%	0.93%	0.00%	0.00%	0.77%	0.99%	2.17%	0.00%	3.13%	0.51%	0.00%	0.00%	0.00%	0.00%	1.39%	0.00%	0.00%	4.55%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	86	15	4	1	4	10	5	8	0	0	5	3	0	1	16	6	2	2	2	2									
		2.77%	2.23%	3.74%	1.19%	2.60%	3.83%	2.48%	4.35%	0.00%	0.00%	2.53%	4.05%	0.00%	1.16%	8.60%	1.67%	2.78%	0.70%	3.03%	6.25%									
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
