Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Абыйская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7					
1	"Число избирателей, внесенных в списки"	3049	310	1609	335	291	50	174	280					
2	"Число бюллетеней, полученных участковыми комиссиями"	3138	335	1621	360	304	52	181	285					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	47	15	0	15	6	0	7	4					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2300	273	1033	297	260	43	157	237					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	194	16	127	22	15	3	1	10					
6	Число погашенных бюллетеней	597	31	461	26	23	6	16	34					
7	Число бюллетеней в переносных ящиках для голосования	241	31	127	37	21	3	8	14					
8	Число бюллетеней в стационарных ящиках для голосования	2300	273	1033	297	260	43	157	237					
9	Число недействительных бюллетеней	16	3	6	1	0	0	2	4					
10	Число действительных бюллетеней	2525	301	1154	333	281	46	163	247					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	192	20	92	20	20	5	15	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	147	17	88	20	12	1	4	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	3	33	4	7	4	5	3					
14	Число погашенных открепительных удостоверений	45	3	4	0	8	4	11	15					
15	Число открепительных удостоверений выданных ТИК	8	0	6	1	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	136	29	47	18	6	7	11	18					
		5.35%	9.53%	4.05%	5.38%	2.13%	15.21%	6.66%	7.17%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	262	18	145	17	16	10	19	37					
		10.31%	5.92%	12.5%	5.08%	5.69%	21.73%	11.51%	14.74%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	40	1	30	2	3	0	1	3					
		1.57%	0.32%	2.58%	0.59%	1.06%	0.0%	0.60%	1.19%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	26	2	20	1	1	0	1	1					
		1.02%	0.65%	1.72%	0.29%	0.35%	0.0%	0.60%	0.39%					
22	"5. ""За Русь Святую"""	9	3	4	1	0	0	0	1					
		0.35%	0.98%	0.34%	0.29%	0.0%	0.0%	0.0%	0.39%					
23	"6. ""Объединенная Российская партия ""Русь"""	7	0	4	1	1	1	0	0					
		0.27%	0.0%	0.34%	0.29%	0.35%	2.17%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	13	2	11	0	0	0	0	0					
		0.51%	0.65%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	4	2	0	1	1	0	0	0					
		0.15%	0.65%	0.0%	0.29%	0.35%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	5	0	4	1	0	0	0	0					
		0.19%	0.0%	0.34%	0.29%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	50	7	21	3	11	0	4	4					
		1.96%	2.30%	1.81%	0.89%	3.91%	0.0%	2.42%	1.59%					
28	"11. ""Истинные патриоты России"""	5	0	3	1	1	0	0	0					
		0.19%	0.0%	0.25%	0.29%	0.35%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	27	0	16	4	4	0	0	3					
		1.06%	0.0%	1.37%	1.19%	1.42%	0.0%	0.0%	1.19%					
30	"13. ""Демократическая партия России"""	3	1	2	0	0	0	0	0					
		0.11%	0.32%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	9	1	5	1	0	0	0	2					
		0.35%	0.32%	0.43%	0.29%	0.0%	0.0%	0.0%	0.79%					
32	"15. ""Партия СЛОН"""	7	1	4	0	2	0	0	0					
		0.27%	0.32%	0.34%	0.0%	0.71%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	218	14	113	13	22	3	30	23					
		8.57%	4.60%	9.74%	3.89%	7.82%	6.52%	18.18%	9.16%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	1	8	2	1	0	0	2					
		0.55%	0.32%	0.68%	0.59%	0.35%	0.0%	0.0%	0.79%					
35	"18. ""ЛДПР"""	57	5	29	8	8	1	3	3					
		2.24%	1.64%	2.5%	2.39%	2.84%	2.17%	1.81%	1.19%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	38	8	20	2	5	1	2	0					
		1.49%	2.63%	1.72%	0.59%	1.77%	2.17%	1.21%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	1293	163	525	204	178	20	81	122					
		50.88%	53.61%	45.25%	61.07%	63.34%	43.47%	49.09%	48.60%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	1	3	0	0	0	1	0					
		0.19%	0.32%	0.25%	0.0%	0.0%	0.0%	0.60%	0.0%					
39	"22. ""Развитие предпринимательства"""	6	0	4	0	2	0	0	0					
		0.23%	0.0%	0.34%	0.0%	0.71%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	200	29	82	44	14	2	8	21					
		7.87%	9.53%	7.06%	13.17%	4.98%	4.34%	4.84%	8.36%					
														
41	Против всех	91	13	54	9	5	1	2	7					
		3.58%	4.27%	4.65%	2.69%	1.77%	2.17%	1.21%	2.78%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
