Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Верхошижемская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141					
1	"Число избирателей, внесенных в списки избирателей"	8190	261	1371	1301	970	197	271	367	457	300	492	499	848	407	449					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8245	268	1309	1279	968	213	276	380	460	339	504	525	844	415	465					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5560	100	965	826	672	148	212	270	326	208	338	322	547	324	302					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	957	118	48	146	58	24	31	37	39	70	92	93	121	37	43					
6	Число погашенных избирательных бюллетеней	1728	50	296	307	238	41	33	73	95	61	74	110	176	54	120					
7	Число избирательных бюллетеней в переносных ящиках для голосования	957	118	48	146	58	24	31	37	39	70	92	93	121	37	43					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5559	100	965	826	672	148	212	270	326	208	338	322	547	324	301					
9	Число недействительных избирательных бюллетеней	70	3	13	10	6	1	2	4	4	7	6	6	2	4	2					
10	Число действительных избирательных бюллетеней	6446	215	1000	962	724	171	241	303	361	271	424	409	666	357	342					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	242	9	20	22	18	15	7	11	16	22	16	33	16	18	19					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	242	9	20	22	18	15	7	11	16	22	16	33	16	18	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	106	6	16	10	10	5	5	9	2	4	4	7	12	5	11					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	1	0	2	0	0	0	0	0	1	3	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	396	6	59	39	35	6	5	15	49	36	23	24	26	37	36					
		6.08%	2.75%	5.82%	4.01%	4.79%	3.49%	2.06%	4.89%	13.42%	12.95%	5.35%	5.78%	3.89%	10.25%	10.47%					
19	2.Всероссийская политическая партия «Гражданская Сила»	26	0	7	9	0	1	0	0	1	0	2	2	3	0	1					
		0.40%	0.00%	0.69%	0.93%	0.00%	0.58%	0.00%	0.00%	0.27%	0.00%	0.47%	0.48%	0.45%	0.00%	0.29%					
20	3.Политическая партия «Демократическая партия России»	5	0	1	2	1	1	0	0	0	0	0	0	0	0	0					
		0.08%	0.00%	0.10%	0.21%	0.14%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	531	11	91	124	50	14	16	42	24	24	33	27	39	15	21					
		8.15%	5.05%	8.98%	12.76%	6.85%	8.14%	6.58%	13.68%	6.58%	8.63%	7.67%	6.51%	5.84%	4.16%	6.10%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	20	0	1	2	4	2	0	1	0	0	2	1	3	2	2					
		0.31%	0.00%	0.10%	0.21%	0.55%	1.16%	0.00%	0.33%	0.00%	0.00%	0.47%	0.24%	0.45%	0.55%	0.58%					
23	6.Политическая партия «Партия социальной справедливости»	5	0	2	0	1	0	0	0	0	0	0	1	0	0	1					
		0.08%	0.00%	0.20%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.29%					
24	7.Политическая партия «Либерально-демократическая партия России»	734	21	129	106	100	27	27	33	36	19	31	44	78	52	31					
		11.26%	9.63%	12.73%	10.91%	13.70%	15.70%	11.11%	10.75%	9.86%	6.83%	7.21%	10.60%	11.68%	14.40%	9.01%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	340	13	69	47	44	10	12	12	16	22	9	24	34	12	16					
		5.22%	5.96%	6.81%	4.84%	6.03%	5.81%	4.94%	3.91%	4.38%	7.91%	2.09%	5.78%	5.09%	3.32%	4.65%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	36	3	6	3	5	1	1	3	2	1	2	4	3	0	2					
		0.55%	1.38%	0.59%	0.31%	0.68%	0.58%	0.41%	0.98%	0.55%	0.36%	0.47%	0.96%	0.45%	0.00%	0.58%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4328	161	630	622	482	108	180	196	231	169	320	282	477	239	231					
		66.42%	73.85%	62.19%	63.99%	66.03%	62.79%	74.07%	63.84%	63.29%	60.79%	74.42%	67.95%	71.41%	66.20%	67.15%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	25	0	5	8	2	1	0	1	2	0	2	0	3	0	1					
		0.38%	0.00%	0.49%	0.82%	0.27%	0.58%	0.00%	0.33%	0.55%	0.00%	0.47%	0.00%	0.45%	0.00%	0.29%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
