Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																
Дата голосования: 04.12.2011																																																
																																																
Наименование Избирательной комиссии:    Кинешемская городская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261					
1	"Число избирателей, внесенных в список избирателей"	69446	1654	2145	1628	1624	1624	1961	1465	1456	1811	2006	1535	1535	1850	1732	1942	1785	1765	1524	1938	1913	2405	2128	1358	1378	2473	1879	1814	1085	2203	1357	1894	1495	2409	1682	1861	1774	1519	1769	1906	145	19					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	71900	1690	2200	1650	1660	1640	1980	1530	1460	1860	2070	1580	1590	1890	1800	2000	1840	1850	1560	1990	1950	2450	2210	1410	1420	2540	1950	1850	1080	2300	1400	1930	1450	2430	1670	1900	1830	1560	1770	1960	200	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	29890	668	842	611	679	735	896	626	668	834	860	664	634	857	728	981	813	830	752	802	850	1104	1012	678	675	1163	934	875	402	933	500	678	603	909	530	827	676	662	631	604	145	19					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2175	39	74	43	27	39	36	22	23	47	36	51	57	49	24	30	27	33	55	85	78	57	61	60	58	48	35	60	64	46	36	26	171	113	92	57	57	56	124	79	0	0					
6	Число погашенных избирательных бюллетеней	39835	983	1284	996	954	866	1048	882	769	979	1174	865	899	984	1048	989	1000	987	753	1103	1022	1289	1137	672	687	1329	981	915	614	1321	864	1226	676	1408	1048	1016	1097	842	1015	1277	55	781					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2175	39	74	43	27	39	36	22	23	47	36	51	57	49	24	30	27	33	55	85	78	57	61	60	58	48	35	60	64	46	36	26	171	113	92	57	57	56	124	79	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29886	668	842	609	679	735	896	626	668	834	860	664	634	857	728	981	813	830	752	802	850	1104	1012	678	675	1163	934	875	402	933	500	678	603	909	528	827	676	662	631	604	145	19					
9	Число недействительных избирательных бюллетеней	522	6	16	8	10	10	11	4	8	13	17	12	7	10	36	14	18	14	13	16	11	23	12	13	13	29	19	18	6	21	9	13	12	12	5	11	10	17	7	13	4	1					
10	Число действительных избирательных бюллетеней	31539	701	900	644	696	764	921	644	683	868	879	703	684	896	716	997	822	849	794	871	917	1138	1061	725	720	1182	950	917	460	958	527	691	762	1010	615	873	723	701	748	670	141	18					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1220	21	31	25	31	24	43	35	30	30	33	28	28	27	45	30	26	30	25	33	40	36	40	30	30	43	45	51	11	30	30	30	46	20	18	30	30	25	35	25	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1179	21	31	25	30	23	43	35	27	29	32	28	27	24	45	29	26	30	22	33	39	35	38	30	28	43	45	51	11	30	29	21	45	20	18	30	25	23	35	23	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	664	15	18	20	9	16	16	8	9	14	23	14	15	24	13	11	10	12	25	16	17	15	22	11	13	17	17	24	21	18	11	4	27	18	13	12	12	14	4	13	54	19					
14	Число погашенных неиспользованных открепительных удостоверений	41	0	0	0	1	1	0	0	3	1	1	0	1	3	0	1	0	0	3	0	1	1	2	0	2	0	0	0	0	0	1	9	1	0	0	0	5	2	0	2	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	1	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	2	4	0	0	0	0	5	2	0	0	0	1	0	0	0	0	1	1	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5000	105	134	85	102	110	157	104	108	155	158	108	133	140	107	138	149	138	133	149	144	179	162	126	133	212	162	125	75	154	82	109	118	135	68	155	113	115	103	102	14	1					
		15.60%	14.85%	14.63%	13.04%	14.45%	14.21%	16.85%	16.05%	15.63%	17.59%	17.63%	15.10%	19.25%	15.45%	14.23%	13.65%	17.74%	15.99%	16.48%	16.80%	15.52%	15.42%	15.10%	17.07%	18.14%	17.51%	16.72%	13.37%	16.09%	15.73%	15.30%	15.48%	15.25%	13.21%	10.97%	17.53%	15.42%	16.02%	13.64%	14.93%	9.66%	5.26%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4925	101	150	124	113	114	163	124	122	129	129	110	65	127	103	160	138	141	128	157	125	156	161	113	106	170	141	114	69	141	85	109	144	173	93	133	95	119	125	104	46	5					
		15.36%	14.29%	16.38%	19.02%	16.01%	14.73%	17.49%	19.14%	17.66%	14.64%	14.40%	15.38%	9.41%	14.02%	13.70%	15.83%	16.43%	16.34%	15.86%	17.70%	13.47%	13.44%	15.00%	15.31%	14.46%	14.04%	14.55%	12.19%	14.81%	14.40%	15.86%	15.48%	18.60%	16.93%	15.00%	15.05%	12.96%	16.57%	16.56%	15.23%	31.72%	26.32%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	379	8	14	11	5	9	13	12	10	10	13	2	9	8	5	19	13	10	14	3	8	7	14	11	10	20	8	5	10	13	8	12	7	11	5	10	11	9	6	4	2	0					
		1.18%	1.13%	1.53%	1.69%	0.71%	1.16%	1.39%	1.85%	1.45%	1.14%	1.45%	0.28%	1.30%	0.88%	0.66%	1.88%	1.55%	1.16%	1.73%	0.34%	0.86%	0.60%	1.30%	1.49%	1.36%	1.65%	0.83%	0.53%	2.15%	1.33%	1.49%	1.70%	0.90%	1.08%	0.81%	1.13%	1.50%	1.25%	0.79%	0.59%	1.38%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	9228	182	262	177	196	175	232	182	189	254	233	221	245	292	207	269	209	229	246	264	282	350	384	179	176	339	324	315	147	308	166	224	185	296	183	267	223	198	224	172	19	3					
		28.78%	25.74%	28.60%	27.15%	27.76%	22.61%	24.89%	28.09%	27.35%	28.83%	26.00%	30.91%	35.46%	32.23%	27.53%	26.61%	24.88%	26.54%	30.48%	29.76%	30.39%	30.15%	35.79%	24.25%	24.01%	27.99%	33.44%	33.69%	31.55%	31.46%	30.97%	31.82%	23.90%	28.96%	29.52%	30.20%	30.42%	27.58%	29.67%	25.18%	13.10%	15.79%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1012	21	13	13	23	34	33	18	33	28	20	30	13	29	22	28	17	27	29	46	38	34	27	14	26	73	28	40	20	30	14	24	32	17	23	15	30	16	16	13	1	4					
		3.16%	2.97%	1.42%	1.99%	3.26%	4.39%	3.54%	2.78%	4.78%	3.18%	2.23%	4.20%	1.88%	3.20%	2.93%	2.77%	2.02%	3.13%	3.59%	5.19%	4.09%	2.93%	2.52%	1.90%	3.55%	6.03%	2.89%	4.28%	4.29%	3.06%	2.61%	3.41%	4.13%	1.66%	3.71%	1.70%	4.09%	2.23%	2.12%	1.90%	0.69%	21.05%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10768	283	317	233	251	316	320	202	214	284	320	229	213	294	264	377	290	298	237	244	313	400	304	275	266	361	281	308	136	302	165	210	268	375	238	289	246	242	267	272	59	5					
		33.59%	40.03%	34.61%	35.74%	35.55%	40.83%	34.33%	31.17%	30.97%	32.24%	35.71%	32.03%	30.82%	32.45%	35.11%	37.29%	34.52%	34.53%	29.37%	27.51%	33.73%	34.45%	28.33%	37.26%	36.29%	29.81%	28.99%	32.94%	29.18%	30.85%	30.78%	29.83%	34.63%	36.69%	38.39%	32.69%	33.56%	33.70%	35.36%	39.82%	40.69%	26.32%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	227	1	10	1	6	6	3	2	7	8	6	3	6	6	8	6	6	6	7	8	7	12	9	7	3	7	6	10	3	10	7	3	8	3	5	4	5	2	7	3	0	0					
		0.71%	0.14%	1.09%	0.15%	0.85%	0.78%	0.32%	0.31%	1.01%	0.91%	0.67%	0.42%	0.87%	0.66%	1.06%	0.59%	0.71%	0.70%	0.87%	0.90%	0.75%	1.03%	0.84%	0.95%	0.41%	0.58%	0.62%	1.07%	0.64%	1.02%	1.31%	0.43%	1.03%	0.29%	0.81%	0.45%	0.68%	0.28%	0.93%	0.44%	0.00%	0.00%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
