Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    район Покровское-Стрешнево																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №2964	УИК №2965	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №2971	УИК №2972	УИК №2973	УИК №2974	УИК №2975	УИК №2976	УИК №2977	УИК №2978	УИК №2979	УИК №3769	УИК №3770	УИК №3771	УИК №3772	УИК №3773	УИК №3774	УИК №3775	УИК №8273	УИК №8375									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34376	2094	1642	2252	1700	2497	2725	2572	447	2636	2619	996	1914	2080	2276	1798	1667	69	124	54	161	83	141	35	1300	494									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47687	1500	1200	1600	1200	1800	1900	1800	350	1900	1900	2000	1400	1500	1600	1300	1202	70	150	60	180	85	150	40	20220	2580									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13925	874	621	719	642	1028	938	927	136	898	1026	963	618	699	735	616	570	57	104	41	88	83	141	16	891	494									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	828	28	31	20	15	18	22	16	1	27	14	33	16	28	28	15	4	5	8	9	62	0	0	19	409	0									
6	Число погашенных избирательных бюллетеней	32934	598	548	861	543	754	940	857	213	975	860	1004	766	773	837	669	628	8	38	10	30	2	9	5	18920	2086									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	827	28	31	20	15	18	22	16	1	27	14	33	16	28	28	15	4	5	8	9	62	0	0	19	408	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13895	871	621	718	641	1028	938	911	136	895	1026	961	618	699	733	615	570	57	104	41	88	83	141	16	890	494									
9	Число недействительных избирательных бюллетеней	224	26	11	7	6	13	21	12	4	9	15	16	8	8	17	20	9	0	1	0	1	3	2	0	6	9									
10	Число действительных избирательных бюллетеней	14498	873	641	731	650	1033	939	915	133	913	1025	978	626	719	744	610	565	62	111	50	149	80	139	35	1292	485									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	20	20	20	20	30	20	20	10	30	30	35	20	20	20	20	20	0	0	0	0	0	0	0	20	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	234	18	10	8	9	24	16	15	3	23	22	25	13	17	10	11	10	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	330	13	3	8	20	10	35	22	11	3	17	1	6	79	24	11	6	7	7	3	6	0	11	1	21	5									
14	Число погашенных неиспользованных открепительных удостоверений	166	2	10	12	11	6	4	5	7	7	8	10	7	3	10	9	10	0	0	0	0	0	0	0	20	25									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	1	4	7	0	2	4	4	0	7	3	2	3	2	2	4	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
