Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Чамзинская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24701	1257	1312	1430	900	1431	1365	459	1303	1148	1295	1233	1311	1271	1236	1214	921	659	154	832	320	152	244	235	546	88	385	130	348	570	561	391									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25500	1269	1348	1452	930	1455	1383	537	1316	1257	1328	1279	1390	1289	1283	1234	940	675	161	846	345	158	267	250	570	92	400	135	365	574	562	410									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22209	1164	1211	1295	766	1334	1246	459	1285	1143	1165	702	1153	1191	1199	1103	843	613	139	756	259	137	179	200	487	78	347	129	274	491	533	328									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	811	18	25	21	60	14	10	0	18	5	26	12	14	8	7	52	35	28	11	61	43	11	65	20	53	8	32	0	58	52	12	32									
6	Число погашенных избирательных бюллетеней	2480	87	112	136	104	107	127	78	13	109	137	565	223	90	77	79	62	34	11	29	43	10	23	30	30	6	21	6	33	31	17	50									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	811	18	25	21	60	14	10	0	18	5	26	12	14	8	7	52	35	28	11	61	43	11	65	20	53	8	32	0	58	52	12	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22209	1164	1211	1295	766	1334	1246	459	1285	1143	1165	702	1153	1191	1199	1103	843	613	139	756	259	137	179	200	487	78	347	129	274	491	533	328									
9	Число недействительных избирательных бюллетеней	71	0	0	6	0	17	0	4	0	0	1	3	3	0	0	10	7	2	0	0	11	0	0	0	0	0	0	0	2	0	0	5									
10	Число действительных избирательных бюллетеней	22949	1182	1236	1310	826	1331	1256	455	1303	1148	1190	711	1164	1199	1206	1145	871	639	150	817	291	148	244	220	540	86	379	129	330	543	545	355									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	358	16	17	17	11	17	17	6	18	18	18	18	18	18	18	18	11	9	3	10	7	3	5	5	10	3	8	3	8	10	10	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	245	16	10	17	11	17	9	3	8	4	8	11	12	18	18	11	1	8	1	10	7	2	3	0	10	0	2	0	7	10	3	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	87	5	1	5	2	4	5	2	11	6	3	3	2	0	0	1	0	0	1	3	3	2	4	2	3	2	1	0	5	7	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	113	0	7	0	0	0	8	3	10	14	10	7	6	0	0	7	10	1	2	0	0	1	2	5	0	3	6	3	1	0	7	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	0	1	1	3	1	6	0	3	1	1	2	4	3	4	1	0	1	0	2	0	1	1	3	0	0	0	2	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	26	6	0	0	0	3	0	0	0	0	3	1	7	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0									
		0.11%	0.51%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.25%	0.14%	0.60%	0.08%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	96	3	1	0	0	29	0	3	0	0	5	1	7	2	20	3	0	7	6	0	3	0	0	0	3	2	0	0	1	0	0	0									
		0.42%	0.25%	0.08%	0.00%	0.00%	2.15%	0.00%	0.65%	0.00%	0.00%	0.42%	0.14%	0.60%	0.17%	1.66%	0.26%	0.00%	1.09%	4.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.56%	2.33%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	41	7	1	1	0	0	0	6	0	0	3	2	6	2	0	2	3	4	2	0	0	0	0	0	0	0	0	0	1	1	0	0									
		0.18%	0.59%	0.08%	0.08%	0.00%	0.00%	0.00%	1.31%	0.00%	0.00%	0.25%	0.28%	0.51%	0.17%	0.00%	0.17%	0.34%	0.62%	1.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.18%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20537	1034	1103	1164	735	1179	1135	371	1136	1010	1063	622	1015	1055	1126	1002	779	559	137	772	274	136	232	204	535	84	340	119	311	478	504	323									
		89.21%	87.48%	89.24%	88.45%	88.98%	87.46%	90.37%	80.83%	87.18%	87.98%	89.25%	87.11%	86.98%	87.99%	93.37%	86.75%	88.72%	87.21%	91.33%	94.49%	90.73%	91.89%	95.08%	92.73%	99.07%	97.67%	89.71%	92.25%	93.67%	88.03%	92.48%	89.72%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	9	0	0	0	0	0	0	0	0	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.14%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%									
