Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
Наименование Избирательной комиссии:    территориальная избирательная комиссия Вязниковского района																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №1015	УИК №1016	УИК №1017	УИК №1018					
1	"Число избирателей, внесенных в списки избирателей"	72752	1748	1996	1973	1616	2069	2083	2044	1968	1877	2099	1675	427	1435	2178	2008	2139	2034	599	1003	506	943	450	1338	997	1351	937	554	353	963	185	557	388	1528	1654	1658	753	836	601	467	524	2047	648	667	327	708	367	2363	1379	1535	492	1847	546	478	1103	1778	216	1361	348	677	390	457	974	537	246	233	302	212					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	67002	1600	1850	1800	1450	1900	1900	1900	1800	1700	1900	1550	380	1300	2000	1850	2000	1900	550	950	430	850	410	1250	950	1250	860	540	340	900	187	520	360	1400	1500	1500	670	770	540	430	480	1900	590	630	300	650	330	2200	1250	1400	450	1700	490	440	1000	1700	227	1220	310	615	360	430	900	500	243	231	300	219					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	35752	891	1010	929	811	1039	1139	958	1016	1052	1154	836	277	685	1178	1044	1250	1038	351	541	133	489	186	590	540	642	494	293	99	476	117	281	163	640	792	838	407	415	300	247	205	871	337	312	138	322	130	1158	588	694	238	781	253	178	535	767	74	885	206	289	145	192	426	282	97	94	84	130					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5492	70	83	111	49	106	72	132	56	68	51	99	22	95	52	64	176	108	52	36	139	54	40	37	143	148	31	101	132	129	63	144	35	47	49	81	29	73	43	45	99	106	111	95	36	67	90	105	166	94	63	124	51	157	136	124	99	130	21	66	76	74	133	27	32	33	92	20					
6	Число погашенных избирательных бюллетеней	25758	639	757	760	590	755	689	810	728	580	695	615	81	520	770	742	574	754	147	373	158	307	184	623	267	460	335	146	109	295	7	95	162	713	659	581	234	282	197	138	176	923	142	223	126	261	110	937	496	612	149	795	186	105	329	809	54	205	83	260	139	164	341	191	114	104	124	69					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5492	70	83	111	49	106	72	132	56	68	51	99	22	95	52	64	176	108	52	36	139	54	40	37	143	148	31	101	132	129	63	144	35	47	49	81	29	73	43	45	99	106	111	95	36	67	90	105	166	94	63	124	51	157	136	124	99	130	21	66	76	74	133	27	32	33	92	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	35527	891	1010	929	811	923	1043	958	1016	1052	1154	836	277	682	1178	1044	1250	1038	351	541	133	489	186	590	540	642	494	293	99	476	117	281	163	640	792	838	407	415	300	247	205	871	337	312	138	322	130	1158	588	694	238	781	253	178	535	767	74	875	206	289	145	192	426	282	97	94	84	130					
9	Число недействительных избирательных бюллетеней	390	10	8	4	13	5	8	6	8	25	11	4	25	10	8	10	13	15	2	7	2	4	2	2	4	8	1	1	0	6	0	15	1	3	6	6	1	8	7	3	0	13	5	4	3	2	1	10	4	13	2	13	2	5	4	7	2	10	2	2	0	4	3	2	0	2	1	2					
10	Число действительных избирательных бюллетеней	40629	951	1085	1036	847	1024	1107	1084	1064	1095	1194	931	274	767	1222	1098	1413	1131	401	570	270	539	224	625	679	782	524	393	231	599	180	410	197	684	835	913	435	480	336	289	304	964	443	403	171	387	219	1253	750	775	299	892	302	330	667	884	171	995	225	353	221	262	556	307	129	125	175	148					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1214	15	15	25	20	15	30	30	15	30	20	15	15	15	20	19	30	30	15	15	15	15	15	15	15	15	15	30	15	15	15	15	15	15	15	15	15	15	15	15	15	30	15	30	15	15	15	35	15	15	15	15	15	30	25	30	15	15	15	15	15	15	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	759	15	15	25	20	15	26	28	15	22	20	13	7	10	20	19	30	21	10	12	5	7	3	7	7	7	11	26	10	7	2	2	2	3	13	12	3	14	1	2	3	23	6	21	4	4	0	35	10	15	7	10	5	13	13	21	14	15	2	6	6	12	4	13	2	0	4	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	451	11	10	10	9	22	22	10	14	17	16	8	11	7	3	7	31	12	4	2	4	4	6	3	6	8	5	12	3	1	1	3	0	2	7	1	3	9	7	2	2	6	5	4	2	2	4	13	8	9	4	5	2	7	5	5	6	12	9	3	1	1	7	5	4	1	4	2					
14	Число погашенных неиспользованных открепительных удостоверений	455	0	0	0	0	0	4	2	0	8	0	2	8	5	0	0	0	9	5	3	10	8	12	8	8	8	4	4	5	8	13	13	13	12	2	3	12	1	14	13	12	7	9	9	11	11	15	0	5	0	8	5	10	17	12	9	1	0	13	9	9	3	11	2	13	15	11	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																										
18	1.Политическая партия «Аграрная партия России»	1069	26	19	17	28	25	29	18	21	32	24	34	5	21	32	23	32	23	13	32	21	57	5	16	8	12	18	19	14	7	2	9	11	27	19	19	12	9	7	7	10	15	3	5	4	6	2	23	22	18	14	25	19	4	7	14	1	17	5	14	9	18	26	9	1	5	6	14					
		2.61%	2.71%	1.74%	1.63%	3.26%	2.43%	2.60%	1.65%	1.96%	2.86%	1.99%	3.64%	1.67%	2.70%	2.60%	2.08%	2.24%	2.01%	3.23%	5.55%	7.72%	10.50%	2.21%	2.55%	1.17%	1.52%	3.43%	4.82%	6.06%	1.16%	1.11%	2.12%	5.56%	3.93%	2.26%	2.07%	2.75%	1.84%	2.04%	2.40%	3.29%	1.54%	0.67%	1.23%	2.30%	1.54%	0.91%	1.82%	2.92%	2.28%	4.65%	2.76%	6.25%	1.19%	1.04%	1.57%	0.58%	1.69%	2.20%	3.94%	4.07%	6.77%	4.65%	2.91%	0.78%	3.94%	3.41%	9.33%					
19	2.Всероссийская политическая партия «Гражданская Сила»	253	6	10	9	4	5	12	7	5	18	19	6	1	7	10	5	15	11	6	1	0	1	2	1	3	2	4	2	0	2	0	0	2	4	8	7	4	5	0	2	0	2	2	0	0	3	1	9	1	7	0	3	1	1	2	2	0	2	3	0	0	1	1	3	1	0	1	1					
		0.62%	0.62%	0.91%	0.87%	0.47%	0.49%	1.08%	0.64%	0.47%	1.61%	1.58%	0.64%	0.33%	0.90%	0.81%	0.45%	1.05%	0.96%	1.49%	0.17%	0.00%	0.18%	0.88%	0.16%	0.44%	0.25%	0.76%	0.51%	0.00%	0.33%	0.00%	0.00%	1.01%	0.58%	0.95%	0.76%	0.92%	1.02%	0.00%	0.68%	0.00%	0.20%	0.45%	0.00%	0.00%	0.77%	0.45%	0.71%	0.13%	0.89%	0.00%	0.33%	0.33%	0.30%	0.30%	0.22%	0.00%	0.20%	1.32%	0.00%	0.00%	0.38%	0.18%	0.97%	0.78%	0.00%	0.57%	0.67%					
20	3.Политическая партия «Демократическая партия России»	33	0	0	2	1	1	0	0	0	1	0	0	0	0	1	1	2	1	2	0	0	0	0	2	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	1	2	0	0					
		0.08%	0.00%	0.00%	0.19%	0.12%	0.10%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.08%	0.09%	0.14%	0.09%	0.50%	0.00%	0.00%	0.00%	0.00%	0.32%	0.15%	0.13%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.15%	0.12%	0.11%	0.00%	0.20%	0.29%	0.00%	0.00%	0.10%	0.00%	0.00%	0.57%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.56%	0.90%	0.00%	0.00%	0.00%	0.78%	1.57%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4394	121	135	92	48	91	105	108	120	163	176	114	25	86	115	112	201	119	59	53	23	36	28	45	50	52	55	61	20	48	8	32	23	59	92	87	49	44	33	25	21	104	43	20	17	61	25	162	117	125	38	152	47	34	47	98	16	74	18	44	17	34	77	14	5	19	29	23					
		10.71%	12.59%	12.35%	8.85%	5.58%	8.84%	9.42%	9.91%	11.19%	14.55%	14.61%	12.19%	8.36%	11.07%	9.35%	10.11%	14.10%	10.38%	14.64%	9.19%	8.46%	6.63%	12.39%	7.18%	7.32%	6.58%	10.48%	15.48%	8.66%	7.93%	4.44%	7.53%	11.62%	8.59%	10.94%	9.47%	11.24%	9.02%	9.62%	8.56%	6.91%	10.64%	9.60%	4.91%	9.77%	15.68%	11.36%	12.83%	15.52%	15.86%	12.62%	16.80%	15.46%	10.15%	7.00%	10.99%	9.25%	7.36%	7.93%	12.39%	7.69%	12.78%	13.77%	4.53%	3.88%	14.96%	16.48%	15.33%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	225	3	8	2	1	10	0	4	9	5	14	7	0	1	3	6	21	4	0	3	0	2	1	1	5	5	3	0	0	1	0	0	1	4	5	14	6	5	0	1	0	1	0	1	0	3	2	10	2	5	2	2	7	3	0	8	0	0	4	10	0	0	1	1	6	2	0	0					
		0.55%	0.31%	0.73%	0.19%	0.12%	0.97%	0.00%	0.37%	0.84%	0.45%	1.16%	0.75%	0.00%	0.13%	0.24%	0.54%	1.47%	0.35%	0.00%	0.52%	0.00%	0.37%	0.44%	0.16%	0.73%	0.63%	0.57%	0.00%	0.00%	0.17%	0.00%	0.00%	0.51%	0.58%	0.59%	1.52%	1.38%	1.02%	0.00%	0.34%	0.00%	0.10%	0.00%	0.25%	0.00%	0.77%	0.91%	0.79%	0.27%	0.63%	0.66%	0.22%	2.30%	0.90%	0.00%	0.90%	0.00%	0.00%	1.76%	2.82%	0.00%	0.00%	0.18%	0.32%	4.65%	1.57%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	89	3	7	2	5	1	0	2	3	1	2	2	2	1	4	4	8	1	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	3	0	2	0	0	1	1	0	0	1	2	0	0	1	2	0	5	2	1	3	1	1	1	0	0	0	0	0	2	1	1	1	0					
		0.22%	0.31%	0.64%	0.19%	0.58%	0.10%	0.00%	0.18%	0.28%	0.09%	0.17%	0.21%	0.67%	0.13%	0.33%	0.36%	0.56%	0.09%	0.25%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.43%	0.00%	0.00%	0.00%	0.00%	0.29%	0.24%	0.33%	0.00%	0.41%	0.00%	0.00%	0.33%	0.10%	0.00%	0.00%	0.57%	0.51%	0.00%	0.00%	0.13%	0.25%	0.00%	0.55%	0.66%	0.30%	0.45%	0.11%	0.58%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.78%	0.79%	0.57%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	4038	85	109	94	93	116	159	144	120	116	115	97	17	105	107	113	161	146	52	35	19	62	21	80	81	90	73	42	15	91	8	23	12	53	65	62	38	72	15	25	26	70	44	37	4	27	31	99	53	78	25	80	21	28	39	98	9	83	25	39	16	24	60	38	16	17	8	12					
		9.84%	8.84%	9.97%	9.04%	10.81%	11.27%	14.26%	13.21%	11.19%	10.36%	9.54%	10.37%	5.69%	13.51%	8.70%	10.20%	11.29%	12.74%	12.90%	6.07%	6.99%	11.42%	9.29%	12.76%	11.86%	11.39%	13.90%	10.66%	6.49%	15.04%	4.44%	5.41%	6.06%	7.71%	7.73%	6.75%	8.72%	14.75%	4.37%	8.56%	8.55%	7.16%	9.82%	9.09%	2.30%	6.94%	14.09%	7.84%	7.03%	9.90%	8.31%	8.84%	6.91%	8.36%	5.81%	10.99%	5.20%	8.26%	11.01%	10.99%	7.24%	9.02%	10.73%	12.30%	12.40%	13.39%	4.55%	8.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3900	89	99	116	82	122	126	94	110	103	120	95	27	80	94	124	151	132	39	99	15	46	32	49	89	58	48	23	15	46	8	11	19	58	80	78	35	70	21	13	27	90	51	35	7	25	11	126	55	55	22	76	30	30	51	66	5	162	21	27	12	50	50	46	13	11	23	7					
		9.51%	9.26%	9.06%	11.15%	9.53%	11.86%	11.30%	8.62%	10.26%	9.20%	9.96%	10.16%	9.03%	10.30%	7.64%	11.19%	10.59%	11.52%	9.68%	17.16%	5.51%	8.47%	14.16%	7.81%	13.03%	7.34%	9.14%	5.84%	6.49%	7.60%	4.44%	2.59%	9.60%	8.44%	9.51%	8.49%	8.03%	14.34%	6.12%	4.45%	8.88%	9.21%	11.38%	8.60%	4.02%	6.43%	5.00%	9.98%	7.29%	6.98%	7.31%	8.40%	9.87%	8.96%	7.60%	7.41%	2.89%	16.12%	9.25%	7.61%	5.43%	18.80%	8.94%	14.89%	10.08%	8.66%	13.07%	4.67%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	294	9	15	6	7	5	13	6	5	12	16	9	2	6	7	11	15	16	3	3	3	5	1	3	0	2	1	0	1	0	1	1	0	8	8	8	2	3	1	4	4	2	6	1	0	1	1	8	5	10	3	4	1	3	0	2	3	4	2	4	0	0	1	6	1	0	3	1					
		0.72%	0.94%	1.37%	0.58%	0.81%	0.49%	1.17%	0.55%	0.47%	1.07%	1.33%	0.96%	0.67%	0.77%	0.57%	0.99%	1.05%	1.40%	0.74%	0.52%	1.10%	0.92%	0.44%	0.48%	0.00%	0.25%	0.19%	0.00%	0.43%	0.00%	0.56%	0.24%	0.00%	1.16%	0.95%	0.87%	0.46%	0.61%	0.29%	1.37%	1.32%	0.20%	1.34%	0.25%	0.00%	0.26%	0.45%	0.63%	0.66%	1.27%	0.99%	0.44%	0.33%	0.90%	0.00%	0.22%	1.73%	0.40%	0.88%	1.13%	0.00%	0.00%	0.18%	1.94%	0.78%	0.00%	1.70%	0.67%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	26049	605	678	690	570	634	655	689	657	633	692	561	192	455	838	696	788	666	224	341	189	326	133	427	435	551	319	245	164	402	153	334	127	466	547	626	282	263	256	211	213	677	293	302	137	253	146	806	490	466	195	543	172	226	517	586	135	648	147	213	164	133	340	186	83	66	102	90					
