Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																
Дата голосования: 18.09.2016																
																
Наименование Избирательной комиссии:    Северо - Эвенская																
																
Сводная таблица итогов голосования по федеральному избирательному округу																
																
		Сумма	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	1939	539	641	436	98	225									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1910	460	515	537	122	276									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	401	54	189	158	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	676	276	150	125	50	75									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	42	10	15	15	1	1									
6	Число погашенных избирательных бюллетеней	791	120	161	239	71	200									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	443	64	204	173	1	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	675	276	150	124	50	75									
9	Число недействительных избирательных бюллетеней	121	12	30	69	2	8									
10	Число действительных избирательных бюллетеней	997	328	324	228	49	68									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	157	42	45	50	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	29	4	3	3	9	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	12	9	2	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	128	38	42	47	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	27	9	4	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0									
																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	7	6	0	1	0	0									
		0.63%	1.76%	0.00%	0.34%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	27	11	7	2	1	6									
		2.42%	3.24%	1.98%	0.67%	1.96%	7.89%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	21	10	4	4	2	1									
		1.88%	2.94%	1.13%	1.35%	3.92%	1.32%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	530	162	178	127	29	34									
		47.41%	47.65%	50.28%	42.76%	56.86%	44.74%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	5	1	2	1	1	0									
		0.45%	0.29%	0.56%	0.34%	1.96%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	1	1	2	0	0									
		0.36%	0.29%	0.28%	0.67%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	192	62	67	43	15	5									
		17.17%	18.24%	18.93%	14.48%	29.41%	6.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	3	1	2	0	0	0									
		0.27%	0.29%	0.56%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	4	2	2	0	0	0									
		0.36%	0.59%	0.56%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	1	1	0	0									
		0.18%	0.00%	0.28%	0.34%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	13	4	5	4	0	0									
		1.16%	1.18%	1.41%	1.35%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	141	53	34	31	1	22									
		12.61%	15.59%	9.60%	10.44%	1.96%	28.95%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	9	3	2	4	0	0									
		0.81%	0.88%	0.56%	1.35%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	39	12	19	8	0	0									
		3.49%	3.53%	5.37%	2.69%	0.00%	0.00%									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
