Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    Гаврилово-Посадская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425					
1	"Число избирателей, внесенных в списки избирателей"	14299	1779	2487	2096	772	1571	362	1296	145	131	480	272	311	315	515	187	208	222	208	333	312	297					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13430	1650	2250	1850	800	1450	360	1150	160	180	480	250	330	310	500	160	200	200	220	350	300	280					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7447	920	1119	951	443	780	192	550	92	95	319	188	238	201	317	119	147	136	98	158	178	206					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1178	39	139	143	38	93	49	88	37	26	49	14	20	29	50	38	30	60	78	51	86	21					
6	Число погашенных избирательных бюллетеней	4805	691	992	756	319	577	119	512	31	59	112	48	72	80	133	3	23	4	44	141	36	53					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1178	39	139	143	38	93	49	88	37	26	49	14	20	29	50	38	30	60	78	51	86	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7424	897	1119	951	443	780	192	550	92	95	319	188	238	201	317	119	147	136	98	158	178	206					
9	Число недействительных избирательных бюллетеней	122	19	14	14	14	18	1	15	3	0	3	5	4	0	4	1	0	4	0	2	0	1					
10	Число действительных избирательных бюллетеней	8480	917	1244	1080	467	855	240	623	126	121	365	197	254	230	363	156	177	192	176	207	264	226					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	306	20	29	28	14	23	6	16	35	29	17	4	16	6	13	2	7	2	13	6	14	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	284	17	29	26	14	23	6	10	35	29	17	4	14	6	13	0	7	0	13	4	14	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	132	26	13	11	4	10	9	10	2	1	3	11	3	5	4	4	2	0	6	3	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	22	3	0	2	0	0	0	6	0	0	0	0	2	0	0	2	0	2	0	2	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	1.Политическая партия «Аграрная партия России»	439	28	51	43	27	34	6	23	6	9	24	16	6	5	40	6	15	34	10	14	33	9					
		5.10%	2.99%	4.05%	3.93%	5.61%	3.89%	2.49%	3.61%	4.65%	7.44%	6.52%	7.92%	2.33%	2.17%	10.90%	3.82%	8.47%	17.35%	5.68%	6.70%	12.50%	3.96%					
19	2.Всероссийская политическая партия «Гражданская Сила»	58	5	10	8	4	12	1	6	1	0	0	0	1	1	1	2	1	1	0	2	2	0					
		0.67%	0.53%	0.79%	0.73%	0.83%	1.37%	0.41%	0.94%	0.78%	0.00%	0.00%	0.00%	0.39%	0.43%	0.27%	1.27%	0.56%	0.51%	0.00%	0.96%	0.76%	0.00%					
20	3.Политическая партия «Демократическая партия России»	6	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0					
		0.07%	0.00%	0.00%	0.00%	0.21%	0.23%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	774	122	94	108	43	73	17	67	13	11	24	15	41	13	18	10	6	16	23	9	23	28					
		8.99%	13.03%	7.47%	9.87%	8.94%	8.36%	7.05%	10.50%	10.08%	9.09%	6.52%	7.43%	15.89%	5.65%	4.90%	6.37%	3.39%	8.16%	13.07%	4.31%	8.71%	12.33%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	34	4	4	10	0	2	2	3	0	0	2	0	1	0	2	0	0	0	0	2	2	0					
		0.40%	0.43%	0.32%	0.91%	0.00%	0.23%	0.83%	0.47%	0.00%	0.00%	0.54%	0.00%	0.39%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.96%	0.76%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	12	2	0	3	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.14%	0.21%	0.00%	0.27%	0.21%	0.34%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	891	109	117	116	67	102	19	63	14	12	29	12	28	19	39	12	15	14	16	26	33	29					
		10.36%	11.65%	9.30%	10.60%	13.93%	11.68%	7.88%	9.87%	10.85%	9.92%	7.88%	5.94%	10.85%	8.26%	10.63%	7.64%	8.47%	7.14%	9.09%	12.44%	12.50%	12.78%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	787	96	119	91	48	124	19	93	7	8	19	11	22	10	18	11	10	19	26	15	11	10					
		9.15%	10.26%	9.46%	8.32%	9.98%	14.20%	7.88%	14.58%	5.43%	6.61%	5.16%	5.45%	8.53%	4.35%	4.90%	7.01%	5.65%	9.69%	14.77%	7.18%	4.17%	4.41%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	90	8	4	10	12	21	4	12	0	1	2	2	1	1	5	1	2	1	0	1	1	1					
		1.05%	0.85%	0.32%	0.91%	2.49%	2.41%	1.66%	1.88%	0.00%	0.83%	0.54%	0.99%	0.39%	0.43%	1.36%	0.64%	1.13%	0.51%	0.00%	0.48%	0.38%	0.44%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5324	535	832	677	264	475	168	350	85	80	265	137	154	180	237	113	127	107	98	137	158	145					
		61.89%	57.16%	66.14%	61.88%	54.89%	54.41%	69.71%	54.86%	65.89%	66.12%	72.01%	67.82%	59.69%	78.26%	64.58%	71.97%	71.75%	54.59%	55.68%	65.55%	59.85%	63.88%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	65	8	13	14	0	7	4	3	0	0	0	4	0	1	3	0	1	0	3	0	0	4					
		0.76%	0.85%	1.03%	1.28%	0.00%	0.80%	1.66%	0.47%	0.00%	0.00%	0.00%	1.98%	0.00%	0.43%	0.82%	0.00%	0.56%	0.00%	1.70%	0.00%	0.00%	1.76%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
