Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Оловяннинская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  667	УИК  668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705					
1	"Число избирателей, внесенных в списки"	32480	941	1658	799	904	211	1120	182	2437	495	150	442	333	389	112	71	236	57	678	119	490	128	699	1913	561	1451	225	495	332	751	601	430	246	823	255	608	2297	2664	3062	3115					
2	"Число бюллетеней, полученных участковыми комиссиями"	30842	879	1692	760	961	217	1051	170	2154	466	114	452	328	368	112	119	233	57	670	125	488	128	703	1701	625	1373	205	455	375	720	591	433	235	818	235	595	2083	2165	2997	2989					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15082	286	647	319	314	114	401	118	1133	302	89	249	192	242	95	53	173	45	320	78	267	94	274	782	338	457	145	246	298	334	161	131	165	369	131	394	1021	1649	1439	1217					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	750	44	35	19	12	42	14	0	17	48	6	17	3	17	6	0	0	0	54	10	24	6	108	47	15	21	0	18	34	20	0	7	0	0	14	0	0	0	56	36					
6	Число погашенных бюллетеней	15010	549	1010	422	635	61	636	52	1004	116	19	186	133	109	11	66	60	12	296	37	197	28	321	872	272	895	60	191	43	366	430	295	70	449	90	201	1062	516	1502	1736					
7	Число бюллетеней в переносных ящиках для голосования	750	44	35	19	12	42	14	0	17	48	6	17	3	17	6	0	0	0	54	10	24	6	108	47	15	21	0	18	34	20	0	7	0	0	14	0	0	0	56	36					
8	Число бюллетеней в стационарных ящиках для голосования	15060	286	647	318	314	114	401	118	1133	302	89	249	192	242	95	53	173	45	320	78	267	94	274	782	338	436	145	246	298	334	161	131	165	369	131	394	1021	1649	1439	1217					
9	Число недействительных бюллетеней	181	10	5	6	7	1	6	1	11	6	1	0	3	0	2	0	1	0	16	0	7	4	4	14	2	5	0	3	1	10	5	2	1	1	2	9	13	9	5	8					
10	Число действительных бюллетеней	15629	320	677	331	319	155	409	117	1139	344	94	266	192	259	99	53	172	45	358	88	284	96	378	815	351	452	145	261	331	344	156	136	164	368	143	385	1008	1640	1490	1245					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	397	13	20	12	12	4	14	3	28	6	2	6	3	5	1	1	3	1	9	2	6	2	8	22	7	21	3	6	5	9	8	6	8	8	4	8	26	20	38	37					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	106	3	1	0	4	1	3	0	8	3	0	3	0	0	0	0	0	0	3	0	0	0	6	3	2	3	0	1	1	4	0	1	0	2	1	0	11	18	13	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	3	0	1	1	2	1	0	1	4	0	0	0	0	0	0	1	0	2	0	1	0	0	8	0	1	0	3	3	1	0	0	1	0	0	0	4	0	4	4					
14	Число погашенных открепительных удостоверений	291	10	19	12	8	3	11	3	20	3	2	3	3	5	1	1	3	1	6	2	6	2	2	19	5	18	3	5	4	5	8	5	8	6	3	8	15	2	25	26					
