Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Тихвинская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №963	УИК №964	УИК №965	УИК №966	УИК №969									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	58267	286	2289	2476	2205	2253	2284	2209	2072	2000	1429	605	2087	2168	2113	2162	2008	2245	2192	2076	2202	1394	807	2275	1377	601	685	710	671	695	257	420	624	1234	532	114	454	591	393	1023	953	207	508	185	100	115	130	1851									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46399	250	1800	2000	1800	1800	1800	1700	1700	1600	1100	500	1600	1700	1700	1700	1600	1700	1700	1700	1700	1100	600	1800	1100	500	500	600	500	500	200	350	500	1000	400	100	350	450	300	800	700	150	400	202	100	117	130	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25712	122	943	1145	895	957	1060	967	997	924	600	287	818	929	923	996	917	1107	927	996	960	635	250	815	524	241	258	258	296	366	61	70	260	474	213	13	159	278	139	421	370	31	170	145	100	97	130	1468									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2473	29	32	20	38	45	67	21	24	31	7	26	29	16	28	23	44	40	69	50	16	12	70	41	25	25	9	28	24	92	127	188	15	279	104	47	103	52	73	133	126	111	76	40	0	18	0	0									
6	Число погашенных избирательных бюллетеней	18214	99	825	835	867	798	673	712	679	645	493	187	753	755	749	681	639	553	704	654	724	453	280	944	551	234	233	314	180	42	12	92	225	247	83	40	88	120	88	246	204	8	154	17	0	2	0	332									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2473	29	32	20	38	45	67	21	24	31	7	26	29	16	28	23	44	40	69	50	16	12	70	41	25	25	9	28	24	92	127	188	15	279	104	47	103	52	73	133	126	111	76	40	0	18	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25641	122	943	1145	894	956	993	967	997	924	600	287	818	928	923	996	916	1107	927	996	960	635	250	815	524	241	258	258	296	366	61	70	260	474	213	13	159	278	139	421	370	31	170	145	100	97	130	1468									
9	Число недействительных избирательных бюллетеней	813	6	28	26	37	41	19	31	25	36	33	10	33	25	30	31	25	35	33	12	26	27	2	23	28	10	10	6	9	13	3	5	10	22	3	2	7	11	9	16	14	1	6	3	2	1	0	28									
10	Число действительных избирательных бюллетеней	27301	145	947	1139	895	960	1041	957	996	919	574	303	814	919	921	988	935	1112	963	1034	950	620	318	833	521	256	257	280	311	445	185	253	265	731	314	58	255	319	203	538	482	141	240	182	98	114	130	1440									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1106	5	40	40	40	40	50	40	40	40	40	20	30	40	20	40	40	40	40	40	40	30	10	30	30	10	10	10	20	20	10	10	15	20	21	15	15	10	10	30	20	15	20	0	0	0	0	0									
