Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																	
Дата голосования: 02.12.2007																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Ишимбайская																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237					
1	"Число избирателей, внесенных в списки избирателей"	68397	1654	1475	1564	1221	1197	197	1264	1320	987	1218	1122	1136	1512	1468	1173	2000	1459	1385	987	1082	1562	1257	1645	1264	1499	1727	1516	1469	1316	1347	853	1220	975	1252	810	1276	1523	1583	1400	412	457	180	356	683	666	539	180	260	513	811	426	290	641	1316	731	953	345	543	263	305	656	336	416	224	1128	630	193	493	151	706	404	363	317	595					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	65710	1520	1430	1500	1150	1150	190	1200	1300	900	1120	1040	1140	1450	1400	1100	1890	1350	1250	900	1050	1450	1200	1540	1150	1450	1700	1400	1400	1250	1300	800	1200	900	1200	940	1150	1500	1450	1350	400	440	180	340	690	660	540	180	260	500	800	430	280	650	1350	730	950	330	530	260	300	650	340	410	210	1150	630	190	490	150	680	400	350	320	580					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	56330	1342	1213	1252	732	887	166	1028	973	886	987	792	961	1277	1187	924	1492	1227	1137	800	820	1245	1192	1289	969	1393	1412	1147	1177	939	1126	654	944	782	1186	795	1003	1180	1261	938	389	385	162	306	549	616	509	180	244	494	777	370	242	569	1086	673	851	325	493	226	289	544	324	384	185	1062	559	172	433	139	571	371	309	308	519					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2116	3	20	31	44	95	0	66	27	9	24	44	9	9	23	38	108	15	16	17	79	31	8	39	43	31	42	48	32	35	29	56	35	16	13	15	58	78	40	6	8	24	7	10	54	35	21	0	10	0	10	36	36	11	31	5	13	5	28	31	0	74	7	18	25	44	47	15	40	8	72	6	31	0	22					
6	Число погашенных избирательных бюллетеней	7264	175	197	217	374	168	24	106	300	5	109	204	170	164	190	138	290	108	97	83	151	174	0	212	138	26	246	205	191	276	145	90	221	102	1	130	89	242	149	406	3	31	11	24	87	9	10	0	6	6	13	24	2	70	233	52	86	0	9	3	11	32	9	8	0	44	24	3	17	3	37	23	10	12	39					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2116	3	20	31	44	95	0	66	27	9	24	44	9	9	23	38	108	15	16	17	79	31	8	39	43	31	42	48	32	35	29	56	35	16	13	15	58	78	40	6	8	24	7	10	54	35	21	0	10	0	10	36	36	11	31	5	13	5	28	31	0	74	7	18	25	44	47	15	40	8	72	6	31	0	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	56318	1342	1213	1252	732	887	166	1026	973	886	987	792	961	1277	1187	924	1492	1227	1137	800	820	1235	1192	1289	969	1393	1412	1147	1177	939	1126	654	944	782	1186	795	1003	1180	1261	938	389	385	162	306	549	616	509	180	244	494	777	370	242	569	1086	673	851	325	493	226	289	544	324	384	185	1062	559	172	433	139	571	371	309	308	519					
9	Число недействительных избирательных бюллетеней	499	8	3	7	11	3	0	6	4	0	7	4	2	8	8	3	11	14	15	0	9	0	2	14	0	3	14	0	12	10	6	2	7	1	5	8	13	0	146	5	7	5	7	0	18	9	0	0	0	0	13	2	0	6	13	5	1	0	8	0	3	0	2	2	0	0	2	0	3	0	20	0	1	0	1					
10	Число действительных избирательных бюллетеней	57935	1337	1230	1276	765	979	166	1086	996	895	1004	832	968	1278	1202	959	1589	1228	1138	817	890	1266	1198	1314	1012	1421	1440	1195	1197	964	1149	708	972	797	1194	802	1048	1258	1155	939	390	404	162	316	585	642	530	180	254	494	774	404	278	574	1104	673	863	330	513	257	286	618	329	400	210	1106	604	187	470	147	623	377	339	308	540					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	812	27	24	20	15	10	2	15	20	7	10	10	15	21	17	10	15	22	15	15	15	12	17	15	15	17	20	15	20	22	15	15	20	10	17	10	15	25	10	15	5	5	3	5	1	5	5	5	5	5	5	13	5	10	15	5	6	5	11	5	1	8	5	5	5	15	5	0	1	5	9	4	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	742	27	24	20	14	10	2	12	19	7	10	10	15	21	17	10	15	22	15	10	15	12	17	15	10	16	20	12	19	22	15	11	20	9	16	10	15	25	10	15	3	5	3	3	1	3	5	0	5	5	4	13	4	7	15	4	6	2	11	2	1	5	5	0	0	15	5	0	1	2	9	2	4	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	286	8	8	10	4	1	0	10	6	4	5	4	2	3	1	3	5	3	3	1	3	6	4	1	5	9	3	5	0	1	12	0	3	4	6	3	4	13	5	6	3	2	2	5	5	0	3	0	1	6	7	1	1	3	10	3	6	7	5	1	1	2	1	5	1	3	0	3	3	1	5	2	6	2	6					
14	Число погашенных неиспользованных открепительных удостоверений	70	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	1	0	3	1	0	0	4	0	1	1	0	0	0	0	0	2	0	0	2	0	2	0	5	0	0	1	0	1	3	0	1	0	3	0	3	0	3	0	5	5	0	0	0	0	3	0	2	1	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	88	5	3	0	2	2	0	1	6	0	3	1	2	1	2	0	4	3	2	3	3	4	4	1	4	2	2	0	1	4	0	0	2	2	2	1	0	1	3	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																	
18	1.Политическая партия «Аграрная партия России»	382	16	17	2	1	0	0	0	3	0	9	0	0	0	2	0	2	4	0	0	6	5	0	0	4	1	8	10	2	18	9	6	0	2	0	0	19	19	6	13	6	4	1	0	0	5	0	1	11	6	14	9	4	5	22	10	0	5	6	5	7	0	7	3	2	5	4	3	5	0	20	14	1	4	9					
		0.65%	1.19%	1.38%	0.16%	0.13%	0.00%	0.00%	0.00%	0.30%	0.00%	0.89%	0.00%	0.00%	0.00%	0.17%	0.00%	0.13%	0.32%	0.00%	0.00%	0.67%	0.39%	0.00%	0.00%	0.40%	0.07%	0.55%	0.84%	0.17%	1.85%	0.78%	0.85%	0.00%	0.25%	0.00%	0.00%	1.79%	1.51%	0.46%	1.38%	1.51%	0.98%	0.59%	0.00%	0.00%	0.77%	0.00%	0.56%	4.33%	1.21%	1.78%	2.22%	1.44%	0.86%	1.97%	1.47%	0.00%	1.52%	1.15%	1.95%	2.42%	0.00%	2.11%	0.75%	0.95%	0.45%	0.66%	1.60%	1.06%	0.00%	3.11%	3.71%	0.29%	1.30%	1.66%					
19	2.Всероссийская политическая партия «Гражданская Сила»	98	16	7	0	0	0	0	0	2	0	9	0	2	0	0	3	0	2	0	0	1	2	0	0	0	0	0	7	0	6	5	0	0	1	0	0	7	3	3	4	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0					
