Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																	
Дата голосования: 04.12.2011																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Ишимбайская																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212					
1	"Число избирателей, внесенных в список избирателей"	68769	1304	1433	1506	1249	1288	167	1264	1412	1124	1191	1029	1093	1496	1486	1204	1897	1465	1391	970	1035	1634	1192	1559	1220	1559	1719	1457	1403	1159	1321	853	1214	975	1230	1042	1330	1665	1517	1428	417	547	208	360	686	543	687	201	300	546	816	447	309	965	1160	727	1035	355	497	315	319	673	290	428	217	1159	663	204	521	207	745	415	383	300	643					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	70559	1730	1480	1580	1250	1280	187	1270	1475	1080	1185	1160	1140	1520	1470	1185	1920	1430	1380	980	1053	1640	1230	1575	1210	1550	1760	1450	1420	1340	1315	830	1275	965	1240	1005	1305	1695	1525	1420	405	540	200	360	725	550	710	200	300	646	830	475	310	975	1205	851	1085	350	505	315	330	786	300	425	225	1180	761	215	535	215	750	425	400	315	655					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	52529	1292	1204	1171	655	857	159	1100	732	675	825	981	792	1214	778	681	1336	1146	1154	539	545	1297	905	1028	993	937	891	785	1067	1067	1217	506	1019	822	1010	734	984	1411	1283	717	388	472	188	285	642	498	612	197	278	522	693	378	259	763	822	712	983	169	365	229	282	588	280	400	166	1082	616	185	479	205	715	394	341	289	543					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2695	12	22	17	225	43	8	13	18	12	73	48	21	10	44	72	200	24	18	31	70	26	14	35	63	48	40	38	55	92	39	36	16	8	35	51	40	71	48	6	10	13	12	12	44	17	42	0	10	8	48	54	39	38	56	0	21	78	37	39	0	47	8	25	20	59	37	15	27	0	30	9	28	5	65					
6	Число погашенных избирательных бюллетеней	15335	426	254	392	370	380	20	157	725	393	287	131	327	296	648	432	384	260	208	410	438	317	311	512	154	565	829	627	298	181	59	288	240	135	195	220	281	213	194	697	7	55	0	63	39	35	56	3	12	116	89	43	12	174	327	139	81	103	103	47	48	151	12	0	39	39	108	15	29	10	5	22	31	21	47					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2695	12	22	17	225	43	8	13	18	12	73	48	21	10	44	72	200	24	18	31	70	26	14	35	63	48	40	38	55	92	39	36	16	8	35	51	40	71	48	6	10	13	12	12	44	17	42	0	10	8	48	54	39	38	56	0	21	78	37	39	0	47	8	25	20	59	37	15	27	0	30	9	28	5	65					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	52479	1292	1204	1171	618	857	159	1087	732	675	825	981	792	1214	778	681	1336	1146	1154	539	545	1297	905	1028	993	937	891	785	1067	1067	1217	506	1019	822	1010	734	984	1411	1283	717	388	472	188	285	642	498	612	197	278	522	693	378	259	763	822	712	983	169	365	229	282	588	280	400	166	1082	616	185	479	205	715	394	341	289	543					
9	Число недействительных избирательных бюллетеней	609	5	8	11	0	8	0	0	5	8	14	52	11	3	11	12	0	16	2	16	5	23	8	4	2	24	16	31	0	5	0	6	1	3	5	4	10	8	0	10	0	9	0	3	88	6	2	0	4	7	7	9	1	2	8	7	10	0	2	2	1	5	0	0	0	7	4	10	22	0	5	7	1	1	32					
10	Число действительных избирательных бюллетеней	54565	1299	1218	1177	843	892	167	1100	745	679	884	977	802	1221	811	741	1536	1154	1170	554	610	1300	911	1059	1054	961	915	792	1122	1154	1256	536	1034	827	1040	781	1014	1474	1331	713	398	476	200	294	598	509	652	197	284	523	734	423	297	799	870	705	994	247	400	266	281	630	288	425	186	1134	649	190	484	205	740	396	368	293	576					
