Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
"Наименование Избирательной комиссии:    Самара, Ленинская"																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	54347	2061	2421	2195	2797	2155	2228	2509	2126	1608	2420	2132	2316	1650	2510	2057	2462	2125	1980	2020	2452	2667	2196	2443	2817									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45500	2000	2000	2000	2000	2000	2000	2000	2000	1500	2000	2000	2000	1500	2000	1500	2000	2000	1500	1500	2000	2000	2000	2000	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22282	820	882	1050	1054	684	745	1026	873	656	1095	695	865	596	780	917	1102	920	949	1052	1169	1186	991	1057	1118									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	775	36	24	31	23	15	7	15	30	96	50	6	22	43	30	37	37	46	29	57	39	27	33	8	34									
6	Число погашенных избирательных бюллетеней	22443	1144	1094	919	923	1301	1248	959	1097	748	855	1299	1113	861	1190	546	861	1034	522	391	792	787	976	935	848									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	775	36	24	31	23	15	7	15	30	96	50	6	22	43	30	37	37	46	29	57	39	27	33	8	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22223	820	882	1042	1054	684	745	1025	873	656	1095	695	843	596	780	917	1102	894	949	1052	1167	1186	991	1057	1118									
9	Число недействительных избирательных бюллетеней	502	27	18	23	21	33	0	20	16	10	24	20	9	13	25	1	0	25	37	45	28	38	40	18	11									
10	Число действительных избирательных бюллетеней	22496	829	888	1050	1056	666	752	1020	887	742	1121	681	856	626	785	953	1139	915	941	1064	1178	1175	984	1047	1141									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	819	45	50	30	30	30	30	43	30	40	40	30	30	30	45	30	30	30	30	30	30	45	30	30	31									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	649	35	42	27	25	26	22	41	27	31	33	26	30	14	32	23	23	16	20	18	21	35	27	24	31									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	877	47	87	24	112	5	20	18	21	13	49	60	24	14	26	76	14	47	23	48	32	62	6	22	27									
14	Число погашенных неиспользованных открепительных удостоверений	170	10	8	3	5	4	8	2	3	9	7	4	0	16	13	7	7	14	10	12	9	10	3	6	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	6	3	11	3	2	0	6	2	8	1	1	5	1	0	1	2	1	2	2	3	3	3	1	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
