Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Черемшанская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14946	504	242	85	565	456	125	165	433	150	318	392	219	981	138	344	224	192	428	387	155	441	661	423	373	417	599	1249	1091	1224	849	347	369	298	102									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15332	525	250	86	585	470	127	172	437	152	322	404	224	1012	145	350	226	196	435	395	157	457	682	431	381	435	613	1290	1107	1242	879	347	386	309	103									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14202	504	238	85	536	456	109	155	433	150	318	390	219	939	135	344	207	185	426	366	153	439	658	411	367	412	539	1100	919	1138	782	337	367	283	102									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	426	0	3	0	29	0	16	10	0	0	0	2	0	38	3	0	17	7	0	15	2	0	3	10	6	3	60	54	96	8	22	5	2	15	0									
6	Число погашенных избирательных бюллетеней	704	21	9	1	20	14	2	7	4	2	4	12	5	35	7	6	2	4	9	14	2	18	21	10	8	20	14	136	92	96	75	5	17	11	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	426	0	3	0	29	0	16	10	0	0	0	2	0	38	3	0	17	7	0	15	2	0	3	10	6	3	60	54	96	8	22	5	2	15	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14201	504	238	85	536	456	109	155	433	150	318	390	219	938	135	344	207	185	426	366	153	439	658	411	367	412	539	1100	919	1138	782	337	367	283	102									
9	Число недействительных избирательных бюллетеней	11	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	1	0									
10	Число действительных избирательных бюллетеней	14616	504	241	85	565	456	125	164	433	150	318	392	219	973	138	344	224	192	426	381	155	439	661	421	373	415	599	1150	1015	1146	802	342	369	297	102									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	448	15	7	3	17	14	4	5	13	5	10	12	8	29	4	10	8	6	13	12	5	14	20	13	11	13	18	35	30	34	26	10	11	10	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	228	8	4	0	7	9	0	5	5	0	2	8	4	21	4	4	0	1	5	5	0	7	2	3	2	13	2	35	30	16	14	7	5	0	0									
