Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Новошахтинская городская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №2619									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	76190	1633	1385	1681	1415	1125	1108	1337	1433	1236	806	1209	1156	832	1277	614	1707	1910	1715	1422	1165	1239	1769	1375	1710	1820	1604	1097	1303	1135	844	862	768	1301	1003	1832	1110	1939	2092	2003	1583	1024	1094	450	1791	967	1703	1589	843	1637	1534	1463	1058	652	1402	1105	2067	1256									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	61070	1300	1110	1375	1140	800	880	1030	1130	985	675	975	940	675	1030	490	1375	1525	1430	1210	925	1000	1425	1110	1375	1455	1275	880	1050	910	680	650	610	1075	815	1475	890	1550	1675	1600	1275	825	875	365	1430	775	1355	1280	675	1300	1210	1180	835	515	1115	890	1655	1015									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35823	864	741	908	618	434	350	300	258	529	379	561	494	398	442	281	459	661	596	602	729	902	996	857	1116	844	766	568	780	624	283	377	337	693	569	957	535	908	993	1000	778	276	448	202	755	614	1150	745	366	901	755	996	436	389	762	368	628	545									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3228	32	49	57	39	193	27	35	31	52	171	49	131	36	77	39	64	34	61	0	16	15	19	24	42	29	40	35	16	53	132	138	62	28	103	58	47	71	61	40	54	90	68	41	25	17	36	67	63	67	24	24	138	8	80	44	123	53									
6	Число погашенных избирательных бюллетеней	22019	404	320	410	483	173	503	695	841	404	125	365	315	241	511	170	852	830	773	608	180	83	410	229	217	582	469	277	254	233	265	135	211	354	143	460	308	571	621	560	443	459	359	122	650	144	169	468	246	332	431	160	261	118	273	478	904	417									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3228	32	49	57	39	193	27	35	31	52	171	49	131	36	77	39	64	34	61	0	16	15	19	24	42	29	40	35	16	53	132	138	62	28	103	58	47	71	61	40	54	90	68	41	25	17	36	67	63	67	24	24	138	8	80	44	123	53									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	35789	864	741	908	618	434	350	300	258	529	379	561	494	398	442	281	459	627	596	602	729	902	996	857	1116	844	766	568	780	624	283	377	337	693	569	957	535	908	993	1000	778	276	448	202	755	614	1150	745	366	901	755	996	436	389	762	368	628	545									
9	Число недействительных избирательных бюллетеней	482	4	2	10	14	15	5	8	2	6	1	13	7	1	0	2	69	11	29	69	7	0	10	22	0	5	5	0	12	4	3	1	8	11	0	6	3	8	8	4	0	7	1	0	18	4	5	0	6	8	16	0	4	6	0	13	6	3									
10	Число действительных избирательных бюллетеней	38535	892	788	955	643	612	372	327	287	575	549	597	618	433	519	318	454	650	628	533	738	917	1005	859	1158	868	801	603	784	673	412	514	391	710	672	1009	579	971	1046	1036	832	359	515	243	762	627	1181	812	423	960	763	1020	570	391	842	399	745	595									
