Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Грязовецкая																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27898	1752	1777	1420	731	1095	1178	1153	1832	1074	1880	1180	1282	922	654	162	136	213	332	374	518	425	141	1014	227	288	399	507	383	165	182	528	282	594	363	548	447	203	824	192	521									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22890	1420	1430	1135	560	770	820	760	1280	850	1500	950	1050	740	525	165	130	210	340	370	420	428	142	840	230	290	405	480	385	175	190	430	280	470	370	445	445	200	650	190	420									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11140	819	837	697	356	412	446	401	702	408	555	464	543	283	206	68	37	82	81	159	243	117	49	474	122	94	130	237	131	74	58	185	102	269	184	159	171	96	402	88	199									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1774	38	53	25	40	37	34	53	43	21	56	21	37	27	31	15	16	43	56	40	44	92	30	53	19	62	49	55	43	31	39	102	79	63	27	103	37	14	78	10	58									
6	Число погашенных избирательных бюллетеней	9976	563	540	413	164	321	340	306	535	421	889	465	470	430	288	82	77	85	203	171	133	219	63	313	89	134	226	188	211	70	93	143	99	138	159	183	237	90	170	92	163									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1774	38	53	25	40	37	34	53	43	21	56	21	37	27	31	15	16	43	56	40	44	92	30	53	19	62	49	55	43	31	39	102	79	63	27	103	37	14	78	10	58									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11134	816	837	697	356	412	446	401	700	408	555	464	543	283	206	68	37	82	81	159	243	117	49	474	121	94	130	237	131	74	58	185	102	269	184	159	171	96	402	88	199									
9	Число недействительных избирательных бюллетеней	284	21	24	20	4	11	10	9	20	11	11	16	13	5	5	1	1	0	0	2	3	2	2	21	2	1	3	12	1	2	0	6	4	8	3	5	6	1	7	6	5									
10	Число действительных избирательных бюллетеней	12624	833	866	702	392	438	470	445	723	418	600	469	567	305	232	82	52	125	137	197	284	207	77	506	138	155	176	280	173	103	97	281	177	324	208	257	202	109	473	92	252									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1110	50	50	50	50	50	50	50	50	50	50	50	50	30	30	10	10	20	20	20	20	10	10	50	10	10	10	30	10	20	10	20	10	20	20	20	20	10	30	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	400	22	17	12	8	13	6	4	16	2	8	17	25	9	6	7	0	0	6	5	14	9	1	37	8	7	7	29	7	17	10	15	4	3	10	10	3	1	19	0	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	180	16	10	9	10	3	9	7	18	11	2	0	3	4	5	3	2	0	0	2	4	6	1	2	5	1	3	3	2	2	0	5	3	6	3	5	1	1	9	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	710	28	33	38	42	37	44	46	34	48	42	33	25	21	24	3	10	20	14	15	6	1	9	13	2	3	3	1	3	3	0	5	6	17	10	10	17	9	11	10	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	2	3	3	0	3	0	1	6	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	167	10	14	8	3	16	4	8	15	9	6	4	9	5	2	1	1	2	3	3	0	2	2	3	1	2	2	2	1	0	1	10	1	2	2	1	2	1	6	0	3									
		1.29%	1.17%	1.57%	1.11%	0.76%	3.56%	0.83%	1.76%	2.02%	2.10%	0.98%	0.82%	1.55%	1.61%	0.84%	1.20%	1.89%	1.60%	2.19%	1.51%	0.00%	0.96%	2.53%	0.57%	0.71%	1.28%	1.12%	0.68%	0.57%	0.00%	1.03%	3.48%	0.55%	0.60%	0.95%	0.38%	0.96%	0.91%	1.25%	0.00%	1.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	403	22	32	25	17	19	12	11	29	8	9	17	27	13	11	5	1	6	4	6	5	3	0	16	4	8	7	9	6	2	3	9	8	9	3	14	5	1	11	1	5									
		3.12%	2.58%	3.60%	3.46%	4.29%	4.23%	2.50%	2.42%	3.90%	1.86%	1.47%	3.51%	4.66%	4.19%	4.64%	6.02%	1.89%	4.80%	2.92%	3.02%	1.74%	1.44%	0.00%	3.04%	2.86%	5.13%	3.91%	3.08%	3.45%	1.90%	3.09%	3.14%	4.42%	2.71%	1.42%	5.34%	2.40%	0.91%	2.29%	1.02%	1.95%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	483	24	36	30	13	14	20	31	31	16	22	23	25	11	3	1	2	5	3	6	10	8	8	15	8	5	1	15	8	2	4	12	7	15	8	16	3	4	13	1	4									
		3.74%	2.81%	4.04%	4.16%	3.28%	3.12%	4.17%	6.83%	4.17%	3.73%	3.60%	4.74%	4.31%	3.55%	1.27%	1.20%	3.77%	4.00%	2.19%	3.02%	3.48%	3.83%	10.13%	2.85%	5.71%	3.21%	0.56%	5.14%	4.60%	1.90%	4.12%	4.18%	3.87%	4.52%	3.79%	6.11%	1.44%	3.64%	2.71%	1.02%	1.56%									
