Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Аткарская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625					
1	"Число избирателей, внесенных в списки"	34919	2014	920	1632	1382	2174	1610	38	1235	1919	2156	810	1331	2746	329	2190	861	671	449	336	365	450	460	1041	847	306	548	417	1193	228	408	265	488	824	359	350	604	486	477					
2	"Число бюллетеней, полученных участковыми комиссиями"	34800	2009	896	1631	1375	2162	1610	73	1205	1913	2163	823	1324	2745	321	2175	873	666	447	339	366	433	449	1038	837	309	535	407	1193	235	415	265	496	827	356	353	592	468	476					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20088	950	487	904	626	1009	736	15	625	894	1194	392	732	1262	272	1054	530	415	388	250	255	363	360	620	546	183	428	350	762	192	312	198	324	660	312	298	507	363	320					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2400	74	53	24	51	39	75	23	69	91	66	43	59	238	30	81	180	108	51	60	92	24	47	111	35	99	27	25	79	18	35	36	70	0	38	18	19	84	128					
6	Число погашенных бюллетеней	12312	985	356	703	698	1114	799	35	511	928	903	388	533	1245	19	1040	163	143	8	29	19	46	42	307	256	27	80	32	352	25	68	31	102	167	6	37	66	21	28					
7	Число бюллетеней в переносных ящиках для голосования	2400	74	53	24	51	39	75	23	69	91	66	43	59	238	30	81	180	108	51	60	92	24	47	111	35	99	27	25	79	18	35	36	70	0	38	18	19	84	128					
8	Число бюллетеней в стационарных ящиках для голосования	20085	950	487	904	626	1009	736	15	625	894	1191	392	732	1262	272	1054	530	415	388	250	255	363	360	620	546	183	428	350	762	192	312	198	324	660	312	298	507	363	320					
9	Число недействительных бюллетеней	488	10	10	8	3	4	7	2	6	15	18	14	6	13	16	18	0	9	17	3	2	0	37	60	8	32	52	1	39	0	0	2	1	3	31	2	17	2	20					
10	Число действительных бюллетеней	21997	1014	530	920	674	1044	804	36	688	970	1239	421	785	1487	286	1117	710	514	422	307	345	387	370	671	573	250	403	374	802	210	347	232	393	657	319	314	509	445	428					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	670	25	20	25	20	25	25	0	20	30	35	15	25	30	5	30	15	15	15	15	10	15	15	15	15	15	15	15	25	15	15	15	15	15	15	10	15	10	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	295	18	2	21	8	19	14	0	8	15	34	11	20	30	0	16	9	8	0	4	0	2	6	5	3	1	0	1	2	12	7	1	3	8	0	3	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	253	5	9	14	7	7	7	38	4	9	10	7	29	13	18	9	2	4	1	1	1	6	3	9	3	0	0	6	9	3	1	3	1	2	1	2	2	3	4					
14	Число погашенных открепительных удостоверений	375	7	18	4	12	6	11	0	12	15	1	4	5	0	5	14	6	7	15	11	10	13	9	10	12	14	15	14	23	3	8	14	12	7	15	7	12	9	15					
15	Число открепительных удостоверений выданных ТИК	30	1	0	0	1	1	1	0	0	2	6	1	2	1	0	4	0	0	0	0	0	0	1	1	0	0	2	1	1	0	0	0	0	1	0	3	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	198	8	3	3	9	11	5	0	7	5	9	2	8	16	2	3	5	6	0	3	6	5	4	10	11	1	5	0	11	2	9	0	6	4	8	1	7	3	0					
		0.88%	0.78%	0.55%	0.32%	1.32%	1.04%	0.61%	0.0%	1.00%	0.50%	0.71%	0.45%	1.01%	1.06%	0.66%	0.26%	0.70%	1.14%	0.0%	0.96%	1.72%	1.29%	0.98%	1.36%	1.89%	0.35%	1.09%	0.0%	1.30%	0.95%	2.59%	0.0%	1.52%	0.60%	2.28%	0.31%	1.33%	0.67%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	204	13	2	15	9	12	17	0	5	18	18	5	14	12	0	10	3	2	8	3	0	1	1	4	6	1	0	2	5	2	1	0	4	2	1	2	3	3	0					
		0.90%	1.26%	0.37%	1.61%	1.32%	1.14%	2.09%	0.0%	0.72%	1.82%	1.43%	1.14%	1.76%	0.8%	0.0%	0.88%	0.42%	0.38%	1.82%	0.96%	0.0%	0.25%	0.24%	0.54%	1.03%	0.35%	0.0%	0.53%	0.59%	0.95%	0.28%	0.0%	1.01%	0.30%	0.28%	0.63%	0.57%	0.67%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	421	19	18	19	22	23	13	0	24	24	31	8	23	22	5	20	6	16	0	6	6	3	5	7	9	1	6	6	26	9	5	0	5	21	3	1	6	3	0					
		1.87%	1.85%	3.33%	2.04%	3.24%	2.19%	1.60%	0.0%	3.45%	2.43%	2.46%	1.83%	2.90%	1.46%	1.65%	1.76%	0.84%	3.05%	0.0%	1.93%	1.72%	0.77%	1.22%	0.95%	1.54%	0.35%	1.31%	1.6%	3.09%	4.28%	1.44%	0.0%	1.26%	3.18%	0.85%	0.31%	1.14%	0.67%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	320	14	7	7	10	28	28	0	14	16	37	12	16	23	1	26	0	12	4	1	1	1	5	14	6	0	0	2	12	1	3	1	0	4	0	2	11	1	0					
		1.42%	1.36%	1.29%	0.75%	1.47%	2.67%	3.45%	0.0%	2.01%	1.62%	2.94%	2.75%	2.02%	1.53%	0.33%	2.29%	0.0%	2.29%	0.91%	0.32%	0.28%	0.25%	1.22%	1.91%	1.03%	0.0%	0.0%	0.53%	1.42%	0.47%	0.86%	0.42%	0.0%	0.60%	0.0%	0.63%	2.09%	0.22%	0.0%					
