Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Кикнурская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8153	1493	2011	1426	92	152	302	234	383	234	423	158	552	489	204									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8580	1510	2000	1480	110	180	330	270	400	270	450	180	580	560	260									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2891	540	761	434	59	90	133	116	137	61	137	115	111	141	56									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	884	79	65	91	19	17	69	33	79	66	73	13	143	88	49									
6	Число погашенных избирательных бюллетеней	4805	891	1174	955	32	73	128	121	184	143	240	52	326	331	155									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	884	79	65	91	19	17	69	33	79	66	73	13	143	88	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2891	540	761	434	59	90	133	116	137	61	137	115	111	141	56									
9	Число недействительных избирательных бюллетеней	44	7	5	9	1	1	0	4	2	2	6	1	3	2	1									
10	Число действительных избирательных бюллетеней	3731	612	821	516	77	106	202	145	214	125	204	127	251	227	104									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	328	40	40	40	20	8	20	20	15	10	25	15	30	30	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	293	20	25	40	20	8	20	20	15	10	25	15	30	30	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	33	2	4	3	2	4	2	2	0	1	2	4	1	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	35	20	15	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	60	5	2	1	3	14	0	5	5	22	0	0	0	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	17	4	5	1	1	0	0	0	0	1	1	2	0	2	0									
		0.45%	0.65%	0.61%	0.19%	1.28%	0.00%	0.00%	0.00%	0.00%	0.79%	0.48%	1.56%	0.00%	0.87%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	103	17	23	2	1	4	8	3	11	0	6	6	10	11	1									
		2.73%	2.75%	2.78%	0.38%	1.28%	3.74%	3.96%	2.01%	5.09%	0.00%	2.86%	4.69%	3.94%	4.80%	0.95%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	81	15	13	2	1	2	8	7	5	1	9	1	8	8	1									
		2.15%	2.42%	1.57%	0.38%	1.28%	1.87%	3.96%	4.70%	2.31%	0.79%	4.29%	0.78%	3.15%	3.49%	0.95%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1706	208	300	288	43	66	106	74	93	57	107	61	133	109	61									
		45.19%	33.60%	36.32%	54.86%	55.13%	61.68%	52.48%	49.66%	43.06%	44.88%	50.95%	47.66%	52.36%	47.60%	58.10%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	2	2	1	1	0	1	0	0	0	0	0	0	0	0									
		0.19%	0.32%	0.24%	0.19%	1.28%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	0	0	0	1	0	0	0	3	0	0	1	0	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	2.36%	0.00%	0.00%	0.39%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	809	160	202	78	15	18	43	32	49	35	41	40	51	31	14									
		21.43%	25.85%	24.46%	14.86%	19.23%	16.82%	21.29%	21.48%	22.69%	27.56%	19.52%	31.25%	20.08%	13.54%	13.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	3	3	0	1	0	0	0	0	0	1	1	0	0	0									
		0.24%	0.48%	0.36%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.78%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	1	3	0	0	0	0	1	0	0	1	0	1	1	0									
		0.21%	0.16%	0.36%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.48%	0.00%	0.39%	0.44%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	0	2	0	0	1	0	1	0	2	0	1	0	1	0									
		0.21%	0.00%	0.24%	0.00%	0.00%	0.93%	0.00%	0.67%	0.00%	1.57%	0.00%	0.78%	0.00%	0.44%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	12	1	4	0	1	0	1	0	0	2	1	1	1	0	0									
		0.32%	0.16%	0.48%	0.00%	1.28%	0.00%	0.50%	0.00%	0.00%	1.57%	0.48%	0.78%	0.39%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	734	155	186	103	13	8	27	22	49	19	29	9	40	50	24									
		19.44%	25.04%	22.52%	19.62%	16.67%	7.48%	13.37%	14.77%	22.69%	14.96%	13.81%	7.03%	15.75%	21.83%	22.86%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	1	2	0	0	0	0	0	1	0	0	1	1	0	0									
		0.16%	0.16%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.78%	0.39%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	226	45	76	41	0	6	8	5	6	5	8	4	5	14	3									
		5.99%	7.27%	9.20%	7.81%	0.00%	5.61%	3.96%	3.36%	2.78%	3.94%	3.81%	3.13%	1.97%	6.11%	2.86%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
