Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Яковлевская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200					
1	"Число избирателей, внесенных в список"	38417	2443	1029	2285	2154	2645	1322	1865	991	962	682	1549	1292	1428	1333	521	889	190	785	77	374	989	67	657	1233	111	559	720	469	180	420	266	493	217	140	110	1265	947	379	90	446	132	193	416	283	213	419	555	160	994	478					
2	Число полученных избирательных бюллетеней	40697	2493	1036	2539	2437	2617	1377	1797	1113	1339	752	1566	1380	1476	1373	520	958	215	789	77	374	984	75	771	1328	123	588	780	554	205	460	302	491	216	145	104	1297	969	383	112	472	174	217	469	300	211	429	593	190	1016	511					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28246	1695	856	1489	1459	1883	1135	1480	681	885	454	1093	843	1007	933	403	737	148	673	62	331	835	45	399	753	98	396	549	303	120	334	152	404	191	113	71	1096	742	355	65	404	70	108	334	161	164	233	370	129	754	251					
5	"Число избирательных бюллетеней, выданных вне помещения"	3590	27	20	54	48	31	45	22	155	77	104	89	316	99	86	43	49	28	11	12	13	19	20	184	171	9	35	167	139	54	69	92	51	13	22	30	38	75	19	25	40	62	72	72	112	41	159	139	31	128	173					
6	Число погашенных избирательных бюллетеней	8861	771	160	996	930	703	197	295	277	377	194	384	221	370	354	74	172	39	105	3	30	130	10	188	404	16	157	64	112	31	57	58	36	12	10	3	163	152	9	22	28	42	37	63	27	6	37	84	30	134	87					
7	Число избирательных бюллетеней в переносных ящиках	3590	27	20	54	48	31	45	22	155	77	104	89	316	99	86	43	49	28	11	12	13	19	20	184	171	9	35	167	139	54	69	92	51	13	22	30	38	75	19	25	40	62	72	72	112	41	159	139	31	128	173					
8	Число бюллетеней в стационарных ящиках для голосования	28246	1695	856	1489	1459	1883	1135	1480	681	885	454	1093	843	1007	933	403	737	148	673	62	331	835	45	399	753	98	396	549	303	120	334	152	404	191	113	71	1096	742	355	65	404	70	108	334	161	164	233	370	129	754	251					
9	Число недействительных избирательных бюллетеней	323	15	2	13	6	9	14	11	4	23	6	25	9	8	11	13	10	2	5	0	5	3	0	3	17	8	9	5	1	1	5	1	3	2	3	0	16	14	0	0	4	0	6	2	3	1	7	5	1	8	4					
10	Число действительных избирательных бюллетеней	31513	1707	874	1530	1501	1905	1166	1491	832	939	552	1157	1150	1098	1008	433	776	174	679	74	339	851	65	580	907	99	422	711	441	173	398	243	452	202	132	101	1118	803	374	90	440	132	174	404	270	204	385	504	159	874	420					
11	Число полученных открепительных  удостоверений	429	20	10	15	15	20	10	20	15	10	10	10	10	10	10	10	5	5	5	5	5	8	5	10	5	5	5	48	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	8	5	10	5					
12	Число выданных открепительных удостоверений	229	15	4	12	15	20	3	13	11	5	1	6	3	1	5	0	3	0	1	0	0	8	0	5	3	0	3	48	3	0	2	1	0	0	0	0	2	1	1	2	1	5	4	0	0	0	0	5	5	8	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	192	8	8	5	6	6	2	3	2	6	4	3	3	8	7	0	5	0	2	0	0	6	0	1	8	1	2	21	0	0	0	0	4	4	2	6	5	4	0	1	0	5	8	5	6	2	3	4	8	6	2					
