Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Сухоложская городская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37764	1596	1307	2201	1173	2020	1865	2482	1143	1052	1078	1932	1882	1951	2187	1214	1281	957	311	731	368	900	571	295	1751	808	1215	1744	316	802	305	326									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36000	1500	1250	2100	1100	1900	1800	2400	1100	1000	1000	1850	1800	1900	2100	1200	1200	900	300	700	300	850	500	250	1700	800	1200	1700	300	750	250	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14492	512	411	933	424	867	759	1078	439	442	469	754	793	716	802	473	420	293	92	331	146	412	187	130	640	274	434	612	115	346	87	101									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	629	11	8	19	4	54	14	6	8	6	6	12	13	13	8	14	16	17	79	23	4	10	37	7	18	15	20	73	30	15	25	44									
6	Число погашенных избирательных бюллетеней	20879	977	831	1148	672	979	1027	1316	653	552	525	1084	994	1171	1290	713	764	590	129	346	150	428	276	113	1042	511	746	1015	155	389	138	155									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	629	11	8	19	4	54	14	6	8	6	6	12	13	13	8	14	16	17	79	23	4	10	37	7	18	15	20	73	30	15	25	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14491	512	411	933	424	867	759	1078	438	442	469	754	793	716	802	473	420	293	92	331	146	412	187	130	640	274	434	612	115	346	87	101									
9	Число недействительных избирательных бюллетеней	385	16	5	17	14	26	19	20	4	23	14	25	25	14	14	23	5	5	3	11	7	16	13	4	19	1	12	7	4	15	1	3									
10	Число действительных избирательных бюллетеней	14735	507	414	935	414	895	754	1064	442	425	461	741	781	715	796	464	431	305	168	343	143	406	211	133	639	288	442	678	141	346	111	142									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	900	35	30	45	30	35	35	50	30	25	25	40	40	40	45	30	30	25	15	25	15	25	20	15	35	25	30	35	15	25	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	262	6	7	17	11	18	9	18	0	10	5	16	20	9	16	5	6	8	0	22	2	1	0	5	15	5	11	6	3	2	3	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	193	5	6	14	2	6	4	9	5	4	3	7	5	13	9	3	3	5	6	5	2	2	0	2	10	6	8	5	3	29	5	7									
14	Число погашенных неиспользованных открепительных удостоверений	638	29	23	28	19	17	26	32	30	15	20	24	20	31	29	25	24	17	15	3	13	24	20	10	20	20	19	29	12	23	12	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	58	1	4	7	3	2	2	5	3	2	4	4	4	3	1	2	0	0	0	0	0	0	2	0	2	1	0	5	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
