Выборы Президента Российской Федерации																																																																							
																																																																							
Наименование Избирательной комиссии:    Анапская курортная																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264					
1	"Число избирателей, внесенных в список"	102374	2425	2980	2765	2703	1991	1276	1952	1444	1695	2620	2168	2427	2777	2642	1921	3278	2523	1003	357	1329	2154	2235	1708	924	1649	1497	354	283	693	1747	2703	2410	2318	1139	620	2307	826	672	2530	2116	2413	1549	329	1503	1022	604	506	380	2572	1142	501	2094	691	671	658	630	1225	2576	1847	1422	1547	587	1418	1326					
2	Число полученных избирательных бюллетеней	101339	2300	2800	2589	2700	1900	1200	1900	1400	1600	2800	2200	2400	2700	2600	1900	2800	2500	700	350	1300	2200	2200	1800	1000	1700	1500	400	250	700	1700	2800	2400	2400	1000	600	2200	850	700	2500	2200	2400	1600	400	1500	1000	650	550	400	2600	1300	500	2000	700	650	650	600	1200	2500	1900	1400	1700	600	1500	1300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	59095	1357	2586	2263	1576	1112	796	1086	819	785	1631	1297	1176	1580	1601	1128	1883	1384	648	241	710	1082	1167	938	454	877	790	255	165	339	1142	1415	1242	1407	715	408	1283	538	472	1316	1206	1338	925	177	841	547	285	291	190	1609	616	180	1179	429	370	341	406	655	1423	868	814	769	359	874	739					
5	"Число избирательных бюллетеней, выданных вне помещения"	4104	285	120	128	89	36	39	25	38	27	22	11	56	22	17	38	24	30	21	14	23	32	124	127	21	76	52	0	23	145	51	60	108	66	82	18	70	12	25	43	58	45	61	41	108	76	161	89	50	19	169	146	41	56	24	105	22	38	54	201	69	158	22	66	25					
6	Число погашенных избирательных бюллетеней	38140	658	94	198	1035	752	365	789	543	788	1147	892	1168	1098	982	734	893	1086	31	95	567	1086	909	735	525	747	658	145	62	216	507	1325	1050	927	203	174	847	300	203	1141	936	1017	614	182	551	377	204	170	160	972	515	174	780	215	256	204	172	507	1023	831	517	773	219	560	536					
7	Число избирательных бюллетеней в переносных ящиках	4104	285	120	128	89	36	39	25	38	27	22	11	56	22	17	38	24	30	21	14	23	32	124	127	21	76	52	0	23	145	51	60	108	66	82	18	70	12	25	43	58	45	61	41	108	76	161	89	50	19	169	146	41	56	24	105	22	38	54	201	69	158	22	66	25					
8	Число бюллетеней в стационарных ящиках для голосования	59070	1357	2586	2263	1576	1112	796	1086	819	785	1631	1297	1176	1558	1601	1128	1883	1383	648	241	710	1082	1167	938	454	877	790	255	165	339	1142	1415	1242	1407	715	408	1283	538	472	1316	1206	1338	925	177	841	547	285	291	190	1609	616	180	1179	429	370	341	406	653	1423	868	814	769	359	874	739					
9	Число недействительных избирательных бюллетеней	492	8	14	9	6	3	9	5	7	3	14	8	0	8	11	5	9	5	4	0	2	14	11	15	7	8	13	2	1	7	5	11	42	7	5	8	13	12	6	28	2	9	4	2	8	5	4	6	4	11	2	2	9	8	2	4	3	11	9	16	6	10	2	4	4					
10	Число действительных избирательных бюллетеней	62682	1634	2692	2382	1659	1145	826	1106	850	809	1639	1300	1232	1572	1607	1161	1898	1408	665	255	731	1100	1280	1050	468	945	829	253	187	477	1188	1464	1308	1466	792	418	1340	538	491	1331	1262	1374	982	216	941	618	442	374	236	1617	783	324	1211	477	392	442	425	680	1468	1053	877	917	379	936	760					
11	Число полученных открепительных  удостоверений	1060	20	40	20	25	20	20	20	20	20	20	20	20	20	40	20	20	20	20	20	20	15	15	15	15	15	15	10	10	10	20	15	15	15	10	15	15	15	10	15	15	15	15	10	15	10	10	10	10	40	15	10	30	10	15	10	10	10	15	10	15	15	10	15	10					
12	Число выданных открепительных удостоверений	338	16	20	3	20	10	8	4	5	10	14	6	12	4	15	6	7	1	7	2	2	4	5	1	1	11	1	1	0	1	12	4	5	10	0	1	6	2	1	0	1	2	9	0	8	1	10	1	4	11	4	0	22	3	0	2	0	2	3	4	1	7	0	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	639	67	33	41	24	87	14	8	16	5	7	19	3	5	10	11	15	7	104	0	8	2	6	4	2	4	0	0	0	2	10	9	8	9	2	1	2	0	1	3	7	3	7	0	6	2	1	0	0	17	6	0	12	3	1	1	0	2	5	2	0	10	0	1	4					
14	Число неиспользованных открепительных удостоверений	722	4	20	17	5	10	12	16	15	10	6	14	8	16	25	14	13	19	13	18	18	11	10	14	14	4	14	9	10	9	8	11	10	5	10	14	9	13	9	15	14	13	6	10	7	9	0	9	6	29	11	10	8	7	15	8	10	8	12	6	14	8	10	12	8					
15	"Число открепительных удостоверений, выданных в ТИК"	31	1	4	0	2	0	1	1	1	0	0	3	2	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																							
18	. Глазьев Сергей Юрьевич	2344	90	62	36	76	47	51	61	59	26	70	47	45	83	79	66	73	61	17	13	42	34	50	38	18	37	26	2	5	24	53	50	52	65	21	11	20	16	7	38	34	31	37	6	50	34	16	11	11	73	25	4	32	9	10	16	8	25	41	38	17	32	18	59	36					
		3.71%	5.48%	2.29%	1.51%	4.56%	4.09%	6.11%	5.49%	6.88%	3.20%	4.23%	3.59%	3.65%	5.25%	4.88%	5.66%	3.83%	4.32%	2.54%	5.10%	5.73%	3.05%	3.87%	3.57%	3.79%	3.88%	3.09%	0.78%	2.66%	4.96%	4.44%	3.39%	3.85%	4.41%	2.63%	2.58%	1.48%	2.91%	1.41%	2.80%	2.69%	2.24%	3.75%	2.75%	5.27%	5.46%	3.59%	2.89%	4.58%	4.48%	3.18%	1.23%	2.62%	1.86%	2.54%	3.59%	1.87%	3.62%	2.78%	3.55%	1.93%	3.45%	4.72%	6.28%	4.71%					
19	. Малышкин Олег Александрович	936	17	47	30	26	24	12	10	9	10	18	13	19	22	24	10	31	20	4	5	11	9	18	19	3	11	17	2	10	12	31	19	16	29	20	5	5	6	2	16	21	23	25	4	15	6	12	12	9	17	10	7	24	13	13	14	9	9	21	10	10	17	6	10	7					
