Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Топкинская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36731	1635	1712	1493	1699	1712	1680	1706	1697	1433	1558	1481	1525	1445	1491	1539	1342	464	69	364	160	120	466	237	147	85	623	239	136	1001	250	684	127	285	99	655	106	559	1100	577	254	110	574	178	613	284	459	117	254	187									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36750	1623	1716	1483	1675	1703	1683	1724	1694	1428	1508	1470	1514	1447	1479	1542	1330	466	71	365	164	121	469	238	148	86	625	238	140	1006	253	686	130	288	100	675	109	570	1121	578	263	112	589	180	619	288	461	124	259	189									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32136	1440	1578	1305	1483	1517	1499	1539	1464	1286	1238	1301	1383	1228	1327	1385	1146	415	63	317	140	108	408	162	119	71	545	214	117	804	183	619	111	253	85	587	78	485	999	473	228	93	502	157	539	248	404	106	222	162									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1431	76	37	43	35	43	35	13	75	33	67	34	31	147	29	46	81	14	0	13	6	0	20	56	15	5	16	6	8	97	7	28	5	12	10	19	19	30	43	45	8	7	27	4	29	10	19	11	10	7									
6	Число погашенных избирательных бюллетеней	3183	107	101	135	157	143	149	172	155	109	203	135	100	72	123	111	103	37	8	35	18	13	41	20	14	10	64	18	15	105	63	39	14	23	5	69	12	55	79	60	27	12	60	19	51	30	38	7	27	20									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1431	76	37	43	35	43	35	13	75	33	67	34	31	147	29	46	81	14	0	13	6	0	20	56	15	5	16	6	8	97	7	28	5	12	10	19	19	30	43	45	8	7	27	4	29	10	19	11	10	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32136	1440	1578	1305	1483	1517	1499	1539	1464	1286	1238	1301	1383	1228	1327	1385	1146	415	63	317	140	108	408	162	119	71	545	214	117	804	183	619	111	253	85	587	78	485	999	473	228	93	502	157	539	248	404	106	222	162									
9	Число недействительных избирательных бюллетеней	78	4	0	0	0	2	0	0	10	4	5	6	0	0	4	6	0	0	0	2	0	0	0	0	0	0	2	2	0	0	6	0	0	4	0	0	0	2	0	0	0	1	2	1	5	1	4	0	3	2									
10	Число действительных избирательных бюллетеней	33489	1512	1615	1348	1518	1558	1534	1552	1529	1315	1300	1329	1414	1375	1352	1425	1227	429	63	328	146	108	428	218	134	76	559	218	125	901	184	647	116	261	95	606	97	513	1042	518	236	99	527	160	563	257	419	117	229	167									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	395	10	10	10	10	10	10	20	10	10	10	10	10	20	10	10	10	10	5	5	5	5	5	5	5	5	10	5	5	10	5	10	5	5	5	10	5	10	10	10	5	5	10	5	10	5	5	5	5	5									
