Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Кызылская городская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	55717	2111	2483	1727	2777	1121	1947	1963	1889	1607	1700	1197	1652	2150	2144	1963	1750	1850	1212	2300	1230	1546	995	2013	1773	1515	1294	1731	1203	1462	2190	1674	1548									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	66000	2100	2600	1800	2600	1800	2100	2700	2600	2100	2300	1700	1800	2400	2600	1900	2200	1700	1600	2500	1600	2100	1400	2400	1900	1400	2100	2000	1500	1500	2800	2100	2100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	40719	1246	1765	1311	1827	782	1436	1585	1482	1352	1240	954	1208	1129	1477	1603	1132	1269	1045	2097	1079	1330	648	1711	810	913	1124	1418	905	1166	1369	1270	1036									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5116	93	29	152	5	227	428	83	147	8	205	34	211	900	14	199	515	241	8	179	67	16	23	34	621	112	7	72	60	9	57	193	167									
6	Число погашенных избирательных бюллетеней	20165	761	806	337	768	791	236	1032	971	740	855	712	381	371	1109	98	553	190	547	224	454	754	729	655	469	375	969	510	535	325	1374	637	897									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5114	93	29	152	5	227	428	83	145	8	205	34	211	900	14	199	515	241	8	179	67	16	23	34	621	112	7	72	60	9	57	193	167									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	40204	1246	1765	1311	1827	782	1436	1585	1482	1352	1240	953	916	1129	1477	1603	1132	1269	1045	1918	1079	1330	648	1711	809	913	1124	1418	898	1166	1369	1270	1001									
9	Число недействительных избирательных бюллетеней	455	18	20	10	6	8	23	9	20	2	17	19	10	70	25	11	17	3	5	18	11	21	6	20	23	8	18	1	11	8	0	17	0									
10	Число действительных избирательных бюллетеней	44863	1321	1774	1453	1826	1001	1841	1659	1607	1358	1428	968	1117	1959	1466	1791	1630	1507	1048	2079	1135	1325	665	1725	1407	1017	1113	1489	947	1167	1426	1446	1168									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	616	10	25	15	20	10	20	20	60	10	20	15	15	21	35	15	15	15	10	15	10	20	10	25	15	25	15	30	25	25	15	10	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	536	10	25	7	9	10	20	20	60	10	9	15	15	21	28	14	10	15	4	15	10	20	10	25	15	18	15	21	22	18	15	5	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	451	6	66	7	8	6	5	6	9	8	8	13	19	25	19	7	6	4	3	68	2	24	5	27	23	6	9	19	16	8	9	4	6									
14	Число погашенных неиспользованных открепительных удостоверений	80	0	0	8	11	0	0	0	0	0	11	0	0	0	7	1	5	0	6	0	0	0	0	0	0	7	0	9	3	7	0	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	164	4	4	2	10	3	6	2	46	0	2	4	6	6	8	2	4	1	2	0	5	5	1	4	1	3	3	3	4	6	5	5	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	203	5	6	8	3	1	11	4	12	4	6	9	6	3	6	11	5	2	3	7	3	9	4	21	3	2	1	10	6	7	11	6	8									
		0.45%	0.37%	0.33%	0.55%	0.16%	0.10%	0.59%	0.24%	0.74%	0.29%	0.42%	0.91%	0.53%	0.15%	0.40%	0.61%	0.30%	0.13%	0.28%	0.33%	0.26%	0.67%	0.60%	1.20%	0.21%	0.20%	0.09%	0.67%	0.63%	0.60%	0.77%	0.41%	0.68%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	779	23	50	34	36	8	14	12	34	10	39	20	6	9	48	9	20	3	11	56	23	26	32	41	42	32	28	22	3	21	31	12	24									
		1.72%	1.72%	2.79%	2.32%	1.97%	0.79%	0.75%	0.72%	2.09%	0.74%	2.70%	2.03%	0.53%	0.44%	3.22%	0.50%	1.21%	0.20%	1.04%	2.67%	2.01%	1.93%	4.77%	2.35%	2.94%	3.12%	2.48%	1.48%	0.31%	1.79%	2.17%	0.82%	2.05%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	683	13	32	23	25	20	9	2	18	6	25	21	4	11	51	14	31	0	14	20	28	42	19	42	39	27	8	29	23	23	28	13	23									
		1.51%	0.97%	1.78%	1.57%	1.36%	1.98%	0.48%	0.12%	1.11%	0.44%	1.73%	2.13%	0.35%	0.54%	3.42%	0.78%	1.88%	0.00%	1.33%	0.95%	2.44%	3.12%	2.83%	2.41%	2.73%	2.63%	0.71%	1.95%	2.40%	1.96%	1.96%	0.89%	1.97%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	32050	946	1137	1155	1341	867	1291	1463	1197	1112	1102	626	928	1022	897	1564	1125	1354	827	1405	896	881	376	850	938	703	834	1080	589	893	671	1109	871									
		70.72%	70.65%	63.38%	78.95%	73.20%	85.93%	69.26%	87.71%	73.57%	81.76%	76.26%	63.42%	82.34%	50.37%	60.16%	86.79%	68.31%	89.67%	78.54%	67.00%	78.18%	65.45%	56.04%	48.71%	65.59%	68.59%	73.74%	72.48%	61.48%	76.00%	47.05%	75.80%	74.57%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	222	2	10	8	6	1	21	2	9	6	3	10	2	8	8	8	17	4	1	7	4	5	6	17	13	3	1	8	9	7	10	2	4									
