Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
"Наименование Избирательной комиссии:    Астрахань, Ленинская"																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	106992	2602	2689	2552	2837	2065	2442	2024	1979	2431	832	1632	2694	2276	1720	1947	2758	2157	2676	1601	2161	2272	1832	1816	1979	2688	2740	2278	1856	1380	2516	1782	2295	1688	2356	2009	1718	1680	1390	1976	2428	2021	2235	1972	2115	1099	1174	2288	2550	2029	1207	1684	1178	634	52									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	83140	2000	2000	1800	2000	1500	1800	1500	1500	1800	600	1200	2000	1700	1300	1400	2000	1600	2000	1400	1600	1600	1300	1300	1400	2000	2000	1700	1400	1000	1800	1300	1700	1200	2000	1500	1300	1200	1000	1500	2000	2000	2000	2000	2000	1000	1000	2000	2000	2000	1000	1500	1000	640	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32630	739	747	725	849	756	771	788	706	819	200	593	754	771	363	368	605	550	767	440	615	533	420	440	565	859	696	574	668	440	644	679	606	423	663	731	484	609	399	578	918	660	932	591	719	376	439	819	1025	558	241	587	410	366	52									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1213	8	16	61	10	7	6	9	15	7	7	62	22	17	28	29	13	16	23	29	16	15	30	16	93	18	5	7	0	16	10	11	24	8	16	15	18	8	17	20	20	9	12	13	42	9	14	16	33	1	4	27	14	251	0									
6	Число погашенных избирательных бюллетеней	49297	1253	1237	1014	1141	737	1023	703	779	974	393	545	1224	912	909	1003	1382	1034	1210	931	969	1052	850	844	742	1123	1299	1119	732	544	1146	610	1070	769	1321	754	798	583	584	902	1062	1331	1056	1396	1239	615	547	1165	942	1441	755	886	576	23	48									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1211	8	16	60	10	7	6	9	15	7	7	62	22	17	28	29	13	16	23	29	16	15	30	16	93	18	5	7	0	16	10	11	24	8	16	15	18	8	17	20	20	9	12	13	42	9	14	16	33	1	4	27	13	251	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32576	731	731	725	849	756	771	788	706	819	200	593	754	770	363	366	605	550	767	440	615	533	418	440	565	859	695	574	668	440	643	679	606	423	663	731	484	609	399	578	918	660	927	587	719	376	439	805	1025	558	241	587	410	366	52									
9	Число недействительных избирательных бюллетеней	1074	19	22	24	22	22	26	21	22	23	9	18	27	60	10	26	10	18	42	8	0	11	13	5	6	22	31	26	27	15	19	33	13	6	17	19	18	14	15	15	17	17	28	17	21	13	13	15	33	13	14	9	13	96	1									
10	Число действительных избирательных бюллетеней	32713	720	725	761	837	741	751	776	699	803	198	637	749	727	381	369	608	548	748	461	631	537	435	451	652	855	669	555	641	441	634	657	617	425	662	727	484	603	401	583	921	652	911	583	740	372	440	806	1025	546	231	605	410	521	51									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2317	65	95	35	55	40	50	40	45	71	20	45	51	50	45	40	65	70	75	35	50	50	35	40	45	50	55	55	45	33	65	30	35	30	55	41	40	40	30	44	45	40	40	40	30	30	30	35	45	30	35	30	27	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2059	57	64	33	52	39	41	40	45	71	14	39	51	47	25	29	64	70	65	33	50	25	34	33	44	50	48	50	37	24	55	28	33	30	51	38	32	35	25	42	41	37	36	36	29	21	26	29	45	29	32	28	27	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2044	9	17	76	29	27	45	59	23	50	32	76	52	11	20	47	10	15	14	47	18	36	44	58	36	53	125	19	76	29	44	38	37	64	49	17	52	52	18	14	90	42	87	26	52	15	21	35	57	7	13	22	12	10	17									
14	Число погашенных неиспользованных открепительных удостоверений	258	8	31	2	3	1	9	0	0	0	6	6	0	3	20	11	1	0	10	2	0	25	1	7	1	0	7	5	8	9	10	2	2	0	4	3	8	5	5	2	4	3	4	4	1	9	4	6	0	1	3	2	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	964	26	41	16	32	50	32	27	26	35	6	18	19	15	14	8	20	17	10	16	18	8	13	7	10	21	8	22	17	17	17	18	20	14	21	18	21	12	4	13	21	23	13	16	13	10	12	27	31	25	8	25	13	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	421	8	5	3	14	8	12	10	7	10	2	0	4	7	4	9	3	7	17	8	9	3	7	2	9	4	12	6	8	2	8	7	8	4	8	9	4	19	8	7	18	15	15	12	3	5	4	13	21	10	0	11	4	7	1									
		1.25%	1.08%	0.67%	0.38%	1.63%	1.05%	1.54%	1.25%	0.97%	1.21%	0.97%	0.00%	0.52%	0.89%	1.02%	2.28%	0.49%	1.24%	2.15%	1.71%	1.43%	0.55%	1.56%	0.44%	1.37%	0.46%	1.71%	1.03%	1.20%	0.44%	1.23%	1.01%	1.27%	0.93%	1.18%	1.21%	0.80%	3.08%	1.92%	1.17%	1.92%	2.24%	1.60%	2.00%	0.39%	1.30%	0.88%	1.58%	1.98%	1.79%	0.00%	1.79%	0.95%	1.13%	1.92%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1044	50	59	32	38	25	27	30	19	26	10	25	24	27	7	9	9	15	23	5	40	31	7	15	16	15	16	18	13	9	13	14	19	6	23	16	13	10	9	14	27	14	28	14	19	15	11	32	27	23	8	18	13	17	1									
		3.09%	6.77%	7.90%	4.08%	4.42%	3.28%	3.47%	3.76%	2.64%	3.15%	4.83%	3.82%	3.09%	3.43%	1.79%	2.28%	1.46%	2.65%	2.91%	1.07%	6.34%	5.66%	1.56%	3.29%	2.43%	1.71%	2.29%	3.10%	1.95%	1.97%	1.99%	2.03%	3.02%	1.39%	3.39%	2.14%	2.59%	1.62%	2.16%	2.34%	2.88%	2.09%	2.98%	2.33%	2.50%	3.90%	2.43%	3.90%	2.55%	4.11%	3.27%	2.93%	3.07%	2.76%	1.92%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	533	15	7	15	20	10	11	12	19	20	1	8	11	5	2	2	3	7	16	10	11	18	5	7	7	7	6	8	11	7	19	7	4	7	12	13	8	5	8	7	20	11	12	11	10	9	5	18	16	12	3	12	9	12	2									
