Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Алатырская городская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28802	721	616	858	595	1500	824	1551	1540	676	1346	1343	1402	1502	1606	682	730	1373	638	901	1324	1384	1341	1310	1477	1306	256									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26158	650	550	800	550	1350	750	1450	1450	650	1250	1250	1250	1350	1350	650	650	1250	550	850	1150	1250	1250	1150	1350	1150	258									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14426	343	216	436	301	863	360	832	786	374	728	678	784	805	805	320	325	699	266	393	765	666	673	670	647	544	147									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1430	48	158	62	28	67	36	46	56	12	71	55	20	41	45	21	27	39	55	68	70	54	68	39	103	40	101									
6	Число погашенных избирательных бюллетеней	10302	259	176	302	221	420	354	572	608	264	451	517	446	504	500	309	298	512	229	389	315	530	509	441	600	566	10									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1429	48	158	62	28	67	36	46	56	12	71	55	20	41	45	21	27	39	55	68	70	54	68	39	102	40	101									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14422	343	216	436	301	862	360	832	786	374	728	678	784	805	805	320	323	699	266	393	765	666	673	670	646	544	147									
9	Число недействительных избирательных бюллетеней	540	15	11	16	15	55	15	0	32	9	28	22	25	27	29	11	14	39	5	13	31	23	10	21	18	18	38									
10	Число действительных избирательных бюллетеней	15311	376	363	482	314	874	381	878	810	377	771	711	779	819	821	330	336	699	316	448	804	697	731	688	730	566	210									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	770	10	20	20	20	50	20	40	50	20	30	30	50	50	40	20	20	30	20	20	30	30	40	40	40	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	475	4	3	14	15	29	15	24	34	14	30	21	29	21	30	14	14	20	2	18	24	29	21	22	21	7	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	248	7	10	8	2	16	11	10	13	7	12	18	16	16	19	5	17	1	7	8	10	3	6	8	9	3	6									
14	Число погашенных неиспользованных открепительных удостоверений	295	6	17	6	5	21	5	16	16	6	0	9	21	29	10	6	6	10	18	2	6	1	19	18	19	23	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	130	1	0	10	2	9	3	13	5	5	10	2	9	7	6	4	5	3	2	8	9	6	0	4	3	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	143	1	6	3	6	12	4	15	6	1	10	5	6	9	9	0	3	8	2	3	11	3	6	1	7	5	1									
		0.90%	0.26%	1.60%	0.60%	1.82%	1.29%	1.01%	1.71%	0.71%	0.26%	1.25%	0.68%	0.75%	1.06%	1.06%	0.00%	0.86%	1.08%	0.62%	0.65%	1.32%	0.42%	0.81%	0.14%	0.94%	0.86%	0.40%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	326	6	5	8	5	21	8	13	18	6	15	16	15	24	12	4	9	17	7	11	23	18	11	19	18	11	6									
		2.06%	1.53%	1.34%	1.61%	1.52%	2.26%	2.02%	1.48%	2.14%	1.55%	1.88%	2.18%	1.87%	2.84%	1.41%	1.17%	2.57%	2.30%	2.18%	2.39%	2.75%	2.50%	1.48%	2.68%	2.41%	1.88%	2.42%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	525	13	9	16	11	26	15	33	32	12	27	27	32	26	28	8	11	22	1	19	53	27	22	27	14	10	4									
		3.31%	3.32%	2.41%	3.21%	3.34%	2.80%	3.79%	3.76%	3.80%	3.11%	3.38%	3.68%	3.98%	3.07%	3.29%	2.35%	3.14%	2.98%	0.31%	4.12%	6.35%	3.75%	2.97%	3.81%	1.87%	1.71%	1.61%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7803	199	244	223	149	445	189	458	404	181	365	356	340	408	373	161	173	340	157	248	404	359	427	340	390	308	162									
		49.23%	50.90%	65.24%	44.78%	45.29%	47.90%	47.73%	52.16%	47.98%	46.89%	45.68%	48.57%	42.29%	48.23%	43.88%	47.21%	49.43%	46.07%	48.91%	53.80%	48.38%	49.86%	57.62%	47.95%	52.14%	52.74%	65.32%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	69	0	0	2	3	5	1	9	3	1	4	4	3	3	7	6	3	2	0	2	3	0	0	4	3	1	0									
		0.44%	0.00%	0.00%	0.40%	0.91%	0.54%	0.25%	1.03%	0.36%	0.26%	0.50%	0.55%	0.37%	0.35%	0.82%	1.76%	0.86%	0.27%	0.00%	0.43%	0.36%	0.00%	0.00%	0.56%	0.40%	0.17%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	1	0	0	0	0	1	2	2	0	2	2	3	1	2	1	1	3	0	1	1	2	0	0	0	0	0									
		0.16%	0.26%	0.00%	0.00%	0.00%	0.00%	0.25%	0.23%	0.24%	0.00%	0.25%	0.27%	0.37%	0.12%	0.24%	0.29%	0.29%	0.41%	0.00%	0.22%	0.12%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2339	67	23	51	44	106	66	134	118	63	138	128	103	125	142	52	55	104	47	72	114	117	113	101	139	105	12									
		14.76%	17.14%	6.15%	10.24%	13.37%	11.41%	16.67%	15.26%	14.01%	16.32%	17.27%	17.46%	12.81%	14.78%	16.71%	15.25%	15.71%	14.09%	14.64%	15.62%	13.65%	16.25%	15.25%	14.25%	18.58%	17.98%	4.84%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	79	3	1	6	2	4	4	5	6	1	6	2	5	0	7	2	1	2	1	0	5	4	2	3	1	3	3									
		0.50%	0.77%	0.27%	1.20%	0.61%	0.43%	1.01%	0.57%	0.71%	0.26%	0.75%	0.27%	0.62%	0.00%	0.82%	0.59%	0.29%	0.27%	0.31%	0.00%	0.60%	0.56%	0.27%	0.42%	0.13%	0.51%	1.21%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	97	2	2	5	1	7	3	2	8	1	5	9	3	10	2	3	1	3	3	2	5	7	0	8	3	2	0									
		0.61%	0.51%	0.53%	1.00%	0.30%	0.75%	0.76%	0.23%	0.95%	0.26%	0.63%	1.23%	0.37%	1.18%	0.24%	0.88%	0.29%	0.41%	0.93%	0.43%	0.60%	0.97%	0.00%	1.13%	0.40%	0.34%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	1	0	0	1	2	0	0	1	0	0	2	3	1	0	0	0	1	0	0	2	1	1	0	0	0	0									
		0.10%	0.26%	0.00%	0.00%	0.30%	0.22%	0.00%	0.00%	0.12%	0.00%	0.00%	0.27%	0.37%	0.12%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.24%	0.14%	0.13%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	111	6	1	6	6	6	4	3	3	2	4	4	12	10	11	2	2	4	1	2	3	4	4	3	4	4	0									
		0.70%	1.53%	0.27%	1.20%	1.82%	0.65%	1.01%	0.34%	0.36%	0.52%	0.50%	0.55%	1.49%	1.18%	1.29%	0.59%	0.57%	0.54%	0.31%	0.43%	0.36%	0.56%	0.54%	0.42%	0.53%	0.68%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2497	55	55	100	65	156	60	122	102	78	129	107	141	146	163	65	50	106	74	60	109	109	100	134	108	94	9									
		15.75%	14.07%	14.71%	20.08%	19.76%	16.79%	15.15%	13.90%	12.11%	20.21%	16.15%	14.60%	17.54%	17.26%	19.18%	19.06%	14.29%	14.36%	23.05%	13.02%	13.05%	15.14%	13.50%	18.90%	14.44%	16.10%	3.63%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	52	4	2	0	0	4	2	1	5	0	5	1	1	3	2	1	1	1	5	0	1	2	3	2	3	3	0									
		0.33%	1.02%	0.53%	0.00%	0.00%	0.43%	0.51%	0.11%	0.59%	0.00%	0.63%	0.14%	0.12%	0.35%	0.24%	0.29%	0.29%	0.14%	1.56%	0.00%	0.12%	0.28%	0.40%	0.28%	0.40%	0.51%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1229	18	15	62	21	80	24	81	102	31	61	48	112	53	63	25	26	86	18	28	70	44	42	46	40	20	13									
		7.75%	4.60%	4.01%	12.45%	6.38%	8.61%	6.06%	9.23%	12.11%	8.03%	7.63%	6.55%	13.93%	6.26%	7.41%	7.33%	7.43%	11.65%	5.61%	6.07%	8.38%	6.11%	5.67%	6.49%	5.35%	3.42%	5.24%									
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
