Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Орехово-Зуевская городская																																																																																		
																																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																		
																																																																																		
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	Участок  №5031	УИК  5032	УИК  5033	УИК  5034	УИК  5035	УИК  5036	УИК  5037	УИК  5079	УИК  5080	УИК  5129	УИК  5130	УИК  5131	Участок  №5158	УИК  5159	Участок  №5160	УИК  5161	УИК  5340					
1	"Число избирателей, внесенных в списки"	107895	1810	1869	1981	821	2080	1794	1101	1771	1473	1856	1459	1417	2147	1646	1748	1060	1252	1714	2489	1423	1518	2114	2428	1317	2258	1995	1296	1783	2466	2345	2185	1487	605	2192	1774	1605	1234	1710	1217	1770	1535	2070	2333	2025	1872	1564	2554	2578	2424	2889	583	654	1462	775	2021	2788	1436	1220	605	348	1731	452	397	360	792	59	115	81	51	19	1511	545	519	430	76					
2	"Число бюллетеней, полученных участковыми комиссиями"	129205	1700	1800	1900	750	2000	1700	900	1700	1400	1800	1400	1400	2100	1600	1600	1000	1200	1700	2400	1400	1500	1900	2300	1300	2200	1900	1200	1800	2400	2200	2100	1400	550	2000	1700	1600	1200	1700	1200	1700	1500	2000	2200	2000	1800	1500	2500	2500	2300	2800	550	500	1300	750	1900	2600	1300	1100	3000	1500	7275	3000	2700	1800	1000	90	120	65	50	25	8000	2800	2500	2500	80					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	14					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	54198	889	941	1013	412	848	848	508	841	657	965	779	740	1115	849	869	600	669	949	1234	667	702	803	1259	502	989	845	636	851	1194	1136	1048	759	262	1195	891	827	619	844	636	906	811	982	1055	926	1037	853	1173	1180	953	929	226	236	724	226	929	1234	552	489	605	344	1715	443	387	358	752	59	67	39	26	19	1193	535	511	424	48					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1611	30	15	18	24	43	28	47	17	39	21	20	17	29	41	22	13	4	23	15	31	34	111	42	16	25	31	26	10	12	12	11	2	84	10	2	8	4	13	20	23	13	20	20	12	25	19	27	17	18	30	8	80	15	24	42	25	114	22	0	4	16	9	11	2	0	0	0	0	0	0	32	10	8	6	0					
6	Число погашенных бюллетеней	73037	781	844	869	314	1109	824	345	842	704	812	601	643	956	710	709	387	527	728	1151	701	764	985	999	782	1186	1024	538	939	1194	1052	1041	639	199	792	807	765	577	843	544	771	676	997	1079	1062	738	628	1300	1303	1329	1841	316	184	561	500	929	1341	634	589	2395	1152	5544	2548	2302	1440	248	31	53	26	24	6	6489	2255	1981	2070	18					
7	Число бюллетеней в переносных ящиках для голосования	1916	30	15	18	24	43	28	47	17	39	21	20	17	29	41	22	13	4	23	15	31	34	111	42	16	25	31	26	10	12	12	11	2	84	10	2	8	4	13	20	23	13	20	20	12	25	19	27	17	18	30	8	80	15	24	42	25	114	22	0	4	16	9	10	2	0	0	0	0	0	0	323	10	8	6	14					
8	Число бюллетеней в стационарных ящиках для голосования	54117	889	941	1012	412	847	846	504	841	657	965	779	740	1115	848	867	600	669	949	1234	667	702	803	1259	502	989	845	636	848	1179	1135	1048	759	262	1192	891	827	619	844	636	906	811	982	1055	924	1012	853	1173	1180	951	922	226	236	724	226	931	1234	550	489	605	344	1714	443	387	358	752	59	67	39	26	19	1182	535	511	424	48					
9	Число недействительных бюллетеней	1529	24	60	11	19	14	33	15	48	15	34	8	15	24	24	37	17	16	14	32	34	20	31	36	18	28	31	20	14	7	12	42	14	85	17	11	16	9	15	13	51	28	21	52	32	30	55	29	29	19	43	8	43	19	4	22	40	27	18	0	1	7	1	0	3	10	0	1	0	0	0	8	0	5	0	0					
10	Число действительных бюллетеней	54504	895	896	1019	417	876	841	536	810	681	952	791	742	1120	865	852	596	657	958	1217	664	716	883	1265	500	986	845	642	844	1184	1135	1017	747	261	1185	882	819	614	842	643	878	796	981	1023	904	1007	817	1171	1168	950	909	226	273	720	246	951	1219	637	493	605	347	1723	451	397	357	742	59	66	39	26	19	1497	545	514	430	62					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1939	20	20	20	20	20	20	0	20	20	20	20	20	19	20	20	20	20	20	20	20	20	20	20	20	20	20	0	20	20	20	20	20	20	30	20	20	20	20	20	20	20	20	20	0	20	20	30	20	20	20	20	20	20	80	20	20	20	20	75	75	220	0	0	0	80	5	25	10	0	0	150	100	50	50	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	519	6	3	7	5	11	7	0	5	11	10	8	6	8	6	5	4	6	10	8	2	8	3	4	7	11	5	0	10	8	12	15	4	1	22	12	10	3	10	5	7	6	9	9	0	16	8	30	12	19	15	2	0	9	54	6	11	5	5	1	0	0	0	0	0	9	0	0	2	0	0	10	0	5	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	489	7	1	9	8	3	6	5	11	13	2	6	5	4	1	4	2	5	6	13	5	3	3	7	2	6	2	0	5	2	6	11	4	8	8	8	5	10	0	4	4	0	9	3	11	9	6	10	9	6	5	5	60	7	5	17	9	10	9	7	3	43	9	13	10	1	0	0	0	2	0	8	0	3	0	0					
14	Число погашенных открепительных удостоверений	1420	14	17	13	15	9	13	0	15	9	10	12	14	11	14	15	16	14	10	12	18	12	17	16	13	9	15	0	10	12	8	5	16	19	8	8	10	17	10	15	13	14	11	11	0	4	12	0	8	1	5	18	20	11	26	14	9	15	15	74	75	220	0	0	0	71	5	25	8	0	0	140	100	45	50	0					
15	Число открепительных удостоверений выданных ТИК	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0					
16	Число утраченных бюллетеней	59	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	1	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																		
18	"1. ""ЕДИНЕНИЕ"""	625	10	6	9	5	16	7	5	7	3	11	4	5	8	8	13	13	5	5	2	3	3	8	17	6	26	11	7	12	9	30	18	8	16	9	5	6	5	8	9	9	6	15	13	11	19	12	19	18	8	12	5	9	14	6	9	14	5	6	4	1	8	1	4	3	9	0	0	3	0	0	20	8	3	6	0					
		1.11%	1.08%	0.62%	0.87%	1.14%	1.79%	0.80%	0.90%	0.81%	0.43%	1.11%	0.50%	0.66%	0.69%	0.89%	1.46%	2.12%	0.74%	0.51%	0.16%	0.42%	0.40%	0.87%	1.30%	1.15%	2.56%	1.25%	1.05%	1.39%	0.75%	2.61%	1.69%	1.05%	4.62%	0.74%	0.55%	0.71%	0.80%	0.93%	1.37%	0.96%	0.72%	1.49%	1.20%	1.17%	1.83%	1.37%	1.58%	1.50%	0.82%	1.26%	2.13%	2.84%	1.89%	2.4%	0.92%	1.11%	0.75%	1.17%	0.66%	0.28%	0.46%	0.22%	1.00%	0.83%	1.19%	0.0%	0.0%	7.69%	0.0%	0.0%	1.32%	1.46%	0.57%	1.39%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2226	20	25	30	2	17	30	18	31	24	31	28	28	42	39	27	28	17	37	37	21	40	35	34	16	44	32	35	31	55	54	42	32	3	62	45	36	37	39	23	37	23	37	33	56	35	32	31	54	32	34	9	9	10	7	22	44	18	18	49	22	244	42	34	33	13	0	4	4	4	2	25	15	6	7	1					
